c_uM,viab_perc
100,84.32760353
100,84.25175865
100,80.58845093
100,81.93090531
90,79.39010182
90,86.3147394
90,88.95793348
90,89.89461775
70,84.99124624
70,84.65752876
70,86.51572833
70,79.9741074
50,87.14524084
50,89.48884764
50,87.38035997
50,76.57246452
30,93.70582299
30,96.55379825
30,91.13468155
30,88.32083648
10,93.96748783
10,95.3782026
10,96.61068191
10,100.0995464
9,98.36269865
9,99.40177351
9,89.37887257
9,89.9590859
7,91.74144059
7,98.93532749
7,96.56896722
7,98.76088427
5,90.8123408
5,90.07285322
5,91.51390595
5,90.79717183
3,83.78910488
3,93.53137977
3,91.98793645
3,97.40705315
1,86.94425191
1,88.07434062
1,85.06709112
1,82.85242061
0.9,82.43527377
0.9,75.0290212
0.9,86.80014663
0.9,87.28176162
