c_uM,viab_perc
1000,-0.101388123
1000,-0.065604079
1000,-0.137172166
1000,-0.316092382
800,0.023856029
800,-0.137172166
800,-0.047712058
800,-0.172956209
400,-0.047712058
400,0.059640072
400,0.005964007
400,0.25645231
200,33.92923705
200,10.9916653
200,22.13839479
200,21.33325381
100,74.09682566
100,69.46279205
100,81.86196305
100,75.09877887
80,97.3564538
80,92.99080052
80,93.6349133
80,87.65897807
40,102.7419523
40,99.39614427
40,102.0620555
40,94.17167395
20,105.9625162
20,107.8769625
20,109.2546482
20,91.68468294
10,106.2308965
10,103.9943938
10,101.8294592
10,94.7084346
8,94.76211066
8,104.4774784
8,104.924779
8,94.10010586
4,101.7936752
4,101.1316704
4,93.34864095
4,83.0607285
2,94.2969181
2,100.2191773
2,87.08643337
2,101.7221071
