c_uM,viab_perc
500,0.186340062
500,0.497868339
500,0.684785305
500,0.497868339
400,6.001534565
400,7.538407398
400,9.054511679
400,9.262197197
200,51.56773721
200,29.73998927
200,36.73899123
200,58.73288758
100,64.52731353
100,66.93646554
100,65.3580556
100,78.29686337
80,78.29686337
80,74.93235798
80,67.41414223
80,72.31552045
40,78.35916903
40,79.81296765
40,72.41936321
40,82.80363911
20,90.92414286
20,94.37172246
20,101.993781
20,93.22945211
10,102.6999117
10,94.84939915
10,85.48278229
10,89.92725238
8,76.09539688
8,89.69879831
8,92.87638673
8,77.71534392
4,94.62094508
4,86.41736712
4,83.50976987
4,89.71956686
2,87.55963747
2,105.9190373
2,95.92936385
2,97.81930206
1,108.1828094
1,114.6833661
1,110.1142847
1,102.8037545
