c_uM,viab_perc
1000,0.551210583
1000,0.526250104
1000,0.33904651
1000,0.576171062
900,0.900657293
900,1.412347117
900,1.225143523
900,0.276645312
700,0.938098011
700,1.237623762
700,1.899076462
700,1.387386638
500,3.321823779
500,3.796072885
500,4.083118396
500,3.970796239
300,12.51976038
300,11.79590648
300,14.76620351
300,8.588484899
100,11.33413762
100,9.736666944
100,9.624344787
100,14.05482985
90,13.78026458
90,12.00807055
90,16.27631251
90,17.19985024
70,42.17280972
70,53.47990681
70,49.99791996
70,52.13204094
50,65.0990099
50,67.00848656
50,54.09143856
50,66.84624345
30,76.3437058
30,82.93327232
30,87.05175139
30,84.00657293
10,96.34952991
10,96.7863383
10,84.44338131
10,86.96438972
9,83.45744238
9,88.83642566
9,94.90182211
9,111.8999085
