c_uM,viab_perc
500,25.20335371
500,21.11526879
500,18.82810233
500,23.54650872
400,19.20629521
400,8.652912986
400,16.59496343
400,14.64997149
200,41.71777607
200,25.13131697
200,33.88378073
200,34.22595524
100,61.11366797
100,56.77345446
100,53.00953486
100,46.92243044
80,67.84910304
80,57.52984022
80,73.17982171
80,69.72205825
40,80.43752314
40,69.92015928
40,88.81179401
40,88.28952766
20,87.51513272
20,89.37007874
20,86.05638876
20,80.22141292
10,75.39495143
10,84.23746111
10,81.57210177
10,82.09436813
8,82.94079981
8,71.91917878
8,83.46306616
8,80.74367928
4,72.51348188
4,82.52658856
4,87.15494902
4,90.46863901
2,82.09436813
2,87.44309598
2,85.5341224
2,94.68278822
1,92.05344726
1,85.64217751
1,86.79476533
1,89.69424406
