c_uM,viab_perc
1000,-0.060277763
1000,-0.089405273
1000,0.056232276
1000,-0.118532783
800,-0.191351557
800,-0.176787802
800,0.60965496
800,-0.118532783
400,-0.191351557
400,-0.278734086
400,-0.176787802
400,-0.089405273
200,3.959318578
200,1.993211672
200,10.11978688
200,10.38193447
100,47.82534822
100,52.13621965
100,41.75226244
100,50.53420662
80,53.44695759
80,64.06393488
80,61.31138522
80,54.91789683
40,80.156884
40,69.36514165
40,76.44312651
40,76.21010644
20,89.900036
20,81.07440056
20,91.44379402
20,93.7739948
10,94.48761879
10,97.09453091
10,94.19634369
10,98.4198326
8,84.11822533
8,76.92373042
8,89.53594213
8,85.66198334
4,93.7739948
4,92.56520314
4,93.74486729
4,90.54084122
2,77.65191817
2,83.2880913
2,85.31245322
2,85.19594319
