"","AmA_1","AmA_2","AmA_3","AmA_4","DMSO_1","DMSO_2","DMSO_3","DMSO_4"
"Label","AmA","AmA","AmA","AmA","DMSO","DMSO","DMSO","DMSO"
"C00003","12.99003","12.79843","12.81802","12.75519","14.12567","13.69905","14.24513","13.84698"
"C00005"," 4.292873"," 4.829127"," 4.777677"," 4.669540"," 8.373316"," 8.013486"," 8.376407","10.257689"
"C00008","11.79549","11.97308","11.80737","11.61339","12.15732","12.63740","11.95028","11.96166"
"C00015","6.965988","8.103317","7.896409","7.819639","9.653672","9.794389","9.858147","9.217636"
"C00016","10.72281","10.19235","10.27336","10.19626","11.30679","10.95179","11.11349","11.06727"
"C00019","14.05161","12.99761","13.44412","13.02191","13.58116","13.10981","13.62529","13.54179"
"C00020","13.83732","14.85118","14.94631","14.44006","15.96949","16.25901","16.26498","16.49044"
"C00029"," 9.946976"," 9.816237"," 9.561106"," 9.642887","14.004337","13.881411","14.138820","13.850755"
"C00043","12.54104","12.46679","12.44675","12.32994","13.72391","13.74166","13.56241","13.71795"
"C00051","13.58876","12.53518","13.85383","13.62807","12.20479","15.34543","13.87698","14.46275"
"C00052","10.093565"," 9.691919"," 9.687830"," 9.072828","12.846676","12.827421","12.976709","12.505056"
"C00055","11.13030","11.83238","11.64915","11.64171","12.74662","12.84301","11.63689","13.08687"
"C00061","9.680329","8.743058","8.702921","8.781506","9.476177","9.381413","9.480300","9.989338"
"C00062","12.34084","12.65275","12.43837","12.32726","11.86618","12.22103","11.87069","10.97198"
"C00078","12.351852","11.286106","11.278879","11.897496"," 8.783013"," 8.950749"," 9.878684","11.142115"
"C00082","14.42274","14.23025","14.11144","13.94293","12.56188","12.65597","12.32257","12.07845"
"C00093","10.828853","10.549880","10.703728","10.391295"," 8.803382"," 8.971118"," 8.674888","10.093732"
"C00103"," 8.172111"," 8.466535"," 8.881405"," 8.788001","12.903050","13.227620","11.735292","12.735759"
"C00105"," 9.334424"," 9.435224"," 9.394601"," 9.089791","10.928870","10.734294","11.090776","10.758758"
"C00120","12.80464","12.73448","12.87360","12.89532","12.36733","11.65770","12.35714","12.05813"
"C00127","17.44380","17.26350","17.35628","17.16644","18.62052","18.70761","18.59319","18.55423"
"C00144","13.94969","13.69139","13.64943","13.17363","14.12465","14.71634","14.15419","14.76747"
"C00147"," 9.312981"," 9.329620"," 9.550885"," 9.133101","10.011828","10.303595","10.125630","10.463509"
"C00157","14.92610","11.21879","13.24738","14.18571","14.67333","15.49840","15.94851","16.73134"
"C00167","11.26266","11.37735","11.36195","11.24368","12.95254","13.14493","12.99164","13.09272"
"C00170","14.49311","15.25243","15.01299","14.96604","15.88055","15.47218","15.68727","14.68829"
"C00199","8.525117","8.165153","7.928833","6.665249","9.006042","9.179444","9.090792","9.270039"
"C00242","11.39239","11.84060","11.67377","11.66828","12.47706","12.67688","12.78300","12.97444"
"C00262","11.31670","11.09387","10.73549","11.15510","12.05683","11.85484","11.95936","12.20235"
"C00284","10.886644","10.674713","10.433385","10.553034"," 8.696879"," 8.728145"," 8.851254"," 8.811992"
"C00294","16.76559","16.84512","16.86693","16.92112","18.20026","17.68578","17.85277","17.74422"
"C00299","13.49453","13.97944","13.78762","14.09452","15.59313","15.28294","15.40154","15.02276"
"C00307","10.842647","10.727625","10.694963","10.743910"," 8.288923"," 8.320189"," 8.443298"," 8.404036"
"C00319","11.50644","12.26690","12.30467","12.25806","14.19019","13.75903","14.05340","13.63599"
"C00325"," 9.835385"," 9.775802"," 9.652770"," 9.596176","10.280072","10.408591","10.156781","10.401151"
"C00350","11.98369","11.34871","11.48340","11.54873","12.60151","12.88547","13.29649","13.40444"
"C00360"," 9.386595"," 9.119436"," 9.456169"," 9.152049","10.796994","10.263846","10.937298","10.479372"
"C00362"," 8.037468","11.308002","11.228256","11.032316","12.154373","12.596684","13.390749","10.585270"
"C00364","11.85440","11.93704","11.91236","11.92646","12.97924","12.94492","13.14311","13.27700"
"C00378","12.88586","13.03579","12.85753","12.95999","13.80977","13.61546","13.86236","13.73583"
"C00380","7.691248","8.500762","7.988164","8.343665","9.949064","8.853162","9.138338","9.233413"
"C00385","10.56078","11.87635","11.17859","11.63503","11.85790"," 9.82416"," 9.52793","10.94677"
"C00387","13.28162","13.58916","13.52127","13.72459","14.71980","14.11463","14.25913","13.73282"
"C00463","8.923180","8.952636","8.490325","9.194994","7.403390","7.513285","8.065371","7.405708"
"C00487","13.16377","12.87375","12.73948","12.62726","13.83806","13.92079","13.92677","14.06444"
"C00491","8.072748","7.942367","8.243882","9.387912","7.795437","6.616366","6.739475","8.491989"
"C00550","12.30564","11.93317","12.04460","12.03886","12.88065","13.15572","13.60299","13.90707"
"C00570","12.918380","12.950702","12.802432","12.772275"," 6.222496"," 7.486910"," 7.974111"," 7.601034"
"C00588","17.66005","17.70556","17.58546","17.66879","19.03108","18.84454","19.18796","18.86781"
"C00612","13.32688","13.52079","13.56060","13.59397","14.43297","14.11892","14.27453","13.85241"
"C00670","16.15416","15.99308","15.75056","15.79122","18.42884","18.10902","18.33605","18.03452"
