"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Ascorbate and aldarate metabolism",9,2,99.572,14.286,4.6431e-09,1.5786e-07,1.5786e-07
"Starch and sucrose metabolism",18,1,99.605,14.286,1.9328e-08,6.3782e-07,3.2857e-07
"Alanine, aspartate and glutamate metabolism",28,1,99.289,14.286,1.1259e-07,3.6028e-06,1.1078e-06
"Amino sugar and nucleotide sugar metabolism",42,4,98.56,14.286,1.3032e-07,4.04e-06,1.1078e-06
"Pentose and glucuronate interconversions",19,3,95.4,14.286,1.9829e-07,5.9488e-06,1.2174e-06
"Sphingolipid metabolism",32,2,84.015,14.286,2.1584e-07,6.2595e-06,1.2174e-06
"Galactose metabolism",27,2,98.591,14.286,2.5064e-07,7.0179e-06,1.2174e-06
"Glycerophospholipid metabolism",36,6,88.393,14.286,9.8576e-07,2.6616e-05,4.1895e-06
"Ether lipid metabolism",20,1,98.07,14.286,2.2615e-06,5.8798e-05,8.5433e-06
"Arginine and proline metabolism",36,3,93.614,14.286,3.6991e-06,9.2477e-05,1.126e-05
"Fatty acid degradation",39,1,97.724,14.286,3.7162e-06,9.2477e-05,1.126e-05
"Inositol phosphate metabolism",30,1,97.673,14.286,3.9742e-06,9.2477e-05,1.126e-05
"Purine metabolism",70,12,79.421,14.286,4.7889e-06,0.00010536,1.2525e-05
"Thiamine metabolism",7,1,96.179,14.286,1.7685e-05,0.00037139,4.295e-05
"Pyrimidine metabolism",39,5,87.371,14.286,1.9135e-05,0.00038271,4.3373e-05
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,95.104,14.286,3.7366e-05,0.00070996,6.6866e-05
"Tyrosine metabolism",42,1,95.104,14.286,3.7366e-05,0.00070996,6.6866e-05
"Phenylalanine metabolism",8,1,95.104,14.286,3.7366e-05,0.00070996,6.6866e-05
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,1,95.104,14.286,3.7366e-05,0.00070996,6.6866e-05
"Lysine degradation",30,1,92.652,14.286,0.00012758,0.0019137,0.00021689
"Glutathione metabolism",28,3,79.751,14.286,0.0001432,0.0020048,0.00023185
"Nicotinate and nicotinamide metabolism",15,1,92.179,14.286,0.00015408,0.0020048,0.00023812
"Fructose and mannose metabolism",20,1,90.06,14.286,0.00031906,0.0038287,0.00047165
"Pantothenate and CoA biosynthesis",20,1,87.792,14.286,0.00059662,0.0065629,0.00084522
"Glycerolipid metabolism",16,1,76.169,14.286,0.0046722,0.046722,0.0063542
"Biotin metabolism",10,1,74.576,14.286,0.0057162,0.051446,0.0074751
"Tryptophan metabolism",41,2,66.472,14.286,0.011128,0.089025,0.014013
"Riboflavin metabolism",4,2,62.284,14.286,0.012481,0.089025,0.015156
"Pentose phosphate pathway",23,1,63.372,14.286,0.018092,0.10855,0.021212
"Arginine biosynthesis",14,1,52.05,14.286,0.04337,0.21685,0.045021
"Arachidonic acid metabolism",44,1,51.941,14.286,0.043697,0.21685,0.045021
"Linoleic acid metabolism",5,1,51.941,14.286,0.043697,0.21685,0.045021
"alpha-Linolenic acid metabolism",13,1,51.941,14.286,0.043697,0.21685,0.045021
"Cysteine and methionine metabolism",33,3,30.51,14.286,0.11616,0.21685,0.11616
