"","BP_1","BP_2","BP_3","BP_4","H2O_1","H2O_2","H2O_3","H2O_4"
"Label","BP","BP","BP","BP","H2O","H2O","H2O","H2O"
"C00003","12.42657","12.34267","12.47427","12.40632","13.33429","12.77137","12.90635","12.75671"
"C00008","12.18510","11.94305","12.09638","12.71285","11.73775","12.04049","11.84293","11.69721"
"C00015","8.967092","9.009868","8.739307","8.835146","8.607003","9.312411","9.965443","9.831853"
"C00016"," 9.160578"," 9.033111"," 9.568547"," 9.461812","10.239654","10.013176"," 9.843395"," 9.738123"
"C00019","13.50216","12.54777","12.46208","12.23456","14.40684","12.97529","13.36707","12.90768"
"C00020","14.23517","14.40358","14.43647","14.77535","16.53250","16.33004","16.35593","16.30462"
"C00029","11.74521","11.77602","11.71249","11.63778","13.08157","12.73706","12.91884","12.96975"
"C00043","12.12343","11.80538","11.98220","12.21054","12.51514","12.19734","12.24319","12.27159"
"C00051"," 7.068259"," 8.117504"," 8.133381","10.181587"," 6.475144","11.852268","11.926238","11.929302"
"C00052","10.69564","10.31008","10.51995","10.69042","12.02843","11.94780","12.07228","11.97117"
"C00055","11.62160","11.66690","11.63077","11.87530","13.39246","12.50540","12.78326","12.66738"
"C00061","9.298357","9.446070","9.305776","8.919673","9.184695","8.546360","8.156752","8.175182"
"C00062","8.765628","9.036181","9.288206","9.222685","6.392440","6.622619","6.863615","6.853699"
"C00082","13.54027","12.60298","12.52006","12.86360","12.74525","13.45047","13.56051","13.36833"
"C00103"," 9.959146","11.048619","11.235728","11.327059","11.250441","11.247238","11.226333","11.310908"
"C00105","12.64993","12.82190","12.76095","12.77303","13.83413","13.64303","13.94146","13.93741"
"C00120","13.78345","13.41313","13.44108","13.64003","14.57216","13.86243","13.92756","13.87467"
"C00127","13.80498","13.85089","13.46758","14.07603","18.11791","17.65948","17.79849","17.60436"
"C00144","13.52558","13.75431","13.70133","14.01001","14.97221","14.82505","15.09944","14.81766"
"C00147"," 8.593453"," 9.185427"," 8.898239"," 8.851833","10.993806","10.275602","10.433565"," 9.757539"
"C00157","13.88839","14.34024","15.09227","14.51922","17.38028","15.76831","16.93974","15.78559"
"C00158","12.39977","12.77887","12.81930","12.44149"," 9.37145","10.08569","10.17801","10.20562"
"C00167","11.73442","11.86238","11.88156","11.86692","12.32045","12.43973","12.34022","12.35775"
"C00170","15.90567","15.39573","15.16532","15.49557","12.28785","15.13393","14.73567","15.09511"
"C00199","9.258399","9.008108","9.044678","9.132405","6.643666","7.912864","8.627401","8.738943"
"C00242","12.25845","12.38915","12.35106","12.56165","13.45183","13.11488","13.05458","12.82153"
"C00262","10.36005","10.62624","10.71027","10.68075","11.90423","11.48343","11.54790","11.72728"
"C00284","10.227559"," 9.795365","10.211061","10.270083"," 7.465366"," 7.020763"," 7.167577"," 6.960013"
"C00294","17.06527","16.51977","16.47287","16.73113","16.96797","17.08786","17.52373","17.30979"
"C00299","14.54627","14.21778","14.22541","14.57873","14.76861","14.67479","15.18001","15.11603"
"C00307","9.175328","9.536186","9.482110","9.308262","6.898692","6.454090","6.600904","6.393340"
"C00319","12.02342","12.05120","12.38552","12.37486","13.17366","13.52188","13.56637","13.47856"
"C00325","9.746606","9.642505","9.816849","9.906675","9.609469","9.761177","9.333235","9.367288"
"C00350","11.69180","12.18782","12.57119","12.32714","13.51975","12.95586","13.41357","12.89161"
"C00360"," 6.044954"," 4.374149"," 5.486754"," 6.980822","11.125439","11.007641","10.771837","10.824935"
"C00362","10.650671"," 8.066996"," 9.465916","10.883298","10.150454","11.943578","12.010809","12.012255"
"C00364","11.89870","11.23803","11.53165","11.66873","12.44168","12.74413","12.64568","12.64617"
"C00378","14.54076","14.20795","14.10016","13.79887","13.19568","13.32827","13.39911","13.13132"
"C00380"," 5.089554"," 5.062897"," 6.651992"," 5.106851"," 8.635357"," 9.522317","10.155328"," 9.497655"
"C00385","11.55320","10.65158","11.28194","11.54834","11.78774","11.38113","11.46247","11.66708"
"C00387","13.69230","13.34481","13.37978","13.48236","13.45919","13.54216","14.20000","13.94166"
"C00463","11.20607","10.92263","11.11003","10.88022","11.38827","10.84088","10.82348","10.76248"
"C00487","12.92444","13.16278","13.21256","12.99613","14.99486","13.63865","13.82308","13.58579"
"C00491","10.349514"," 9.579117"," 9.702304"," 9.461156"," 9.655456"," 9.652858"," 9.107675"," 9.064900"
"C00550","11.49184","11.99305","12.76404","12.08776","15.05506","12.96178","14.50634","12.73974"
"C00570","11.354671","11.236686","11.245722","11.598279"," 6.126994"," 7.149990"," 7.082369"," 7.034334"
"C00588","18.00469","17.96105","18.08562","18.18230","18.55484","18.56349","18.67724","18.43010"
"C00612","13.97188","13.48153","13.41181","13.91791","13.37745","13.73360","14.13733","14.11797"
"C00670","10.373440"," 9.865082"," 9.113251","10.549953"," 8.990606"," 9.049063"," 9.477069"," 7.320513"
"C00836","11.10867","11.09544","11.34960","11.27994","11.77181","12.54055","12.33356","12.38494"
"C00864","14.07986","13.69531","13.67326","13.76759","14.82271","14.76987","14.88575","15.00864"
"C00946","12.62818","12.88531","12.89197","12.83475","13.99670","14.13498","14.25508","14.22483"
"C01586"," 9.997564"," 9.539350"," 9.468232"," 9.675569","11.967509","11.876001","11.957857","12.020916"
"C02301","13.303288","12.960900","13.045596","13.037936"," 6.036977"," 4.888653"," 5.129649"," 5.119733"
"C02305","13.95968","13.76140","13.78732","13.70907","13.71073","14.70527","15.31771","14.90756"
"C02494","9.369993","9.600299","9.396044","8.820069","8.333263","8.969259","9.062272","8.110733"
"C02567","13.06360","12.08227","11.90542","12.23020","13.07280","12.64474","13.03624","12.87501"
"C02571","13.96777","13.95015","13.92214","13.60539","13.38472","13.80930","13.67342","13.24687"
"C02862","10.46361","10.40249","10.53658","10.24714","15.03696","15.21147","15.31534","14.84886"
"C02990","15.53750","15.27228","15.45380","15.45863","11.07659","11.11757","10.40475","10.08115"
"C03017","11.642797","11.615918","11.652085","11.505709"," 9.886643","10.951456","10.732555","10.507976"
"C03546"," 9.526549"," 9.916593"," 9.789016","10.360608"," 9.154997"," 9.859400"," 9.675093","10.038659"
"C03794","10.54425","10.98262","11.19695","11.04188","11.26301","11.98799","11.96607","11.93629"
"C03889","8.410486","8.548520","6.948503","7.744716","8.382607","8.484052","4.057716","8.474118"
"C04100"," 9.926199"," 8.679505"," 9.153245"," 9.259811","11.556369","11.208544","10.387642","10.676355"
"C04230","11.41742","11.16977","11.58980","11.48223","12.75464","12.81622","12.48966","12.47537"
"C05282","10.75427","10.71728","10.54977","10.31056","11.38889","11.40823","11.17432","11.20195"
"C05382"," 7.616772"," 7.044386"," 7.833071"," 8.199332"," 9.425281"," 9.976663"," 9.947027","10.229866"
"C05526","11.834410","10.347868","10.554743","10.256732"," 8.906814"," 7.684738"," 7.698831"," 7.617625"
"C05551","16.00279","14.98497","14.88176","14.28489","14.40809","13.43608","13.47673","13.62671"
"C05635"," 7.288742"," 8.306973"," 7.112976"," 7.224646","10.089780"," 9.437219"," 9.429266"," 9.409465"
"C06525","13.49536","12.80803","12.71684","12.40965","12.33755","11.55871","11.56687","11.65792"
"C07471"," 9.938710"," 9.900115"," 9.947066","10.098769"," 9.802623","10.147218","10.235627"," 9.888562"
"C07968"," 5.764539"," 9.389643","10.105684"," 9.426608"," 6.440767"," 9.358816"," 9.249916"," 9.523495"
"C08261","11.61043","11.51075","11.27770","11.68716","14.18199","12.70905","12.27133","12.29264"
"C08277"," 9.434364"," 9.366851"," 9.109133"," 9.960473","10.854429","10.606558"," 9.855655"," 9.588273"
"C13916","6.008029","9.186202","8.977807","9.293462","5.706387","8.196409","9.532287","9.452070"
"C14550"," 8.624386"," 8.581324"," 9.617646"," 9.597919","10.520339","10.124806","10.389911","10.113745"
"C14826"," 8.843950","10.210279"," 9.582384"," 9.682038","10.763729","10.016280","10.300156"," 9.282595"
"C17925"," 9.316650"," 9.166196"," 8.990175"," 9.359741","10.244002","10.104402","10.122154","10.006548"
