"","BP_1","BP_2","BP_3","BP_4","H2O_1","H2O_2","H2O_3","H2O_4"
"Label","BP","BP","BP","BP","H2O","H2O","H2O","H2O"
"C00003","12.4265665689317","12.34266608799","12.4742743465107","12.4063196334959","13.3342855303932","12.7713710207549","12.9063533576074","12.7567082950079"
"C00008","12.1850980688508","11.9430451097601","12.0963841986895","12.7128547457328","11.7377540914651","12.0404887555646","11.8429291290639","11.697213266517"
"C00015","8.96709167739211","9.00986788603483","8.73930686275983","8.83514633898057","8.60700273444858","9.31241055500171","9.96544251185053","9.83185349601388"
"C00016","9.16057797422396","9.0331105314629","9.56854745416926","9.46181150254075","10.239653520781","10.0131756204807","9.84339481457234","9.73812303219117"
"C00019","13.502160080203","12.5477685824032","12.4620806007107","12.2345637677704","14.4068386629608","12.9752926282807","13.3670699784198","12.9076757049787"
"C00020","14.2351654626717","14.4035837221534","14.4364725061361","14.7753463677405","16.5324951806077","16.3300447685261","16.3559282023701","16.3046221096039"
"C00029","11.7452096267715","11.776015674378","11.7124910440124","11.6377823928624","13.0815731938502","12.7370558461482","12.9188393746684","12.9697498130823"
"C00043","12.1234264230853","11.8053752996396","11.9822038973599","12.210541158004","12.5151354320415","12.1973375664901","12.2431916790049","12.2715863352863"
"C00051","7.068259205271","8.11750392928782","8.13338141225865","10.1815867714434","6.47514443225922","11.8522681331996","11.9262379117884","11.9293022691666"
"C00052","10.6956416716858","10.3100837084575","10.5199492500334","10.6904179534702","12.0284271491301","11.9477997913963","12.0722762383144","11.9711715071829"
"C00055","11.621601641585","11.6669036287565","11.6307677299104","11.875303165994","13.3924573321302","12.5053955988938","12.7832559301483","12.6673805050258"
"C00061","9.29835736979438","9.44606986298242","9.30577596029769","8.91967317922745","9.1846947243524","8.54635959392535","8.15675169915236","8.17518241001584"
"C00062","8.76562847143219","9.03618090457183","9.28820584264204","9.22268498577489","6.39243974705163","6.62261913727488","6.86361453543195","6.8536993335744"
"C00082","13.5402715240335","12.6029762043309","12.5200561433165","12.8636017423275","12.7452453787133","13.4504726167554","13.5605139686204","13.3683297465026"
"C00103","9.95914617902264","11.0486187590588","11.2357276524308","11.3270593286812","11.2504406179648","11.2472378727327","11.2263331052025","11.3109082824858"
"C00105","12.6499297782296","12.8219044721353","12.7609497094288","12.7730332370672","13.8341292136877","13.6430267557857","13.9414613946164","13.9374119098072"
"C00120","13.7834544881255","13.4131286661294","13.4410805204466","13.6400291050579","14.5721600588661","13.8624254497929","13.9275566873867","13.8746667169873"
"C00127","13.804980556891","13.8508923696437","13.4675814397521","14.0760336085511","18.1179113788893","17.6594825624649","17.7984932337962","17.6043611335261"
"C00144","13.5255773888869","13.7543117756937","13.701328188145","14.0100106487386","14.972214184695","14.8250495181532","15.0994393310605","14.8176608689237"
"C00147","8.59345343103332","9.1854271491575","8.89823913952234","8.85183318752651","10.9938063888565","10.2756016031356","10.4335647987778","9.75753918796361"
"C00157","13.8883884630091","14.3402431254812","15.0922668381469","14.5192159703647","17.3802791841741","15.7683129138793","16.9397369046458","15.7855914161516"
"C00158","12.3997706557994","12.778868847267","12.8193023489156","12.4414895059313","9.37145036940093","10.0856905554982","10.1780142754922","10.2056206881366"
"C00167","11.7344228855366","11.8623801409025","11.8815586115309","11.8669207569607","12.3204541829847","12.4397348334692","12.3402197436284","12.3577526405842"
"C00170","15.9056709232799","15.3957325173562","15.1653165280804","15.4955729721603","12.2878472185287","15.1339299610453","14.735673257764","15.095113250199"
"C00199","9.25839888136627","9.00810787251827","9.04467825228069","9.13240468238848","6.64366637312763","7.91286446270015","8.62740057380663","8.73894285177589"
"C00242","12.2584503713804","12.3891508593828","12.3510566199429","12.5616490331914","13.4518329774204","13.1148784548569","13.0545790902942","12.8215347174524"
"C00262","10.3600454097911","10.6262411251764","10.7102698507753","10.6807544932739","11.9042298173484","11.4834277797901","11.5479027881044","11.7272787890781"
"C00284","10.2275589144476","9.79536479454195","10.2110610546326","10.2700828884522","7.46536591606081","7.02076329080338","7.16757715422507","6.96001337661578"
"C00294","17.0652686124685","16.5197703997506","16.4728731533423","16.7311270419103","16.9679678395129","17.0878583817762","17.5237291928953","17.3097901197071"
"C00299","14.5462741756239","14.2177807733331","14.2254107470145","14.5787253163646","14.7686094689912","14.6747850233554","15.1800085409275","15.1160275187814"
"C00307","9.17532842573673","9.53618612930971","9.48211028696737","9.30826218723338","6.89869242230668","6.45408979704925","6.60090366047095","6.39333988286166"
"C00319","12.0234184848462","12.0511980522018","12.3855205788725","12.374862971466","13.1736604075553","13.5218827837712","13.5663703901449","13.4785568620194"
