"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","FCCP_1","FCCP_2","FCCP_3","FCCP_4"
"Label","DMSO","DMSO","DMSO","DMSO","FCCP","FCCP","FCCP","FCCP"
"C00003","13.11760","13.14897","13.14521","13.23834","13.04461","12.73543","13.07627","12.89620"
"C00008","12.14665","11.95388","11.73540","11.87214","11.58704","11.56425","11.74506","11.77477"
"C00015","9.645476","9.378993","9.283539","9.414554","8.390433","8.447409","8.410659","8.452443"
"C00016","11.91599","12.14714","11.83079","11.95703","11.43542","11.38652","11.54110","11.56443"
"C00019","12.42910","12.62034","12.66279","12.67959","13.65797","12.86477","13.05432","13.03816"
"C00020","15.27507","15.66863","15.16038","15.34994","14.60585","14.68916","14.80838","14.68335"
"C00029","13.00373","13.06134","12.71686","12.87332","10.85539","10.76229","10.93612","10.89891"
"C00043","13.01492","12.96125","12.56083","12.76576","11.92021","11.92273","12.01610","12.13277"
"C00051","15.01258","14.49923","13.93709","14.47650","14.31439","14.20120","14.25213","14.05047"
"C00052","12.23433","12.37311","12.00682","12.26385","10.17212","10.14486","10.21095","10.28028"
"C00055","11.51770","11.48866","11.74077","11.70926","10.63990","11.16857","10.82912","10.87259"
"C00061","9.066537","9.155816","9.290464","9.127713","8.639224","8.801219","8.804018","8.444815"
"C00062","11.09265","11.07602","10.74467","11.02666","11.84477","11.59758","11.39044","11.60815"
"C00082","13.10269","13.24983","13.48224","13.40592","13.41822","13.21519","13.36876","13.26997"
"C00103","11.452808","11.521323","11.417610","11.432706"," 4.936023"," 6.757395"," 7.125415"," 6.509026"
"C00105","14.15388","14.26154","14.06083","14.07266","12.54590","12.83399","12.75041","12.75944"
"C00120","10.68686","10.63630","10.37277","10.37094","11.13468","11.10240","10.97890","11.33534"
"C00127","18.16106","18.03792","17.96522","17.93301","16.07578","15.77620","16.17165","15.95930"
"C00144","12.78347","12.92936","12.91298","12.55127","11.84337","12.32278","12.23189","12.13523"
"C00147","8.810751","8.541151","8.336925","8.440140","9.238254","9.313100","8.984590","9.206365"
"C00157","13.16435","13.32799","12.61154","13.15719","12.72951","12.05539","13.00161","12.82757"
"C00158","12.402984","12.836647","12.427739","12.455420"," 9.588557"," 9.577235"," 9.684592"," 9.371325"
"C00167","12.45466","12.48092","12.20175","12.38462","11.20725","11.04020","11.44917","11.23003"
"C00170","13.33872","12.94789","13.10677","13.07972","14.22526","13.90208","13.85366","14.07124"
"C00199","8.742930","7.786772","8.536446","8.824135","7.883306","6.961358","7.977960","8.208322"
"C00242","11.57139","11.75357","12.18258","11.90969","11.73782","12.05334","11.43741","11.71854"
"C00262","11.29303","11.05923","11.15382","11.21926","10.32798","10.29009","10.19549","10.10661"
"C00294","17.35719","17.08638","17.51459","17.52756","17.25928","17.32919","17.37717","17.21732"
"C00299","14.56644","14.25081","14.87935","14.64002","14.00921","14.47469","14.10370","14.00703"
"C00307","5.653114","5.741883","5.777438","5.795289","8.392967","8.151241","8.282077","8.454026"
"C00319","12.660299","12.630412","12.819299","12.940661"," 9.364338"," 9.562417"," 9.639810"," 9.870756"
"C00325","11.55601","11.69011","11.29647","11.68016","12.29043","12.23966","12.08492","12.23129"
