"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Tryptophan metabolism",41,1,90.889,14.286,0.00024489,0.0083262,0.0083262
"Pyrimidine metabolism",39,6,82.001,14.286,0.00062186,0.020522,0.010572
"Fatty acid degradation",39,1,83.524,14.286,0.0014937,0.047797,0.016928
"Nicotinate and nicotinamide metabolism",15,1,75.741,14.286,0.0049387,0.1531,0.034836
"Arginine and proline metabolism",36,3,52.142,14.286,0.0060241,0.18072,0.034836
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,70.385,14.286,0.0092213,0.26742,0.034836
"Tyrosine metabolism",42,1,70.385,14.286,0.0092213,0.26742,0.034836
"Phenylalanine metabolism",8,1,70.385,14.286,0.0092213,0.26742,0.034836
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,1,70.385,14.286,0.0092213,0.26742,0.034836
"Pentose and glucuronate interconversions",19,3,58.604,14.286,0.017423,0.43558,0.056569
"Cysteine and methionine metabolism",33,3,43.174,14.286,0.018302,0.43924,0.056569
"Pentose phosphate pathway",23,1,61.153,14.286,0.02185,0.50255,0.061909
"Ascorbate and aldarate metabolism",9,2,52.336,14.286,0.027397,0.60273,0.071654
"Amino sugar and nucleotide sugar metabolism",42,4,43.79,14.286,0.031009,0.65119,0.073608
"Fructose and mannose metabolism",20,1,56.096,14.286,0.032474,0.65119,0.073608
"Drug metabolism - other enzymes",39,1,54.306,14.286,0.037008,0.70315,0.078642
"Glutathione metabolism",28,3,45.727,14.286,0.041629,0.74933,0.083258
"Inositol phosphate metabolism",30,1,49.015,14.286,0.053172,0.90392,0.099241
"Purine metabolism",70,11,27.822,14.286,0.055458,0.90392,0.099241
"Riboflavin metabolism",4,2,38.781,14.286,0.078066,1,0.13271
"Pantothenate and CoA biosynthesis",20,1,40.892,14.286,0.087761,1,0.14209
"Ether lipid metabolism",20,1,35.071,14.286,0.12191,1,0.1884
"Lysine degradation",30,1,31.442,14.286,0.14823,1,0.21912
"Biotin metabolism",10,1,30.425,14.286,0.1564,1,0.22157
"Alanine, aspartate and glutamate metabolism",28,1,28.447,14.286,0.17343,1,0.22933
"Sphingolipid metabolism",32,2,27.405,14.286,0.17537,1,0.22933
"Glycerophospholipid metabolism",36,3,20.54,14.286,0.24622,1,0.31006
"Thiamine metabolism",7,1,15.731,14.286,0.33064,1,0.37612
"Arachidonic acid metabolism",44,1,14.919,14.286,0.34458,1,0.37612
"Linoleic acid metabolism",5,1,14.919,14.286,0.34458,1,0.37612
"alpha-Linolenic acid metabolism",13,1,14.919,14.286,0.34458,1,0.37612
"Starch and sucrose metabolism",18,1,14.392,14.286,0.35399,1,0.37612
"Arginine biosynthesis",14,1,6.4981,14.286,0.54234,1,0.55877
"Galactose metabolism",27,2,7.8548,14.286,0.59397,1,0.59397
