"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Mena_1","Mena_2","Mena_3","Mena_4"
"Label","DMSO","DMSO","DMSO","DMSO","Mena","Mena","Mena","Mena"
"C00003","13.07905","12.96429","13.13974","12.87320","11.60245","11.47934","11.56557","11.71260"
"C00005","5.080482","6.693562","7.493020","8.437553","8.984990","6.946299","8.659325","9.150176"
"C00008","11.84911","11.72281","11.72541","11.81755","11.41134","11.57408","11.38094","11.67436"
"C00015"," 9.943138","10.020423"," 9.527420"," 9.399435"," 8.476064"," 8.567595"," 8.304946"," 7.791014"
"C00016","12.05164","12.19675","12.41499","12.30637","11.80704","11.81891","11.71457","11.80200"
"C00019","12.38076","12.44227","12.88100","12.89991","12.74190","12.07113","11.95703","12.23038"
"C00020","15.43530","15.73833","15.88018","15.67055","14.08392","13.94752","14.06382","14.13362"
"C00029","13.57643","13.56178","13.61223","13.57927","10.62659","10.52962","10.51534","10.40643"
"C00043","13.46044","13.43014","13.42679","13.47896","11.83674","11.71792","11.91239","11.85076"
"C00051","12.826530","12.236167","12.597978","12.650741"," 8.867298"," 8.775521"," 8.719823"," 8.711386"
"C00052","12.367930","12.391802","12.213019","12.474374"," 9.560013"," 9.608307"," 9.414405"," 9.436511"
"C00055","12.22651","12.57975","12.49959","11.91866","10.91115","11.11637","10.83496","10.74408"
"C00061","6.209516","8.761959","7.871212","7.854096","8.748410","8.911564","8.737315","8.647383"
"C00062","11.33659","11.24164","11.03086","11.61504","12.64264","12.53092","12.59579","12.66013"
"C00082","13.39143","13.42806","13.35131","13.33751","13.79532","13.62895","13.52133","13.90678"
"C00103","12.51485","12.45865","12.97128","13.04803","11.82991","11.37871","11.34557","11.43055"
"C00105","14.22844","14.29296","14.26791","14.25676","12.81464","12.80663","12.73266","12.86762"
"C00118","6.066927","6.069384","5.968452","5.963987","8.644981","8.514292","8.849526","8.398839"
"C00120","13.71827","13.69827","13.98057","13.97404","14.08633","13.93573","14.05561","13.98125"
"C00127","18.19966","18.14028","18.16055","17.94220","17.09019","16.93290","16.89895","17.15939"
"C00130"," 8.506950"," 8.332680"," 8.237649"," 8.147004","11.170377","10.884648","10.948729","11.097556"
"C00144","12.90152","13.11490","13.21009","12.48396","12.21447","12.21013","11.81405","12.09491"
"C00147","10.183002"," 9.936932","10.373136","10.019422"," 9.300653"," 8.083846"," 9.391233"," 8.777182"
"C00157"," 8.634703","10.089963"," 9.425633","10.281658","10.272415","11.689007"," 9.205868","11.004239"
"C00158","10.51287","10.33860","10.24357","10.15292","12.93984","13.00024","13.28176","13.08217"
"C00167","13.11446","12.99180","12.98789","12.99537","10.76196","10.69586","10.76869","10.71361"
"C00170","14.05360","13.78470","13.86328","14.08988","14.42380","14.03217","14.22840","13.88871"
"C00199"," 8.181693"," 8.803101"," 7.776052"," 7.670941"," 9.879924","10.121289"," 9.668904"," 9.404284"
"C00242","12.32124","12.74161","13.00284","11.87215","13.02860","12.91701","12.72375","12.66509"
"C00257"," 7.631205"," 7.456935"," 7.361903"," 7.271258","10.357039","10.433953","10.649381","10.405974"
"C00262","13.97687","14.14573","13.90389","13.80663","13.38329","13.37187","13.03591","13.22301"
"C00294","17.13907","17.03613","16.52417","16.80149","16.88133","16.80663","16.61275","16.65728"
"C00299","14.79651","14.76167","14.24988","14.35720","14.43404","14.63720","14.21350","14.32567"
"C00307","5.284893","5.225504","4.901047","4.939523","7.930313","8.084668","7.968721","7.786287"
"C00319","13.53176","13.45646","13.63401","13.72254","12.92487","12.92653","12.87534","12.81926"
"C00325","9.861928","9.919100","9.977566","9.939868","8.973136","8.944539","8.976583","9.051373"
"C00350","11.98966","12.03228","11.74965","11.77381","11.96840","12.34942","11.83187","12.70441"
"C00360","10.717105","10.417748","10.235093","10.493382"," 8.718566"," 8.190500"," 7.978051"," 8.240666"
"C00362","11.664958","11.884551","11.844798","12.196126","10.018519"," 9.245262","10.518341","11.082773"
"C00364","12.68575","12.45870","12.39191","12.19697","11.44015","11.48337","11.50457","12.04370"
"C00378","12.87355","13.01107","13.13768","13.15088","13.31798","13.21538","13.30268","13.29544"
"C00387","13.72199","13.48947","12.92436","12.89872","14.27029","14.27288","13.89969","14.01880"
"C00463","10.37183","10.53109","10.44871","10.74036","11.20160","10.83158","10.94390","11.09777"
"C00487","13.41518","13.19477","13.28334","13.16057","13.19948","12.97987","13.15680","12.92760"
"C00491"," 8.916193"," 8.916772"," 9.900458","10.680100"," 9.049417"," 9.124743"," 9.395002"," 9.201809"
"C00570","6.031380","6.033837","5.932904","7.886610","9.123388","9.123897","9.038329","9.059140"
"C00588","18.33649","18.42228","18.39983","18.49951","17.87100","17.74291","18.15524","17.88418"
"C00612","13.76543","13.98639","13.42501","13.86131","13.66250","13.66428","13.78480","13.99409"
"C00670","17.68081","17.54346","17.64009","18.01571","17.05002","16.87169","16.97208","16.90065"
"C00836","12.42483","12.21649","12.34555","12.48987","11.79448","11.82806","11.38716","11.60152"
"C00864","15.02544","15.01064","15.55497","15.37238","14.03678","13.77179","14.08351","14.07450"
