"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Amino sugar and nucleotide sugar metabolism",42,4,99.754,14.286,1.4894e-10,5.3619e-09,3.8174e-09
"Ascorbate and aldarate metabolism",9,2,99.86,14.286,2.1208e-10,7.4227e-09,3.8174e-09
"Starch and sucrose metabolism",18,1,99.863,14.286,8.0326e-10,2.7311e-08,9.317e-09
"Galactose metabolism",27,2,99.75,14.286,1.0352e-09,3.4162e-08,9.317e-09
"Pentose and glucuronate interconversions",19,3,96.904,14.286,2.9862e-08,9.5559e-07,2.1501e-07
"Fructose and mannose metabolism",20,2,99.11,14.286,1.5302e-07,4.7437e-06,9.1814e-07
"Citrate cycle (TCA cycle)",20,1,99.107,14.286,2.2339e-07,6.7018e-06,9.4017e-07
"Glyoxylate and dicarboxylate metabolism",31,1,99.107,14.286,2.2339e-07,6.7018e-06,9.4017e-07
"Glycolysis / Gluconeogenesis",26,1,99.092,14.286,2.3504e-07,6.7018e-06,9.4017e-07
"Fatty acid degradation",39,1,99.047,14.286,2.716e-07,7.3333e-06,9.7777e-07
"Alanine, aspartate and glutamate metabolism",28,2,98.624,14.286,4.0411e-07,1.0507e-05,1.256e-06
"Inositol phosphate metabolism",30,2,96.46,14.286,4.1866e-07,1.0507e-05,1.256e-06
"Pentose phosphate pathway",23,3,96.596,14.286,4.8897e-07,1.1735e-05,1.3541e-06
"Purine metabolism",70,12,89.316,14.286,7.2181e-07,1.6602e-05,1.8561e-06
"Arginine and proline metabolism",36,3,95.522,14.286,8.0626e-07,1.7738e-05,1.935e-06
"Nicotinate and nicotinamide metabolism",15,1,98.295,14.286,1.5597e-06,3.2754e-05,3.5093e-06
"Pyrimidine metabolism",39,5,88.997,14.286,1.3995e-05,0.00027989,2.9636e-05
"Glycerophospholipid metabolism",36,5,80.398,14.286,3.5129e-05,0.00066745,7.0258e-05
"Glutathione metabolism",28,3,79.217,14.286,4.2908e-05,0.00077234,8.1299e-05
"Arginine biosynthesis",14,1,94.787,14.286,4.5175e-05,0.00077234,8.1316e-05
"Sphingolipid metabolism",32,2,90.362,14.286,0.00013326,0.0021322,0.00022845
"Pantothenate and CoA biosynthesis",20,1,91.739,14.286,0.00018192,0.0027287,0.00029768
"Ether lipid metabolism",20,1,89.101,14.286,0.00042234,0.0059127,0.00066105
"Tryptophan metabolism",41,1,71.646,14.286,0.0080423,0.10455,0.011349
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,70.793,14.286,0.0088268,0.10592,0.011349
"Tyrosine metabolism",42,1,70.793,14.286,0.0088268,0.10592,0.011349
"Phenylalanine metabolism",8,1,70.793,14.286,0.0088268,0.10592,0.011349
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,1,70.793,14.286,0.0088268,0.10592,0.011349
"Thiamine metabolism",7,1,66.948,14.286,0.013045,0.10592,0.016194
"Riboflavin metabolism",4,2,44.164,14.286,0.062293,0.43605,0.074557
"Lysine degradation",30,1,46.069,14.286,0.064202,0.43605,0.074557
"Biotin metabolism",10,1,40.528,14.286,0.08964,0.4482,0.10085
"Arachidonic acid metabolism",44,1,25.699,14.286,0.19977,0.7991,0.20548
"Linoleic acid metabolism",5,1,25.699,14.286,0.19977,0.7991,0.20548
"alpha-Linolenic acid metabolism",13,1,25.699,14.286,0.19977,0.7991,0.20548
"Cysteine and methionine metabolism",33,3,19.28,14.286,0.25787,0.7991,0.25787
