"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Metriz_1","Metriz_2","Metriz_3","Metriz_4"
"Label","DMSO","DMSO","DMSO","DMSO","Metriz","Metriz","Metriz","Metriz"
"C00003","12.92995","12.37155","12.54717","12.99443","12.41131","12.29631","12.37204","12.45751"
"C00008","11.72488","11.80026","11.50000","10.37307","10.86180","10.83729","11.34327","11.29000"
"C00015","8.666773","8.967563","8.961218","9.104459","9.127904","8.735511","9.000872","9.363272"
"C00016","9.119030","8.814283","8.697623","9.071501","8.746727","8.887490","9.235321","9.199999"
"C00019","13.11671","12.76567","12.66532","13.11966","12.73500","12.81896","12.57036","12.57199"
"C00020","15.14005","15.10460","14.98324","14.87432","14.96345","14.88873","14.59900","14.84757"
"C00029","13.29689","12.97709","13.03508","13.12891","12.75904","12.87969","12.84760","12.92627"
"C00043","13.30114","13.11128","12.97487","13.06299","12.95555","13.01325","12.92745","13.04733"
"C00051","14.66486","14.65544","14.35474","14.46404","14.18747","14.02147","13.72859","14.14988"
"C00052","11.84399","11.74610","11.65839","11.52753","11.87120","11.78637","11.57658","11.57850"
"C00055","12.40458","12.31038","12.25846","12.35469","11.69515","12.26361","12.17103","12.20189"
"C00062","11.13005","11.21145","11.42852","11.02651","12.22803","11.62249","11.27687","11.39443"
"C00082","13.30608","13.23711","13.40999","13.28962","13.27428","13.09608","13.05324","13.08413"
"C00103","10.96899","10.76527","11.26347","10.75369","10.76369","10.56821","10.36900","10.49980"
"C00105","14.24946","14.19690","14.12041","14.15825","13.96678","14.16707","14.01389","14.07287"
"C00120","11.65171","11.48341","11.66119","11.62767","11.13147","11.11970","10.94557","11.20522"
"C00127","13.34886","13.25755","13.07069","13.23164","13.58883","13.62321","13.36659","13.45650"
"C00144","15.27439","15.30109","15.17556","15.26464","14.61109","15.19658","14.93464","15.09081"
"C00147","9.332725","9.392639","9.220505","9.252586","8.474472","9.218384","8.770923","9.304408"
"C00157","12.53563","11.82918","11.86133","13.19861","13.68877","13.51391","14.45875","13.81478"
"C00158","10.84336","11.41573","11.45821","11.51438","11.24955","11.42360","11.24257","10.83045"
"C00167","12.32620","12.15726","12.06092","12.26730","11.95161","12.18049","12.06375","11.99031"
"C00170","14.06891","13.86036","13.92672","13.99209","13.49859","13.76961","13.41469","13.73928"
"C00199","8.127983","7.906332","8.305085","8.477559","7.796787","8.768283","8.876312","8.032349"
"C00242","12.96158","12.87599","12.85591","13.02542","11.73996","12.31767","12.07882","12.29487"
"C00262","14.06163","13.68032","13.64333","13.77192","13.28179","13.63680","13.55220","13.61340"
"C00294","17.25553","17.13412","17.15343","17.39575","16.99742","17.18949","17.12415","17.12925"
"C00299","15.08900","15.03253","14.97518","15.14188","14.62303","15.04022","15.10744","14.98080"
"C00319","13.11476","12.93712","12.84340","12.85265","13.01296","12.79813","12.86930","12.82624"
"C00325","11.37988","11.32752","10.88039","11.16818","11.04424","11.09637","11.03694","11.08095"
"C00350","10.294591"," 9.808986","10.644725"," 9.333704","11.592531","10.125033","11.056148","10.171423"
"C00360","10.612524","10.021088"," 9.699282","10.004925","10.096986"," 9.978491","10.086099"," 9.801286"
"C00362","11.32786","11.23306","11.96801","11.75208","10.33517","11.18029","10.83436","10.76428"
"C00364","12.06695","12.14504","11.95914","11.70005","12.36112","11.92395","11.95304","12.11742"
"C00378","13.21201","13.04514","13.37622","13.25531","13.28210","13.17439","12.99483","12.94835"
