"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Metriz_1","Metriz_2","Metriz_3","Metriz_4"
"Label","DMSO","DMSO","DMSO","DMSO","Metriz","Metriz","Metriz","Metriz"
"C00003","12.9299467130718","12.3715528665422","12.5471659029396","12.9944288569705","12.4113149811542","12.2963081257258","12.3720437805999","12.4575146168632"
"C00008","11.7248825390561","11.8002573734955","11.5000019141619","10.3730698302585","10.8618038980112","10.8372901891734","11.3432697893041","11.2900026517369"
"C00015","8.66677285632549","8.96756253669774","8.9612177716651","9.10445924732175","9.1279036554672","8.73551126981683","9.00087157973681","9.36327177717536"
"C00016","9.11903017636902","8.81428272869976","8.69762260096206","9.07150060191096","8.74672692211887","8.88748970260879","9.2353208841401","9.19999902807299"
"C00019","13.1167091627622","12.7656727170008","12.6653229905439","13.119663749171","12.7350003712449","12.8189585638192","12.5703623473412","12.5719935246189"
"C00020","15.1400505362597","15.1045982441364","14.9832414895167","14.8743247337527","14.9634458669144","14.8887263808479","14.5990004200471","14.8475744942908"
"C00029","13.2968905419064","12.9770851530705","13.0350791071803","13.128905735873","12.7590415349297","12.8796896689638","12.8475956421623","12.9262718808806"
"C00043","13.30113694585","13.1112795751366","12.9748738501224","13.0629903138009","12.9555464229835","13.0132451466906","12.9274450637554","13.0473334430611"
"C00051","14.6648563297936","14.6554415750529","14.3547389893964","14.4640409551207","14.187467258844","14.0214727459058","13.7285868480777","14.149879229047"
"C00052","11.8439916880789","11.7461042843288","11.6583881368994","11.5275313343578","11.8711994075975","11.786369671949","11.5765803422065","11.5784976320772"
"C00055","12.4045760785568","12.3103793677821","12.2584633814344","12.3546891537521","11.6951480233043","12.263611854699","12.1710308073107","12.2018897406127"
"C00062","11.1300461875685","11.2114534626969","11.4285177805698","11.0265065445642","12.2280297859118","11.6224851330682","11.2768743294175","11.3944336010362"
"C00082","13.3060750515055","13.2371062978867","13.4099932990561","13.2896152967308","13.2742794177516","13.0960802724457","13.0532433605432","13.0841277368871"
"C00103","10.968991582712","10.7652689387352","11.2634681846308","10.7536923093924","10.7636864754136","10.5682092542412","10.3689970212979","10.4997997820814"
"C00105","14.2494560700895","14.1969028086853","14.1204117774977","14.1582534264252","13.9667815691579","14.1670739658609","14.0138932526572","14.0728746651053"
"C00120","11.6517142265042","11.4834131282413","11.6611853679169","11.6276719456402","11.1314724134185","11.1196964771596","10.9455727648067","11.2052219256036"
"C00127","13.3488585279132","13.2575482861695","13.0706922926886","13.2316429550831","13.5888280552005","13.62321236902","13.3665881189545","13.4564994653751"
"C00144","15.274387473039","15.3010879245656","15.1755637059217","15.2646369395044","14.6110935338014","15.1965799047123","14.9346394713861","15.0908102804236"
"C00147","9.33272459186396","9.39263945831305","9.22050545432739","9.2525861292286","8.47447166001454","9.21838446471787","8.77092341562977","9.30440843271402"
"C00157","12.5356270748631","11.8291753879891","11.8613284755364","13.1986105976292","13.6887688887426","13.513911163495","14.4587501950124","13.814781700753"
"C00158","10.843361235463","11.4157263022439","11.4582112789409","11.5143806617183","11.2495520063071","11.4236010043265","11.2425746270151","10.8304471364281"
"C00167","12.3261989254615","12.1572558951079","12.0609173843295","12.2672954052745","11.9516124669043","12.1804937099878","12.0637537440737","11.990306918028"
"C00170","14.0689085550087","13.8603607310143","13.9267207037235","13.9920866963957","13.4985931024461","13.7696112262667","13.4146869415299","13.7392794063194"
"C00199","8.12798273983607","7.9063322479098","8.30508533465595","8.47755856160229","7.79678685227227","8.76828305359684","8.87631200958491","8.03234882077472"
"C00242","12.961577029549","12.8759901342734","12.8559117072383","13.0254236889085","11.7399592983488","12.3176735821661","12.078817569578","12.2948714871241"
"C00262","14.0616261061026","13.6803212858084","13.6433256921663","13.7719190752262","13.2817866430283","13.6368044778663","13.5521997584364","13.6134021551798"
"C00294","17.2555272150257","17.1341198144641","17.1534278669178","17.3957549902316","16.997420982914","17.18948888321","17.1241485083149","17.1292494257502"
"C00299","15.0890009897315","15.0325265253106","14.9751759783998","15.1418814780019","14.6230263651968","15.0402184331785","15.1074412846459","14.9808007359759"
"C00319","13.1147628028767","12.9371174719561","12.8433984276253","12.8526454270237","13.0129565840733","12.7981266579398","12.8692964705182","12.826241548805"
"C00325","11.379876252133","11.3275196932149","10.8803915320817","11.1681817302863","11.0442399933458","11.0963690483712","11.0369389618498","11.0809538640992"
"C00350","10.294591129314","9.8089855196577","10.6447246860985","9.333704440715","11.5925307413343","10.1250334455329","11.0561475807063","10.1714230805851"
"C00360","10.612524349713","10.0210881702844","9.69928198083729","10.0049254346193","10.0969863585843","9.9784906426398","10.0860989783911","9.80128620786752"
"C00362","11.3278620673375","11.2330638167585","11.968009924727","11.7520757616356","10.3351695707424","11.1802850654058","10.8343573668203","10.7642768040511"
"C00364","12.0669467649357","12.1450428101472","11.9591389728083","11.700047719943","12.3611152662399","11.9239462570686","11.9530379930217","12.1174155878256"
"C00378","13.21200910989","13.045144392517","13.3762190573639","13.2553137094171","13.2820955167511","13.174394102287","12.9948335541782","12.9483492289144"
"C00380","9.87858236070495","8.96414521758695","8.9781876426695","10.3031272025805","6.41744644228319","8.34803166644955","8.83692788684908","8.80869557922478"
"C00385","11.6461106306421","11.5763331861296","12.0215709601131","10.9527657730571","10.708017995578","11.5389527511594","11.5779578428648","11.447917927187"
"C00387","14.1639846109532","13.9782783524729","13.9845952560629","14.3035888392298","13.5014953753742","14.086978063321","14.0063292580599","13.952401480621"
"C00463","10.6393248228668","10.4979369354006","10.5998423669489","10.6824571725081","10.446104363146","10.3256970791022","10.5152769520634","10.307787950632"
"C00487","13.3008454986625","12.9857618587052","13.0055606732052","13.1321368770782","12.6982093836074","13.0545877843558","12.9016892957299","12.8660436876248"
"C00491","10.2718118163341","9.83369126192497","9.93299000662956","9.61626245589047","9.94733790071453","9.75456219347193","9.87997464469287","9.73388957834292"
"C00550","11.9762612380257","11.3384746850478","12.4374035373825","12.4912715673541","13.0597494199763","11.5764213016823","12.5651956374291","11.7493505914721"
"C00570","8.6907438103385","8.68607443664535","7.92047575977248","6.81174500312862","7.39029809495564","7.5547905478243","6.89477062324739","6.52063560785776"
"C00588","18.3663500934854","18.2318921245325","18.1619508638664","18.2546223764433","17.8332527005421","17.9598419303812","17.9702484074239","18.0874784309288"
"C00612","13.9907825890937","13.9179759187261","13.7314084972778","13.7319411412757","14.1806379072037","14.0095892071906","13.9319353009961","13.9224562892652"
"C00670","17.6018646829685","17.3170204487861","17.2260026324979","17.3918523010708","17.168125139858","17.1756382265497","17.1146407123186","17.1415307136057"
"C00836","11.7691432710244","11.7535398518183","11.6364015767219","11.6361019131406","11.6373655277399","11.3663151444029","11.6471026692116","11.5516889375237"
"C00864","11.5569140929679","11.3518132776144","11.402220397224","11.4467565670698","11.0779115707189","10.999452715272","10.9789368634954","11.1575686675553"
"C00946","13.2028345186423","13.3431768463192","13.5251094566101","13.0594762517567","13.1974135586887","13.1516444932048","13.5205499744797","13.1635202209083"
"C01586","11.5355542351837","11.5691475196763","11.4306179933863","11.5963133739715","11.4563842874975","11.4974782597134","11.6176107362484","11.5284783560531"
"C01780","8.57097888725158","9.04254541401006","8.80595477972613","8.45877007686561","8.674008765203","8.64593119573689","8.31994085817131","8.70170987867433"
"C02301","10.2192787145311","10.082475147863","10.073468664234","10.2134130810228","10.3550247027247","10.4069795710669","10.364749662926","10.4097282799671"
"C02305","14.9753249181197","14.3382274924871","14.6148844446678","14.8223859926501","14.521395161383","14.5294303985897","14.7336529805618","14.4266690216711"
"C02494","10.4973471234652","10.4142636480221","10.1064960036017","10.5590678333705","9.77426418076134","10.0154055564114","10.1898560624725","10.2776146625149"
"C02567","13.0293610253339","12.9795204337819","13.0831192625477","13.5316149000612","12.4597582736241","12.8423750966691","12.5051818300539","13.0983545354509"
"C02571","13.1824651029282","13.1263388850374","13.2875116264099","13.5219648488515","13.0277524049383","12.9576242769152","13.209399569638","12.826360329573"
"C02862","14.9819100893016","14.701688616351","14.5261681319212","14.827126948372","14.4442881100966","14.4565537753313","14.5442959354948","14.4854634393853"
"C02990","9.80218486686663","9.88260916995639","10.1211404211994","10.2081859202035","11.2018214290977","10.556690679513","10.5549854514456","10.3544615206459"
"C03017","10.0505075986779","9.91203740301431","9.85976144834246","10.1491613688786","9.54802653976196","9.76196057248541","10.1056009973161","9.83405076345465"
"C03546","9.68338224871621","9.30740287122842","9.41027511261128","9.16204729897005","9.7706589141053","9.32346855773341","9.38562909520725","9.16491668181946"
"C03742","8.565958257719","9.1002253109895","8.1130010347851","8.83781565255022","7.50900868149055","8.00377368413625","8.58929884434053","9.5363305559168"
"C03794","11.2450508420964","11.6902485868176","11.7316383554814","11.1767274176824","11.1818714160801","11.3364471272615","11.1256673980207","11.2830454387718"
"C03889","7.92304677438489","11.1789248272365","11.3723771214016","8.58099620123317","10.9501194665997","11.1129002221868","10.9635741581613","11.0258965712717"
"C04100","10.4346863558363","10.0983769669099","10.2080930975791","10.1014373241237","10.6134480553064","9.97403922381507","10.3787589583446","10.2851800950408"
"C04230","9.11086534260565","8.66957598744439","8.90464617403029","8.79203208717771","8.39087675252784","8.37843951143778","7.98175478060179","8.4493253489559"
"C05282","10.8365980996579","10.601611016345","10.2842545696606","10.5317085597004","9.98490334963318","10.3587608978301","10.4675398675516","10.3438223343794"
"C05382","9.96619747378671","9.70998561929341","9.53118259062228","9.62075493642192","9.60888387905023","9.88027848161505","10.0295034119959","9.6601470675381"
"C05526","11.3464667025679","11.2211980111971","11.2710491997005","11.0185011638564","11.2529649107672","11.1482584033319","11.1484991212137","11.0329303182159"
"C05551","10.5915298562736","10.4507469494783","10.7003930378205","10.5834077926961","11.8005962253044","11.427185249889","11.1918238908016","11.129708992617"
"C05635","8.59524792679854","9.09567941903949","9.25778489880313","8.98328411093818","9.66363522390675","9.75317513986189","9.95483701987206","9.72796754376631"
"C06525","11.0689176595275","10.6149436112798","11.0528874536689","11.0642075730424","12.1431920441573","11.8104545628022","11.7036202460351","11.4038543443066"
"C07005","4.82606497400553","9.07188790621852","8.70287681728026","4.98430792846758","8.90767748012584","8.63329560926016","9.23658603139753","9.18827682506995"
