"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Phena_1","Phena_2","Phena_3","Phena_4"
"Label","DMSO","DMSO","DMSO","DMSO","Phena","Phena","Phena","Phena"
"C00003","13.21180","13.21485","13.24496","13.35429","10.70923","11.12732","10.82449","10.81798"
"C00008","12.23627","12.01852","11.83335","11.98623","12.06537","12.06945","11.99352","12.03870"
"C00015","9.866229","9.604338","9.497200","9.610661","7.604787","6.659169","7.759370","6.565410"
"C00016","12.00807","12.21014","11.93074","12.07249","11.64106","11.91881","11.96620","11.93632"
"C00019","12.64620","12.86589","12.87447","12.89065","11.73578","12.04299","12.04420","11.93379"
"C00020","15.36583","15.73253","15.26148","15.46526","12.81904","12.93330","12.82094","12.43612"
"C00029","13.51677","13.64323","13.23758","13.35183","10.03499","10.41024","10.28205","10.23197"
"C00043","13.52107","13.54348","13.08115","13.24602","11.62264","11.72085","11.63380","11.78351"
"C00051","15.23239","14.72588","14.19347","14.67106","13.68154","14.24447","12.14835","13.59650"
"C00052","12.325648","12.437318","12.106336","12.380647"," 8.917031"," 9.254851"," 9.285865"," 9.089444"
"C00055","12.02908","12.07073","12.26025","12.18828","10.74470","10.49503","10.48647","10.50278"
"C00061","9.160142","9.221500","9.387483","9.244764","9.743003","9.819140","9.785765","9.680331"
"C00062","11.31371","11.30485","10.95721","11.22260","12.82755","12.90229","12.68434","12.96417"
"C00082","13.19131","13.31625","13.58187","13.52348","13.91991","14.09987","13.75617","14.04538"
"C00103","11.964928","12.101255","11.937748","11.911569"," 9.990678"," 9.364598"," 9.121586"," 9.865555"
"C00105","14.24345","14.32558","14.15996","14.18896","12.20312","11.95238","11.98147","11.92292"
"C00120","13.56799","13.58835","13.50899","13.49686","14.07815","14.16623","14.24531","14.08214"
"C00127","18.25320","18.10516","18.06488","18.04797","16.33852","16.55122","16.37063","16.39080"
"C00144","14.98785","15.15429","15.17715","15.15490","14.39528","14.24683","14.15253","14.14449"
"C00147","9.663347","9.883032","9.284628","9.703498","8.778950","8.722535","8.487709","8.928083"
"C00157","13.36455","13.75788","13.79238","13.44866","12.30615","12.80187","13.02951","12.27348"
"C00158","12.49399","12.90232","12.52735","12.57082","15.80180","15.91662","15.80320","15.68231"
"C00167","12.610685","12.627769","12.195110","12.312123"," 8.591332"," 8.734541"," 8.533264"," 8.682999"
"C00170","13.55710","13.16992","13.30390","13.28801","12.97084","12.88546","13.05841","12.82507"
"C00199"," 8.828762"," 7.863416"," 8.643656"," 8.940784","11.107887","11.070276","11.042338","10.919983"
"C00242","11.78970","11.97348","12.38123","12.12163","13.52344","13.36769","13.64974","13.33345"
"C00262","14.49541","14.19787","14.61547","14.72757","13.66210","13.40607","13.49832","13.52586"
"C00284","6.832020","6.855638","6.872354","6.967268","9.881807","9.198637","8.195643","9.594036"
"C00294","17.44716","17.15233","17.61280","17.64443","17.09255","16.97025","16.92824","16.98226"
"C00299","14.65929","14.31528","14.97964","14.75611","14.15639","13.65899","13.77223","13.89173"
"C00307","6.629765","6.653383","6.670098","6.765012","9.906066","9.615956","9.607479","9.509841"
"C00319","12.88141","12.86057","13.03047","13.13509","10.99332","11.24275","11.56606","11.13926"
"C00325"," 9.895033","10.011663"," 9.738839"," 9.639644"," 9.232332"," 8.757824"," 8.836591"," 8.970006"
"C00350","12.38678","12.66204","12.55509","12.54115","12.02182","12.17068","12.39526","11.91981"
"C00360","10.499429","10.374824","10.036435","10.385779"," 7.107938"," 7.424428"," 7.019895"," 7.471427"
"C00362","11.656749","11.905312","11.506667","11.362268"," 8.000616"," 9.113122"," 7.856594"," 7.894327"
"C00364","12.82453","12.62711","12.34366","12.57470","11.33092","11.37856","11.21839","11.56284"
"C00378","13.00168","12.89316","12.79746","12.89484","13.27264","13.23386","13.41209","13.26054"
"C00387","13.66167","13.09569","13.83409","13.82106","14.74667","14.22083","14.14882","14.49203"
"C00463","10.73318","10.50849","10.53445","10.57171","11.54408","11.57151","11.69644","11.25654"
"C00487","13.26293","13.38842","13.26060","13.24296","13.21894","12.88043","12.95798","13.11358"
"C00491","8.813707","8.798956","9.100159","8.795559","9.245811","8.826214","9.224387","8.967466"
"C00550","11.95864","12.87196","12.64898","12.22156","11.60241","12.02692","12.25341","11.61079"
"C00570"," 7.436946"," 5.798088"," 7.895633"," 7.063413","11.309581","11.203645","11.481628","11.373020"
"C00588","14.80193","14.92929","14.63410","14.55705","14.07350","14.25536","14.03310","14.52587"
"C00612","14.27878","14.46736","13.95441","13.99153","14.16530","14.29197","14.13437","14.16935"
"C00670","11.71125","11.56008","11.45591","11.40231","11.74151","11.52472","11.48272","11.79041"
"C00836","11.326262","11.304332","11.511873","11.676485"," 9.921419"," 9.996501","10.482922"," 9.687792"
"C00864","14.81863","15.03579","14.78186","14.61867","13.15764","13.64445","13.55879","13.30282"
"C00946","13.96640","14.50813","13.84326","13.92374","11.79139","11.97049","11.86877","11.76355"
"C01495","5.679561","5.703178","5.719894","5.814808","8.594223","8.736780","9.552308","8.846990"
"C01586","11.872740","11.879514","11.668664","11.583795"," 9.824706"," 9.956063","10.063892","10.025159"
"C02301","10.928475","10.783919","10.617552","10.646593"," 8.342644"," 8.323305"," 8.200469"," 8.268499"
"C02305","15.29134","15.29806","14.90454","14.98417","12.42309","12.30377","12.41278","12.35498"
"C02494"," 9.007680"," 8.512682"," 9.251404"," 8.747750","10.821271","10.763857","10.938984","11.069416"
"C02567","12.91878","13.12615","12.74408","12.43176","13.14695","13.31377","13.22234","13.42379"
"C02571","13.04358","12.93028","12.65288","12.66800","14.14914","13.97903","14.25072","14.05749"
"C02862","14.528063","14.348910","14.265379","14.296195"," 9.655262","10.415571","10.797424","10.121103"
"C02990"," 7.432675"," 7.456293"," 7.473008"," 7.567923","10.451099","10.640956","10.649254","10.375340"
"C03017","9.586259","9.641560","9.582651","9.709412","4.687394","5.882522","6.658233","5.836698"
"C03546","10.353474","10.249988","10.159806","10.201166"," 8.304657"," 7.437355"," 7.020298"," 8.175561"
"C03794","10.885776","11.184226","10.664524","11.140343"," 8.205216"," 8.102483"," 8.061194"," 8.098926"
"C03889","10.828067","11.214149","10.998045","10.967970"," 9.934359","10.269190"," 9.388080","10.260731"
"C04100","10.83244","10.82746","10.98902","10.91317","10.36374","10.46546","10.50431","10.33915"
"C04230","12.11864","12.10716","12.09715","11.75283","11.40458","11.40971","11.22936","11.40909"
"C05282","11.461874","11.793622","11.462803","11.492371"," 9.623206"," 9.845681"," 9.577011"," 9.844285"
"C05382"," 8.272723"," 8.290953"," 8.436295"," 8.471649","10.917399","11.319132","11.332269","11.300236"
"C05526","11.57154","12.07324","11.81877","12.03611","10.30083","10.58180","10.46046","10.52084"
"C05551","13.09450","13.71738","13.46346","13.70566","14.20957","14.35396","14.20539","14.14128"
"C06525","11.00808","11.60529","11.38423","11.62902","12.23422","12.39862","12.23020","12.32348"
"C07005","10.076134"," 9.402125","10.279736"," 9.720968"," 7.586248"," 6.724266"," 3.928345"," 6.553158"
"C07471"," 9.559822","10.120603"," 9.675959"," 9.551767"," 9.040010"," 9.447745","10.136440"," 9.671274"
"C07968"," 8.461083"," 8.675509","10.014937","10.156924"," 9.294037"," 8.569474"," 8.650814"," 6.629625"
"C10438"," 9.887702"," 9.911319"," 9.928035","10.022949","13.418249","12.250219","12.264162","11.828715"
"C11430"," 7.265844"," 7.289462"," 7.306177"," 7.401091","10.799248","10.300613","10.689152","10.695318"
"C13916","6.003215","8.984748","8.921177","9.353530","6.243997","9.663265","9.084865","9.301856"
"C16207"," 9.825241"," 9.920577"," 9.943292"," 9.939807","12.541685","12.729339","12.636860","12.904706"
"C17925","9.913560","9.896795","9.658387","9.901231","9.055724","8.891851","9.392561","9.087835"
"C19463"," 9.110719"," 8.842064"," 9.005698"," 8.851315"," 9.850458","10.331135","10.157171","10.052935"
"C20387","10.352372"," 9.841845","10.172203","10.205771"," 6.900074"," 6.880735"," 8.789316"," 6.825930"
"C21484","10.68072","10.76507","11.08588","11.16146","10.95233","11.28141","11.59941","11.32746"
"C22599"," 9.050402"," 9.145738"," 9.168453"," 9.164968","12.335616","11.872444","12.060812","11.760310"
