"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","Simva_1","Simva_2","Simva_3","Simva_4"
"Label","DMSO","DMSO","DMSO","DMSO","Simva","Simva","Simva","Simva"
"C00003","14.00207","13.12402","13.14670","13.23475","12.89116","13.13970","13.16622","13.00894"
"C00008","11.82179","11.73501","11.74460","11.64848","11.67280","11.91745","11.82264","12.07034"
"C00015","9.353004","9.776650","9.675312","9.449312","8.931834","9.355377","8.630838","9.211071"
"C00016","10.211760"," 9.429022"," 9.575162"," 9.780414"," 9.265361"," 9.427718"," 9.705818"," 9.306258"
"C00019","13.53768","11.48519","11.86705","12.53344","12.22475","12.80773","12.77912","12.29555"
"C00020","10.93430","10.53569","10.50580","10.56405","10.27597","10.41267","10.32315","10.24169"
"C00029","12.54656","12.60497","12.57496","12.46418","12.04476","12.17222","12.14543","12.30858"
"C00043","12.94434","12.83146","12.69722","12.64629","12.17835","12.28551","12.23729","12.55109"
"C00051","14.30913","14.73768","15.06481","14.90687","14.29012","14.42639","14.18436","14.63025"
"C00052","12.30478","12.07999","12.09227","11.86309","11.80036","11.87654","11.75240","11.91969"
"C00055","12.62499","11.59794","11.66201","11.68725","11.19468","11.74173","11.59588","11.37219"
"C00062","10.89841","11.27231","11.43902","10.93778","10.69273","10.80971","10.78630","11.27484"
"C00082","13.01714","13.21136","13.16480","13.07413","13.25588","13.30767","13.23622","13.40457"
"C00103","11.28509","11.41404","11.30223","11.31672","10.32449","10.91282","11.24701","11.16827"
"C00105","12.74555","12.93395","12.91497","13.02117","12.48483","12.65417","12.57320","12.47233"
"C00120"," 9.793027"," 9.966670","10.075745"," 9.991600","10.571388","10.793629","10.536075","10.631045"
"C00127","17.91243","18.04101","18.20573","17.95389","17.61792","17.78218","17.72833","17.74071"
"C00144","14.00855","12.81955","12.72201","12.70542","12.50564","12.74923","12.85863","12.43990"
"C00147","10.153788","10.120569"," 9.897510"," 9.629836"," 9.406352"," 9.551991"," 9.459135"," 9.847082"
"C00157","16.993403","13.932611","12.103816","12.869366"," 2.220622"," 2.480476","14.910185","13.972568"
"C00167","12.31408","12.41151","12.42613","12.18928","11.96578","12.10460","12.04436","12.10903"
"C00170","12.43359","13.59527","13.63048","13.31844","13.03463","13.22368","12.95340","13.24269"
"C00199","8.074099","7.491631","8.481179","7.490842","8.233394","8.186825","7.225041","7.839867"
"C00242","12.30423","11.63805","11.49833","11.75685","11.90003","12.16072","11.95261","11.54764"
"C00262","13.24883","13.28451","13.24882","13.26919","12.97918","13.16918","13.01472","12.93865"
"C00294","16.94386","16.57374","16.69948","16.81556","16.73412","16.36124","16.34220","16.44943"
"C00299","14.36027","14.14267","14.10133","14.27512","14.05630","13.87245","14.08526","14.11762"
"C00307","6.583886","4.949330","4.914762","4.855414","7.247649","8.314914","7.951689","8.189632"
"C00319","12.32306","12.89383","12.96690","12.88839","12.42980","13.09112","12.85707","12.95591"
"C00325","9.154339","9.269897","9.232416","9.393129","8.756069","8.807498","8.638616","8.791048"
"C00350","11.407057","12.175745","11.936010","11.890302","10.114789"," 9.898882","11.183408","11.803318"
"C00360"," 9.828451","10.281804"," 9.775500"," 9.782328"," 9.319194"," 9.293571"," 8.824351"," 9.575492"
