"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","TFT_1","TFT_2","TFT_3","TFT_4"
"Label","DMSO","DMSO","DMSO","DMSO","TFT","TFT","TFT","TFT"
"C00003","12.38548","12.37727","12.30522","12.29244","12.93041","12.72026","13.13123","13.23196"
"C00008","11.72372","11.67986","11.68658","11.57244","11.39468","11.41961","11.20725","11.48228"
"C00015","9.179981","9.629545","9.498607","9.279734","9.579562","8.791275","8.545178","9.450851"
"C00016","10.035543"," 9.279275"," 9.398467"," 9.607188"," 9.440241","10.633343","10.568344"," 9.296276"
"C00019","13.40302","11.27264","11.60737","12.29781","12.76496","13.20618","13.68511","12.06138"
"C00020","15.45080","15.79290","15.56381","15.40475","15.36549","15.17648","15.40314","15.38620"
"C00029","12.45441","12.44380","12.53267","12.38496","12.73533","12.58464","13.07834","13.03466"
"C00043","12.71927","12.33929","12.34211","12.09459","11.89371","11.99707","12.65233","11.92848"
"C00051","14.13554","14.59181","14.88859","14.73411","15.07119","14.40382","14.51263","15.45256"
"C00052","12.20603","12.02447","12.03371","11.78737","11.75810","11.71869","12.56828","11.97403"
"C00055","12.52499","11.54194","11.60362","11.61274","11.25786","12.67221","12.84858","11.50904"
"C00062","10.72483","11.12809","11.26417","10.76786","11.02732","10.60435","10.98674","11.31942"
"C00082","12.91521","13.15586","13.10920","12.99748","13.25391","12.14976","12.49485","13.26217"
"C00103","10.46379","11.07185","10.90319","10.92471","10.46998","11.00901","10.31145","10.65587"
"C00105","12.07155","12.49278","12.42181","12.45413","12.81758","13.24947","13.42434","13.27699"
"C00120"," 9.654615"," 9.768106"," 9.815481"," 9.761650","10.445186","10.007331","10.726710","10.753303"
"C00127","17.05191","16.47569","16.06781","16.34253","16.31982","17.45976","17.25588","16.61066"
"C00144","13.90297","12.76411","12.66539","12.63018","11.64480","12.71411","13.02033","12.10894"
"C00147","9.546772","9.788915","9.495241","9.272641","8.694442","9.283287","9.288747","9.105562"
"C00157","16.89054","13.66804","11.79861","12.63112","14.66010","15.45486","13.43269"," 8.69609"
"C00167","11.63566","11.61225","11.50181","11.33019","10.79081","11.18838","11.26612","11.20686"
"C00170","12.79090","14.35203","14.64267","14.30006","14.31092","13.69254","14.45206","15.23850"
"C00199","7.990043","7.431326","8.426979","7.404445","5.044238","7.049223","7.392474","6.484678"
