"","dGlc_1","dGlc_2","dGlc_3","dGlc_4","DMSO_1","DMSO_2","DMSO_3","DMSO_4"
"Label","dGlc","dGlc","dGlc","dGlc","DMSO","DMSO","DMSO","DMSO"
"C00003","12.02207","12.36509","12.30479","12.40557","12.56257","12.50924","12.61658","12.82454"
"C00008","11.47727","11.13208","11.05432","10.10385","11.75005","11.83791","11.55148","10.42357"
"C00015","9.194940","9.236298","8.677528","9.071073","8.564940","8.947981","8.983740","9.087718"
"C00016","8.185271","9.399966","9.482149","9.271189","9.025518","8.796033","8.721704","9.052641"
"C00019","12.67862","13.24759","12.88248","12.56864","13.04501","12.93202","12.96502","13.26362"
"C00020","14.50151","14.80929","14.43378","13.62352","15.16409","15.14328","15.03518","14.92403"
"C00029","12.60291","12.22425","12.50969","12.54548","12.33066","12.29953","12.50946","12.28421"
"C00043","11.08991","11.03301","10.84767","10.96675","11.99037","11.70746","11.75355","11.65925"
"C00051"," 9.641426"," 9.828226"," 9.180167"," 9.472138","11.745378","11.921379","11.639691","11.709175"
"C00052","11.99606","11.92959","11.65920","11.85362","11.86863","11.78361","11.70774","11.57959"
"C00055","11.69770","11.64044","11.68774","11.48435","11.84627","12.05201","11.99119","12.17111"
"C00062","11.82647","11.32623","11.44978","11.38091","11.04022","11.19180","11.45051","11.00728"
"C00082","13.05136","13.04389","13.06356","12.82571","13.33074","13.27586","13.46092","13.33946"
"C00103"," 9.989068","10.473034","10.348161","10.075427","10.854704","10.690595","11.172040","10.643607"
"C00105","12.59899","12.80186","12.88804","12.39695","13.08335","13.18291","13.08942","13.17916"
"C00120","13.53541","13.58656","13.42639","13.38927","13.75424","13.59639","13.53005","13.67169"
"C00127","17.17795","17.39415","17.32433","17.32667","17.72459","17.67977","17.57223","17.76448"
"C00144","14.72701","15.07604","14.62818","14.42065","15.29880","15.33941","15.22821","15.31429"
"C00147","9.168197","9.296382","7.594081","4.897759","9.691426","9.621539","9.666256","9.181847"
"C00157","13.45840","12.56848","12.99176","12.11776","13.58254","13.77223","14.10367","14.01404"
"C00158","10.84925","11.57366","11.34280","11.41610","10.87238","11.45536","11.51147","11.56729"
"C00167","11.01739","11.08731","11.15132","10.89599","11.29561","11.24476","11.23197","11.32574"
"C00170","14.42213","14.24300","13.68729","13.09425","13.98517","14.01973","14.17813","14.12881"
"C00199","8.176906","8.590007","7.998373","8.359293","8.151695","7.962730","8.356898","8.528169"
"C00242","12.92025","12.65838","12.52742","12.24578","12.87526","13.02432","13.10216","13.16853"
"C00262","10.71938","11.13929","10.79786","11.07269","11.22753","11.20217","11.24701","11.38491"
"C00294","16.92961","16.93856","16.81943","17.13670","17.27990","17.17326","17.20283","17.44678"
"C00299","15.08594","14.86266","14.93341","15.21836","15.11230","15.07184","15.02473","15.19197"
"C00319","12.80302","12.94946","12.81738","12.71755","13.02584","12.91708","12.86494","12.83652"
"C00325","10.84372","11.19485","10.87095","11.02720","11.40531","11.36675","10.93391","11.21882"
"C00350","11.84018","12.25616","10.92566","11.38895","12.22508","12.51828","12.80938","12.75083"
"C00360","10.400702","10.203771"," 9.082841"," 9.388476","10.527838","10.178982"," 9.945918","10.142375"
"C00362","11.75434","10.75973","10.99613","10.19111","11.35311","11.27093","12.03356","11.79312"
"C00364","12.03635","11.65995","11.88149","11.65846","12.09108","12.18360","12.01083","11.75157"
"C00378","13.77903","13.80832","13.10000","12.87265","13.12960","13.20636","13.62791","13.39198"
"C00380"," 9.321688"," 9.739177"," 9.050884"," 9.303874"," 9.778872"," 9.111751"," 9.217240","10.428066"
"C00385","11.22947","11.15397","10.87889","11.58009","11.67156","11.61440","12.07421","10.99450"
"C00387","13.78081","13.70202","13.77718","14.10202","14.18861","14.01786","14.03687","14.35401"
"C00463","10.54304","10.56556","10.55187","10.39013","10.54825","10.47790","10.62188","10.66784"
"C00487","13.28291","13.28750","12.43848","12.59377","13.22630","13.15706","13.27661","13.28118"
"C00491","11.016589","10.587430"," 9.962735"," 9.655901","10.184040"," 9.980790","10.133127"," 9.723563"
"C00570","7.199450","8.552800","6.592479","7.091831","8.601418","8.838511","8.183861","7.016118"
"C00588","18.16098","18.42569","17.84544","17.73266","18.28341","18.39378","18.42789","18.39743"
"C00612","14.07759","13.57472","13.66349","13.56378","13.90104","13.89821","13.75271","13.71341"
"C00670","17.41127","17.41667","16.79728","16.75199","17.52393","17.48079","17.49269","17.53402"
"C00836","11.52251","11.68266","11.43784","11.29561","11.67989","11.73381","11.65837","11.61928"
"C00864","13.32497","12.95385","12.33206","12.23556","12.92707","13.43933","13.68475","13.33795"
"C00946","13.05968","13.17179","12.71455","12.52030","13.09242","13.27159","13.41687","12.94988"
"C01586","11.41255","11.20519","12.01304","11.49769","11.44566","11.54924","11.45256","11.57780"
"C01780","7.297732","8.678020","5.838192","7.347916","8.504609","9.022103","8.826774","8.491104"
"C02301"," 9.402337"," 7.733315"," 8.730322"," 9.467019"," 9.342131"," 9.352832"," 9.741215","10.099867"
"C02305","14.84142","14.89354","14.34733","13.98408","14.89399","14.50555","14.87765","14.96446"
"C02494","10.327779","10.469681"," 9.544122"," 9.780413","10.409555","10.574532","10.375432","10.691897"
"C02567","12.95979","12.65587","13.08739","12.69382","12.93879","12.96009","13.10466","13.51232"
"C02571","13.38728","13.80501","13.12674","12.77824","13.10271","13.28560","13.54092","13.66304"
"C02862","14.69622","14.94608","13.99361","14.15330","14.90191","14.86327","14.79004","14.97175"
"C02985","11.224501","11.044588","10.951579","11.013472"," 8.756515"," 8.804354"," 8.777898"," 8.755662"
"C02990","10.445426","10.678163","10.786448","11.052510"," 9.707480"," 9.864436","10.144589","10.187209"
"C03017","9.490218","8.974842","9.816108","8.930309","8.913623","9.467333","7.843971","5.718281"
"C03546","8.831499","9.045517","8.820535","8.992456","9.708347","9.345361","9.458142","9.214808"
"C03742","9.224501","8.546284","5.383806","8.859009","8.470239","9.266062","8.317180","8.943432"
"C03794","10.92513","11.36725","11.02265","10.44343","11.27033","11.72745","11.78216","11.22572"
"C03889","8.326956","9.015395","8.566109","8.576770","5.874160","8.736193","8.797272","5.873308"
"C04100","10.41394","10.21203","10.49790","10.39641","10.34353","10.07821","10.23077","10.08427"
"C04230","13.19357","13.27048","13.17467","13.26716","12.84898","12.89441","12.87901","12.85511"
"C05282","11.30853","11.19715","10.43837","10.90210","10.66132","10.66083","10.77997","10.49889"
"C05382","9.832877","9.547107","9.249626","9.798961","9.991223","9.747112","9.580656","9.670867"
"C05526","12.32487","12.22626","11.71604","12.09695","11.43431","11.47632","11.94815","11.69389"
"C05551","14.08736","14.23172","14.16738","14.40176","13.00627","12.80791","13.06187","13.08357"
"C05635","9.272871","9.289339","9.719390","9.696248","8.505458","9.073278","9.276355","8.964033"
"C06525","11.94921","12.08668","12.07390","12.32371","10.97925","10.59482","11.07403","11.04785"
"C07005","8.389833","8.427525","8.306385","9.222064","4.902636","9.052967","8.726668","5.133739"
"C07471"," 9.569316","10.063587"," 8.696190"," 9.043189"," 9.738121"," 9.817366"," 9.568079"," 9.791130"
"C08261","12.12465","12.21043","13.51154","12.97951","11.79186","11.81475","11.96770","11.69549"
"C08277"," 9.185286"," 9.489172","11.511332","11.111398"," 9.785436"," 9.411719"," 9.438527"," 9.747972"
"C13916","5.392096","8.554312","8.618953","8.298626","5.306017","8.429367","8.479421","8.516103"
"C14550","9.487396","9.646905","7.860676","9.651361","9.312144","8.437648","9.104072","9.137060"
"C14766","6.093254","7.030859","9.631199","9.713053","7.474028","6.064285","4.870694","6.732450"
"C14826","8.348599","9.707425","9.021072","8.812384","8.879218","8.912027","8.330092","9.274930"
"C17925","10.356743","10.366363"," 9.576186"," 9.314370","10.339361","10.330958","10.533605","10.467296"
"C19434","8.285038","8.071615","8.142812","6.507332","7.746726","7.875603","8.666364","8.236050"
"C19463","8.755337","8.944560","8.781486","8.679185","8.725874","8.841233","8.905446","8.900745"
"C20387","11.242087","11.065848","10.973612"," 9.280282","11.934989","11.735477","12.175011","11.519662"
"C21484","11.21053","11.03325","10.99283","11.02880","10.82456","10.45261","10.66134","10.52230"
