"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","36","9","5","2.7886","0.029234","0.11321","0.0045084","6","0.06","1","1","0.2209116","P1","C00307;C00114;C00093;C00670;C01233"
"Pyrimidine metabolism","39","22","8","3.021","0.090213","0.18965","0.0057845","26","0.26","1","1","0.277656","P2","C00015;C01103;C00105;C00299;C00055;C00526;C00438;C00672"
"Amino sugar and nucleotide sugar metabolism","42","35","10","3.2533","0.22974","0.35891","0.010244","2","0.02","1","1","0.481468","P3","C00357;C04501;C00043;C00446;C00029;C00103;C00167;C00275;C00096;C00636;C02985;C00668;C00329;C00085;C18060;C04257;C00052;C01222;C00203"
"Ether lipid metabolism","20","2","2","1.5492","0.049067","0.39254","0.011521","3","0.03","1","1","0.529966","P4","C01233;C00670"
"Folate biosynthesis","27","12","4","2.0914","0.26595","0.51406","0.017883","43","0.43","1","1","0.804735","P5","C03684;C00504;C00921;C00835"
"D-Amino acid metabolism","15","14","4","1.1619","0.37946","0.62806","0.027801","31","0.31","1","1","1","P6","C00792;C00515;C00763;C03771"
"Drug metabolism - cytochrome P450","55","19","5","4.2603","0.41928","0.63363","0.028435","34","0.34","1","1","1","P7","C16586;C16584;C16582;C16596;C16591"
"N-Glycan biosynthesis","41","5","2","3.1759","0.30855","0.71351","0.039805","2","0.02","1","1","1","P8","C00096;C03862"
"Tryptophan metabolism","41","31","7","3.1759","0.55408","0.71506","0.040077","88","0.88","1","1","1","P9","C05635;C05638;C02700;C05653;C05636;C05660;C01252"
"Arginine and proline metabolism","36","22","5","2.7886","0.56285","0.75256","0.04746","27","0.27","1","1","1","P10","C00062;C00300;C00763;C00148;C00077;C02305"
"Ascorbate and aldarate metabolism","9","6","2","0.69714","0.39937","0.77723","0.053312","26","0.26","1","1","1","P11","C00029;C00167"
"Pentose and glucuronate interconversions","19","13","3","1.4717","0.57971","0.81965","0.065905","12","0.12","1","1","1","P12","C00167;C00029;C00103"
"Glutathione metabolism","28","13","3","2.1689","0.57971","0.81965","0.065905","37","0.37","1","1","1","P13","C00127;C00077;C03170"
"Starch and sucrose metabolism","18","7","2","1.3943","0.48426","0.82687","0.068458","11","0.11","1","1","1","P14","C00029;C00103;C00092;C00085"
"Arginine biosynthesis","14","8","2","1.0844","0.56138","0.86552","0.084935","48","0.48","1","1","1","P15","C00062;C00077"
"Tyrosine metabolism","42","28","5","3.2533","0.7848","0.89988","0.1054","68","0.68","1","1","1","P16","C05589;C00788;C05580;C00082;C00483;C01829;C17938"
"Fructose and mannose metabolism","20","16","3","1.5492","0.72829","0.90059","0.10591","18","0.18","1","1","1","P17","C00275;C02985;C01222;C00096;C00636;C00085;C01094"
"Drug metabolism - other enzymes","39","16","3","3.021","0.72829","0.90059","0.10591","60","0.6","1","1","1","P18","C11736;C12739;C07585"
"Cysteine and methionine metabolism","33","18","3","2.5562","0.80243","0.93425","0.13606","71","0.71","1","1","1","P19","C04582;C04188;C00073"
"Pentose phosphate pathway","23","19","3","1.7816","0.83271","0.94675","0.15179","17","0.17","1","1","1","P20","C00668;C00672;C00673;C00085;C01236;C01172;C00279"
"Purine metabolism","70","38","6","5.4222","0.88664","0.94925","0.1554","96","0.96","1","1","1","P21","C04734;C03794;C00559;C00387;C04376;C22441"
"Primary bile acid biosynthesis","46","15","2","3.5632","0.88156","0.9774","0.21603","19","0.19","1","1","1","P22","C00695;C04722"
"Alanine, aspartate and glutamate metabolism","28","16","2","2.1689","0.90346","0.98252","0.23497","68","0.68","1","1","1","P23","C03794;C00438"
"Galactose metabolism","27","18","2","2.0914","0.93645","0.98956","0.2721","20","0.2","1","1","1","P24","C01097;C00103;C00052;C00029;C00446;C00668"
"Glycine, serine and threonine metabolism","33","19","2","2.5562","0.94865","0.99194","0.29022","44","0.44","1","1","1","P25","C00114;C00300"
"Steroid hormone biosynthesis","87","28","3","6.739","0.96825","0.99276","0.29761","5","0.05","1","1","1","P26","C01227;C00535;C03772;C00674;C00951;C05298;C05300"
"Glycolysis / Gluconeogenesis","26","12","1","2.014","0.95267","1","1","55","0.55","1","1","1","P27","C00085;C00668;C00103;C01172"
"Fatty acid degradation","39","4","1","3.021","0.6352","1","1","23","0.23","1","1","1","P28","C02990"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","3","1","1.3943","0.53023","1","1","57","0.57","1","1","1","P29","C00082"
"Valine, leucine and isoleucine degradation","40","11","1","3.0984","0.93879","1","1","50","0.5","1","1","1","P30","C00407;C00123"
"Valine, leucine and isoleucine biosynthesis","8","4","1","0.61968","0.6352","1","1","41","0.41","1","1","1","P31","C00123;C00407"
"Lysine degradation","30","7","1","2.3238","0.82971","1","1","60","0.6","1","1","1","P32","C00956"
"Phenylalanine metabolism","8","4","1","0.61968","0.6352","1","1","60","0.6","1","1","1","P33","C00082"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","2","1","0.30984","0.39538","1","1","41","0.41","1","1","1","P34","C00082"
"Neomycin, kanamycin and gentamicin biosynthesis","2","2","1","0.15492","0.39538","1","1","10","0.1","1","1","1","P35","C00092"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","10","1","1","0.7746","0.22222","1","1","2","0.02","1","1","1","P36","C00401"
"Glycerolipid metabolism","16","3","1","1.2394","0.53023","1","1","27","0.27","1","1","1","P37","C00093"
"Inositol phosphate metabolism","30","9","1","2.3238","0.8978","1","1","59","0.59","1","1","1","P38","C00092;C03546;C04006;C01177"
"Arachidonic acid metabolism","44","21","1","3.4083","0.99544","1","1","25","0.25","1","1","1","P39","C00427;C00696;C00584;C04853;C01312;C02198;C05960;C04671"
"One carbon pool by folate","9","7","1","0.69714","0.82971","1","1","24","0.24","1","1","1","P40","C00504"
"Thiamine metabolism","7","1","1","0.54222","0.22222","1","1","2","0.02","1","1","1","P41","C00378"
"Vitamin B6 metabolism","9","5","1","0.69714","0.71686","1","1","46","0.46","1","1","1","P42","C00018"
"Nicotinate and nicotinamide metabolism","15","12","1","1.1619","0.95267","1","1","66","0.66","1","1","1","P43","C00455"
"Pantothenate and CoA biosynthesis","20","11","1","1.5492","0.93879","1","1","86","0.86","1","1","1","P44","C00864"
"Lipoic acid metabolism","28","7","1","2.1689","0.82971","1","1","59","0.59","1","1","1","P45","C16238"
"Retinol metabolism","17","8","1","1.3168","0.86804","1","1","8","0.08","1","1","1","P46","C16677;C16679;C16680"
"Porphyrin metabolism","31","6","1","2.4013","0.78036","1","1","40","0.4","1","1","1","P47","C00931"
"Metabolism of xenobiotics by cytochrome P450","68","32","1","5.2673","0.99975","1","1","95","0.95","1","1","1","P48","C14801"
"Biosynthesis of unsaturated fatty acids","36","5","1","2.7886","0.71686","1","1","36","0.36","1","1","1","P49","C00712"
