"","mz","p.value","t.score","mode"
"1",245.06109,5.47902621142263e-09,49.8184030157554,"positive"
"2",112.05056,1.1147332286157e-08,42.6313938784681,"positive"
"3",343.0201,1.32229489388366e-08,49.8527650679475,"negative"
"4",489.11439,1.33541556126292e-08,41.3634430794073,"positive"
"5",692.09808,1.64046008695674e-08,49.2561100077004,"positive"
"6",358.18503,1.66100327934526e-08,47.7187694863165,"positive"
"7",264.03909,1.98657108669671e-08,46.0518309272563,"positive"
"8",497.05668,2.32914859531229e-08,38.0643051760709,"positive"
"9",269.1131,2.55841319581857e-08,41.9549313203446,"positive"
"10",489.11431,3.23554641773199e-08,38.2638139716452,"positive"
"11",116.0706,3.86167585787507e-08,36.7699232584732,"positive"
"12",582.50862,4.0995937366547e-08,-39.7513252109726,"positive"
"13",584.08874,5.07800917644041e-08,-38.8836872289295,"positive"
"14",297.10809,5.17872184511481e-08,34.4800961807941,"positive"
"15",553.27494,6.44598853460141e-08,33.4247852832718,"positive"
"16",247.07117,6.86569905424263e-08,45.3305072179904,"positive"
"17",426.35767,6.8932698752266e-08,36.7172479067947,"positive"
"18",551.23055,7.27946350239844e-08,34.3741729068295,"positive"
"19",611.02458,9.06914820899239e-08,-30.4337697327114,"positive"
"20",251.10257,9.78715215497921e-08,34.4403569633615,"positive"
"21",553.16853,1.01366417269664e-07,-36.0962087300641,"positive"
"22",563.2959,1.12613093738396e-07,29.8437785036179,"positive"
"23",265.08179,1.24684788334579e-07,28.6289884063128,"positive"
"24",258.93328,1.26319664000558e-07,-28.5477109017397,"positive"
"25",367.01606,1.32847401131458e-07,31.9851118364524,"positive"
"26",664.11572,1.3537563568555e-07,34.1990914635168,"positive"
"27",500.14994,1.39361042040094e-07,29.9054094379849,"positive"
"28",539.2597,1.47494972407408e-07,30.9530622268372,"positive"
"29",661.12861,1.49742686118747e-07,34.5383085538464,"positive"
"30",171.00642,1.5956284617678e-07,40.7979691164567,"negative"
"31",579.02696,1.69287133151482e-07,-31.0094414856097,"negative"
