mz,p.value,t.score,mode
760.25703,1.0378355186574441e-8,-43.20866601153109,negative
289.03315,6.949553074355439e-8,-31.96471876130239,negative
232.15434,2.4748725669267835e-7,-39.26508808303772,positive
245.024,2.7589504812414074e-7,29.363321102471087,negative
491.05466,3.463273529349371e-7,28.382039769423404,negative
613.15908,4.287877091495817e-7,-23.45033953050461,positive
513.03661,5.499450350674867e-7,25.451377202166842,negative
476.14419,5.547031472860039e-7,22.16283165766988,positive
495.13959,8.389403258767088e-7,23.47271112872739,positive
708.16119,8.749076547330609e-7,20.657283706704455,positive
246.03007,9.035664355554899e-7,21.199591645389674,positive
440.09969,9.770315296258615e-7,-32.15114068103037,negative
444.03145,1.0218791775463668e-6,21.13076158888955,positive
454.38868,1.1171465010856802e-6,19.8405728084738,positive
412.3432,1.1209897689125333e-6,19.67569488693824,positive
366.09623,1.2784706325710248e-6,19.42353947984896,positive
201.03392,1.282626035712185e-6,20.711223022500494,negative
298.05382,1.3408292077417094e-6,19.877022625367104,positive
270.06004,1.4167752991274437e-6,21.23870413004892,positive
293.09806,1.46845983885313e-6,18.79578922316992,positive
396.10714,1.473181023847941e-6,19.122785448903024,positive
559.10535,1.5816741052602064e-6,18.768850599980333,positive
174.02184,1.5957032233484827e-6,21.781907699999365,positive
330.07524,1.7693574324920502e-6,20.727466650807916,positive
396.10729,1.8021624590497136e-6,18.905656816695455,positive
298.57031,1.8307572958262627e-6,-24.132229056011308,positive
252.94584,1.898718608353428e-6,18.38455308851455,positive
444.03971,2.0111070247519516e-6,18.472638417803854,positive
578.11745,2.113469153175023e-6,17.666879345008383,positive
461.09893,2.170558904748556e-6,19.406143434807365,positive
577.13205,2.2132933019897815e-6,17.52767754122602,positive
588.07455,2.243459474481407e-6,18.75965277371549,positive
556.10181,2.2934710782588626e-6,17.642159132834276,positive
489.11439,2.4223423444144375e-6,19.958043185833873,positive
619.28861,2.466933876838952e-6,-19.927091337629818,negative
443.03215,2.4801068204684045e-6,17.854582736638154,positive
296.92531,2.5363951197213343e-6,19.373181360187647,positive
167.04631,2.5769752833509358e-6,22.857149564397222,negative
251.06942,2.5906804586536647e-6,17.106706990436205,positive
440.37336,2.7129092245532183e-6,21.763106493380945,positive
412.84456,2.7397082664377537e-6,20.970146034649893,positive
176.03748,2.8120094849993164e-6,16.878238794488812,positive
447.11988,2.8138510426683885e-6,20.25912549486988,positive
370.07334,2.899832077243025e-6,18.190968977980454,positive
379.11795,2.9193500231703193e-6,27.250558355914908,negative
424.34289,3.002200319417064e-6,17.115816433955814,positive
