"p.value","m.z","t.score"
1.03783551865744e-08,760.25703,-43.2086660115311
6.94955307435544e-08,289.03315,-31.9647187613024
2.47487256692678e-07,232.15434,-39.2650880830377
2.75895048124141e-07,245.024,29.3633211024711
3.46327352934937e-07,491.05466,28.3820397694234
4.28787709149582e-07,613.15908,-23.4503395305046
5.49945035067487e-07,513.03661,25.4513772021668
5.54703147286004e-07,476.14419,22.1628316576699
8.38940325876709e-07,495.13959,23.4727111287274
8.74907654733061e-07,708.16119,20.6572837067045
9.0356643555549e-07,246.03007,21.1995916453897
9.77031529625861e-07,440.09969,-32.1511406810304
1.02187917754637e-06,444.03145,21.1307615888895
1.11714650108568e-06,454.38868,19.8405728084738
1.12098976891253e-06,412.3432,19.6756948869382
1.27847063257102e-06,366.09623,19.423539479849
1.28262603571218e-06,201.03392,20.7112230225005
1.34082920774171e-06,298.05382,19.8770226253671
1.41677529912744e-06,270.06004,21.2387041300489
1.46845983885313e-06,293.09806,18.7957892231699
1.47318102384794e-06,396.10714,19.122785448903
1.58167410526021e-06,559.10535,18.7688505999803
1.59570322334848e-06,174.02184,21.7819076999994
1.76935743249205e-06,330.07524,20.7274666508079
1.80216245904971e-06,396.10729,18.9056568166955
1.83075729582626e-06,298.57031,-24.1322290560113
1.89871860835343e-06,252.94584,18.3845530885146
2.01110702475195e-06,444.03971,18.4726384178039
2.11346915317502e-06,578.11745,17.6668793450084
2.17055890474856e-06,461.09893,19.4061434348074
2.21329330198978e-06,577.13205,17.527677541226
2.24345947448141e-06,588.07455,18.7596527737155
2.29347107825886e-06,556.10181,17.6421591328343
2.42234234441444e-06,489.11439,19.9580431858339
2.46693387683895e-06,619.28861,-19.9270913376298
2.4801068204684e-06,443.03215,17.8545827366382
2.53639511972133e-06,296.92531,19.3731813601876
2.57697528335094e-06,167.04631,22.8571495643972
2.59068045865366e-06,251.06942,17.1067069904362
2.71290922455322e-06,440.37336,21.7631064933809
2.73970826643775e-06,412.84456,20.9701460346499
2.81200948499932e-06,176.03748,16.8782387944888
2.81385104266839e-06,447.11988,20.2591254948699
2.89983207724303e-06,370.07334,18.1909689779805
2.91935002317032e-06,379.11795,27.2505583559149
3.00220031941706e-06,424.34289,17.1158164339558
3.17575441051646e-06,262.07476,17.0790904622162
3.17915474996533e-06,269.02025,17.9223374643423
3.21045560178255e-06,793.01812,20.5685118367724
3.35731489198775e-06,412.34241,16.8787993280156
3.41594735575325e-06,414.3576,22.5553967702474
3.42964107246597e-06,289.16207,-20.4006073424166
3.4400137692778e-06,779.79262,-33.0317531482486
3.48936563882484e-06,233.14963,-19.3766733736957
3.64085695444328e-06,273.99767,21.2103081012771
3.66010174953447e-06,247.03843,17.2585158144984
3.72939167818635e-06,445.04617,16.6353835858678
3.74104077946401e-06,247.03814,17.6603756384853
3.77012501505895e-06,427.09499,17.1120123510321
3.83247219464679e-06,346.1179,16.0960583195004
3.85044151876781e-06,126.0009,20.4547806538817
3.89155429875037e-06,416.09311,15.9799389189344
4.00301119785794e-06,144.01141,18.0377670856061
4.03573783817706e-06,443.03243,18.0267380499119
4.12472131927015e-06,400.34193,15.8799402386574
4.19544679726978e-06,346.05585,-15.8259827990634
4.24486493682047e-06,440.37298,17.0954110714002
4.46491925215664e-06,509.20742,16.6623985619611
4.49214176303806e-06,418.08758,15.9373689582528
4.53595539546507e-06,237.05382,16.130171374502
4.56639549430877e-06,511.09671,19.7165429818895
4.62447090435963e-06,370.2951,16.6983328208305
4.68140314907646e-06,472.19161,-24.949313647512
4.88188743720234e-06,396.3109,15.4394184137376
4.88932795857433e-06,493.06887,17.5331102614042
4.95662053170797e-06,474.20623,-27.2935125818101
5.0632817211835e-06,229.0279,18.4970964385261
5.24025570714047e-06,408.10717,18.8253627030224
5.40706477872252e-06,263.03274,15.2415680941957
5.4315688997785e-06,350.08357,16.5708098286203
5.43687117505326e-06,344.11053,15.8160415613128
5.68492152999607e-06,544.97395,14.9298765250653
5.80201251181579e-06,489.11431,15.2065737175873
5.88054860581555e-06,355.07403,-16.0950914985007
5.94993503778095e-06,315.23885,14.8573442827345
5.99653627934309e-06,436.16246,17.9766834733983
6.09293135322281e-06,175.11891,14.7997869332403
6.10649336578837e-06,173.02091,14.8371140428341
6.18852319602726e-06,552.10653,15.300034073174
6.4771162900151e-06,346.11818,14.6009148155307
6.6397814595083e-06,332.12748,15.3654360020055
6.93346016215351e-06,305.59622,24.8336776440131
6.93393276330823e-06,261.12658,-33.4737475123055
7.41898532627145e-06,342.26379,21.8178912322121
8.03249247543132e-06,447.12022,20.4285967142462
8.21033123764144e-06,112.05056,18.6745432598527
8.22880483497159e-06,217.02753,15.2545022603829
8.29509451931949e-06,258.18108,14.7804769851164
8.35922301179376e-06,429.05281,19.3235183484191
8.38025451047313e-06,446.13624,15.1833299687228
9.00859909487389e-06,349.23064,14.673674566215
9.30626125207412e-06,584.08874,-13.7242239775392
9.49200415907167e-06,269.02005,19.4427147870216
9.63243301197246e-06,429.37357,14.3992251648235
9.84448421831701e-06,417.10905,14.6264611335874
1.15703627948966e-05,491.05225,14.1869303136483
1.18611326951487e-05,267.06451,17.7376187705375
1.21553090860813e-05,347.02511,-13.3009920555529
1.2188724769345e-05,482.1113,14.4631168923399
1.30853548265187e-05,264.03909,18.006990761938
1.34575260168562e-05,430.20769,-28.7097136257956
1.41216396521367e-05,347.10178,15.3299200155507
1.42049849963347e-05,513.03677,19.0423138547719
1.44789201787299e-05,267.00546,20.204579642639
1.46416199141577e-05,229.02785,21.5526745122348
1.59915488186535e-05,386.32641,19.0278742503008
