Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
613.15908,C00127,M+H[1+],0.000196466770034931
495.13959,C16335,M(C13)+2H[2+],0.000136466770015886
444.03145,C00035,M+H[1+],0.00012646676998429
588.07455,C01222,M+H[1+],0.000673533230042267
588.07455,C00096,M-H2O+H[1+],0.000673533230042267
489.11439,C00307,M+H[1+],0.000186466770003335
251.06942,C00669,M+H[1+],0.000156466769993813
262.07476,C00170,M-H4O2+H[1+],0.000916466769979252
289.16207,C05298,M(Cl37)+H[1+],0.000693533229991772
289.16207,C05300,M(Cl37)+H[1+],0.000693533229991772
233.14963,C00449,M-CO2+H[1+],5.35332300160007e-05
247.03843,C02985,M(S34)+H[1+],0.000553533230004177
247.03843,C02985,M(Cl37)+H[1+],0.000846466769985454
247.03814,C02985,M(S34)+H[1+],0.000263533229997392
247.03814,C02985,M(Cl37)+H[1+],0.00113646676999224
427.09499,C02939,M(C13)+2H[2+],0.000336466770022525
427.09499,C15980,M(C13)+2H[2+],0.000336466770022525
400.34193,C02990,M+H[1+],0.00024646677002238
400.34193,C01829,M+H+Na[2+],0.000303533230010089
418.08758,C14871,M+HCOONa[1+],0.00149646676999282
237.05382,C05844,M-H2O+H[1+],0.000156466769993813
511.09671,C00307,M+Na[1+],0.00013353322998455
263.03274,C00103,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00668,M(S34)+H[1+],3.64667699841448e-05
263.03274,C01172,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00275,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00636,M(S34)+H[1+],3.64667699841448e-05
263.03274,C01094,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00085,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00446,M(S34)+H[1+],3.64667699841448e-05
263.03274,C01097,M(S34)+H[1+],3.64667699841448e-05
263.03274,C00092,M(S34)+H[1+],3.64667699841448e-05
263.03274,C03862,M(S34)+H[1+],5.49927700035369e-05
263.03274,C04006,M(S34)+H[1+],3.64667699841448e-05
263.03274,C01177,M(S34)+H[1+],3.64667699841448e-05
263.03274,C03546,M(S34)+H[1+],3.64667699841448e-05
489.11431,C00307,M+H[1+],0.000266466770028728
175.11891,C00062,M+H[1+],6.64667700220889e-05
175.11891,C00792,M+H[1+],6.64667700220889e-05
173.02091,C00093,M+H[1+],6.64667700220889e-05
173.02091,C00279,M-CO+H[1+],3.35332299812308e-05
173.02091,C01801,M+K[1+],0.00023353322998787
173.02091,C02985,M-C3H4O2+H[1+],6.64667699936672e-05
173.02091,C00246,M+HCOOK[1+],6.64667700220889e-05
261.12658,C00831,M-H2O+H[1+],9.64667700031896e-05
261.12658,C19559,M-HCOOH+H[1+],0.000896466770029747
217.02753,C00672,M(S34)+H[1+],0.000253533229994218
217.02753,C00673,M(S34)+H[1+],0.000253533229994218
429.37357,C11455,M+H2O+H[1+],0.00079353322996667
429.37357,C11508,M+H2O+H[1+],0.00079353322996667
429.37357,C15783,M+H2O+H[1+],0.00079353322996667
267.06451,C06800,M-HCOOH+H[1+],0.000766466770016905
347.02511,C00105,M+Na[1+],6.64667700789323e-05
264.03909,C05660,M+NaCl[1+],0.000686466770048355
264.03909,C07585,M+HCOOK[1+],0.00101353322997966
237.0538,C05844,M-H2O+H[1+],0.000176466770000161
182.08101,C00082,M+H[1+],0.000166466770025409
182.08101,C16591,M-CO+H[1+],6.64667700220889e-05
366.11151,C00448,M-NH3+H[1+],0.000266466769971885
307.08397,C00051,M[1+],0.000170000000025539
307.08397,C00127,M+2H[2+],0.000693533229991772
253.00838,C00117,M+Na[1+],9.64667700316113e-05
253.00838,C00199,M+Na[1+],9.64667700316113e-05
253.00838,C00231,M+Na[1+],9.64667700316113e-05
253.00838,C00620,M+Na[1+],9.64667700316113e-05
253.00838,C00191,M+NaCl[1+],0.000196466770006509
253.00838,C00618,M+NaCl[1+],0.000196466770006509
253.00838,C05699,M-H2O+H[1+],0.000196466770034931
381.13297,C00019,M-H2O+H[1+],0.000906466770004499
274.187,C00951,M(C13)+H[1+],0.00127646676997983
237.05375,C05844,M-H2O+H[1+],0.00022646676998761
511.09673,C00307,M+Na[1+],0.000153533229990899
382.10667,C03451,M(S34)+H[1+],0.00130646676996093
245.12446,C03406,M-HCOOH+H[1+],1.64667699777965e-05
245.12446,C00386,M+H2O+H[1+],1.64667700062182e-05
130.05006,C00064,M-NH3+H[1+],0.000183533230000421
130.05006,C21029,M-NH3+H[1+],0.000183533230000421
130.05006,C04281,M+H[1+],0.000183533230000421
130.05006,C00819,M-NH3+H[1+],0.000183533230000421
130.05006,C02237,M+H[1+],0.000183533230000421
130.05006,C04282,M+H[1+],0.000183533230000421
130.05006,C01879,M+H[1+],0.000183533230000421
130.05006,C00025,M-H2O+H[1+],0.000183533230000421
130.05006,C01042,M-HCOOH+H[1+],8.35332299971014e-05
130.05006,C05938,M-H2O+H[1+],0.000183533230000421
130.05006,C02220,M-CO+H[1+],0.000283533230003741
130.05006,C00217,M-H2O+H[1+],0.000183533230000421
538.12713,C05921,M-H4O2+H[1+],0.000353533229940695
173.08077,C03771,M[1+],0.000769999999988613
218.14997,C05341,M+H[1+],9.35332300002756e-05
485.09887,C21017,M(C13)+H[1+],0.00139353322998659
348.07057,C00020,M+H[1+],0.000193533229946752
348.07057,C00362,M+H[1+],0.000193533229946752
258.0736,C00864,M+K[1+],0.000123533230009798
258.0736,C00357,M-CO2+H[1+],0.000176466770028583
258.0736,C04257,M-CO2+H[1+],0.000176466770028583
258.0736,C04501,M-CO2+H[1+],0.000176466770028583
258.0736,C18060,M-CO2+H[1+],0.000176466770028583
307.08347,C00051,M[1+],0.000330000000019481
307.08347,C05643,M+NaCl[1+],0.00149353322996149
307.08347,C00127,M+2H[2+],0.000193533229946752
405.00944,C00015,M+H[1+],3.64667700409882e-05
361.1832,C18044,M-H4O2+H[1+],0.000123533230009798
191.01029,C00642,M+K[1+],0.000213533229981522
191.01029,C04043,M+K[1+],0.000213533229981522
191.01029,C05852,M+K[1+],0.000213533229981522
266.07531,C00475,M+Na[1+],0.000533533229997829
237.12324,C00978,M+H2O+H[1+],0.000136466770015886
237.12324,C05642,M-CO+H[1+],3.64667699841448e-05
97.02857,C00544,M-C3H4O2+H[1+],9.35332300002756e-05
97.02857,C03912,M-NH3+H[1+],9.35332300002756e-05
97.02857,C03564,M-NH3+H[1+],9.35332300002756e-05
97.02857,C01161,M-C3H4O2+H[1+],9.35332300002756e-05
97.02857,C05577,M-C3H4O2+H[1+],9.35332300002756e-05
300.28959,C00319,M+H[1+],8.64667700284372e-05
300.28959,C02934,M+H[1+],8.64667700284372e-05
300.28959,C12144,M-H2O+H[1+],8.64667700284372e-05
447.06753,C00570,M+H[1+],0.000146466770047482
245.12363,C03406,M-HCOOH+H[1+],0.000846466769985454
245.12363,C00386,M+H2O+H[1+],0.000846466770013876
267.13387,C05643,M+H2O+H[1+],0.000106466769977942
90.05502,C00099,M+H[1+],4.35332299986158e-05
90.05502,C00041,M+H[1+],4.35332299986158e-05
90.05502,C00213,M+H[1+],4.35332299986158e-05
90.05502,C00049,M-CO2+H[1+],4.35332300128266e-05
90.05502,C00402,M-CO2+H[1+],4.35332300128266e-05
90.05502,C03508,M-CO+H[1+],0.000143533230016146
90.05502,C00956,M-C3H4O2+H[1+],4.35332299986158e-05
588.07382,C01222,M+H[1+],5.64667700473365e-05
588.07382,C00096,M-H2O+H[1+],5.64667700473365e-05
364.06536,C00144,M+H[1+],8.35332299971014e-05
364.06536,C18239,M+H[1+],8.35332299971014e-05
364.06536,C00942,M+H2O+H[1+],8.35332299971014e-05
364.06536,C03410,M+K[1+],0.00168353322993653
180.06551,C07480,M[1+],0.00081000000000131
180.06551,C13747,M[1+],0.00081000000000131
180.06551,C00355,M-H2O+H[1+],3.35332299812308e-05
180.06551,C01252,M-CO+H[1+],3.35332299812308e-05
180.06551,C05637,M+H2O+H[1+],6.64667700220889e-05
180.06551,C05639,M+H2O+H[1+],6.64667700220889e-05
180.06551,C05645,M-CO2+H[1+],6.64667700220889e-05
180.06551,C14801,M-CO+H[1+],3.35332299812308e-05
530.13704,C00101,M+HCOOK[1+],0.00253646677003871
530.13704,C15974,M+H2O+H[1+],0.00106353322996711
530.13704,C15978,M+H2O+H[1+],0.00106353322996711
530.13704,C21384,M-CO2+H[1+],0.00113646677016277
334.10677,C03451,M-HCOOH+H[1+],6.46677000304408e-06
334.10677,C00378,M+HCOONa[1+],0.000206466770009683
334.10677,C14874,M[1+],0.000530000000026121
202.10724,C00788,M+H2O+H[1+],0.000136466770015886
202.10724,C05589,M+H2O+H[1+],0.000136466770015886
202.10724,C00864,M-H2O+H[1+],0.000136466770015886
302.06358,C00357,M+H[1+],3.53322997170835e-06
302.06358,C04257,M+H[1+],3.53322997170835e-06
302.06358,C04501,M+H[1+],3.53322997170835e-06
302.06358,C18060,M+H[1+],3.53322997170835e-06
302.06358,C00020,M-HCOOH+H[1+],0.00139646677001792
302.06358,C00362,M-HCOOH+H[1+],0.00139646677001792
302.06358,C00942,M-CO2+H[1+],0.00129646676998618
382.07602,C00144,M+H2O+H[1+],0.000143533230016146
382.07602,C18239,M+H2O+H[1+],0.000143533230016146
589.0452,C00029,M+Na[1+],0.000923533230093199
589.0452,C00052,M+Na[1+],0.000923533230093199
245.07682,C00299,M+H[1+],4.35332299844049e-05
346.04197,C00055,M+Na[1+],0.00079353322996667
400.34217,C02990,M+H[1+],6.46677000304408e-06
400.34217,C01829,M+H+Na[2+],0.000543533230029425
358.18503,C00504,M-HCOOK+H[1+],0.000646466770035659
201.12331,C05341,M-NH3+H[1+],6.64667699936672e-05
347.02509,C00105,M+Na[1+],8.64667700852806e-05
301.1691,C05552,M-C3H4O2+H[1+],0.000176466770028583
348.07037,C00020,M+H[1+],6.46677000304408e-06
348.07037,C00362,M+H[1+],6.46677000304408e-06
348.07037,C00270,M+K[1+],0.00159353322999323
