"","mz","p.value","t.score","mode"
"1",760.25703,1.03783551865744e-08,-43.2086660115311,"negative"
"2",289.03315,6.94955307435544e-08,-31.9647187613024,"negative"
"3",232.15434,2.47487256692678e-07,-39.2650880830377,"positive"
"4",245.024,2.75895048124141e-07,29.3633211024711,"negative"
"5",491.05466,3.46327352934937e-07,28.3820397694234,"negative"
"6",613.15908,4.28787709149582e-07,-23.4503395305046,"positive"
"7",513.03661,5.49945035067487e-07,25.4513772021668,"negative"
"8",476.14419,5.54703147286004e-07,22.1628316576699,"positive"
"9",495.13959,8.38940325876709e-07,23.4727111287274,"positive"
"10",708.16119,8.74907654733061e-07,20.6572837067045,"positive"
"11",246.03007,9.0356643555549e-07,21.1995916453897,"positive"
"12",440.09969,9.77031529625861e-07,-32.1511406810304,"negative"
"13",444.03145,1.02187917754637e-06,21.1307615888895,"positive"
"14",454.38868,1.11714650108568e-06,19.8405728084738,"positive"
"15",412.3432,1.12098976891253e-06,19.6756948869382,"positive"
"16",366.09623,1.27847063257102e-06,19.423539479849,"positive"
"17",201.03392,1.28262603571218e-06,20.7112230225005,"negative"
"18",298.05382,1.34082920774171e-06,19.8770226253671,"positive"
"19",270.06004,1.41677529912744e-06,21.2387041300489,"positive"
"20",293.09806,1.46845983885313e-06,18.7957892231699,"positive"
"21",396.10714,1.47318102384794e-06,19.122785448903,"positive"
"22",559.10535,1.58167410526021e-06,18.7688505999803,"positive"
"23",174.02184,1.59570322334848e-06,21.7819076999994,"positive"
"24",330.07524,1.76935743249205e-06,20.7274666508079,"positive"
"25",396.10729,1.80216245904971e-06,18.9056568166955,"positive"
"26",298.57031,1.83075729582626e-06,-24.1322290560113,"positive"
"27",252.94584,1.89871860835343e-06,18.3845530885146,"positive"
"28",444.03971,2.01110702475195e-06,18.4726384178039,"positive"
"29",578.11745,2.11346915317502e-06,17.6668793450084,"positive"
"30",461.09893,2.17055890474856e-06,19.4061434348074,"positive"
"31",577.13205,2.21329330198978e-06,17.527677541226,"positive"
"32",588.07455,2.24345947448141e-06,18.7596527737155,"positive"
"33",556.10181,2.29347107825886e-06,17.6421591328343,"positive"
"34",489.11439,2.42234234441444e-06,19.9580431858339,"positive"
"35",619.28861,2.46693387683895e-06,-19.9270913376298,"negative"
"36",443.03215,2.4801068204684e-06,17.8545827366382,"positive"
"37",296.92531,2.53639511972133e-06,19.3731813601876,"positive"
"38",167.04631,2.57697528335094e-06,22.8571495643972,"negative"
"39",251.06942,2.59068045865366e-06,17.1067069904362,"positive"
"40",440.37336,2.71290922455322e-06,21.7631064933809,"positive"
"41",412.84456,2.73970826643775e-06,20.9701460346499,"positive"
"42",176.03748,2.81200948499932e-06,16.8782387944888,"positive"
"43",447.11988,2.81385104266839e-06,20.2591254948699,"positive"
"44",370.07334,2.89983207724303e-06,18.1909689779805,"positive"
"45",379.11795,2.91935002317032e-06,27.2505583559149,"negative"
"46",424.34289,3.00220031941706e-06,17.1158164339558,"positive"
"47",262.07476,3.17575441051646e-06,17.0790904622162,"positive"
"48",269.02025,3.17915474996533e-06,17.9223374643423,"positive"
"49",793.01812,3.21045560178255e-06,20.5685118367724,"positive"
"50",412.34241,3.35731489198775e-06,16.8787993280156,"positive"
"51",414.3576,3.41594735575325e-06,22.5553967702474,"positive"
"52",289.16207,3.42964107246597e-06,-20.4006073424166,"positive"
"53",779.79262,3.4400137692778e-06,-33.0317531482486,"positive"
"54",233.14963,3.48936563882484e-06,-19.3766733736957,"positive"
"55",273.99767,3.64085695444328e-06,21.2103081012771,"positive"
"56",247.03843,3.66010174953447e-06,17.2585158144984,"positive"
"57",445.04617,3.72939167818635e-06,16.6353835858678,"positive"
"58",247.03814,3.74104077946401e-06,17.6603756384853,"positive"
"59",427.09499,3.77012501505895e-06,17.1120123510321,"positive"
"60",346.1179,3.83247219464679e-06,16.0960583195004,"positive"
"61",126.0009,3.85044151876781e-06,20.4547806538817,"positive"
"62",416.09311,3.89155429875037e-06,15.9799389189344,"positive"
"63",144.01141,4.00301119785794e-06,18.0377670856061,"positive"
"64",443.03243,4.03573783817706e-06,18.0267380499119,"positive"
"65",400.34193,4.12472131927015e-06,15.8799402386574,"positive"
"66",346.05585,4.19544679726978e-06,-15.8259827990634,"negative"
"67",440.37298,4.24486493682047e-06,17.0954110714002,"positive"
"68",509.20742,4.46491925215664e-06,16.6623985619611,"positive"
"69",418.08758,4.49214176303806e-06,15.9373689582528,"positive"
"70",237.05382,4.53595539546507e-06,16.130171374502,"positive"
"71",511.09671,4.56639549430877e-06,19.7165429818895,"positive"
"72",370.2951,4.62447090435963e-06,16.6983328208305,"positive"
"73",472.19161,4.68140314907646e-06,-24.949313647512,"negative"
"74",396.3109,4.88188743720234e-06,15.4394184137376,"positive"
"75",493.06887,4.88932795857433e-06,17.5331102614042,"positive"
"76",474.20623,4.95662053170797e-06,-27.2935125818101,"negative"
"77",229.0279,5.0632817211835e-06,18.4970964385261,"positive"
"78",408.10717,5.24025570714047e-06,18.8253627030224,"positive"
"79",263.03274,5.40706477872252e-06,15.2415680941957,"positive"
"80",350.08357,5.4315688997785e-06,16.5708098286203,"positive"
"81",344.11053,5.43687117505326e-06,15.8160415613128,"positive"
"82",544.97395,5.68492152999607e-06,14.9298765250653,"negative"
"83",489.11431,5.80201251181579e-06,15.2065737175873,"positive"
"84",355.07403,5.88054860581555e-06,-16.0950914985007,"positive"
"85",315.23885,5.94993503778095e-06,14.8573442827345,"positive"
"86",436.16246,5.99653627934309e-06,17.9766834733983,"positive"
"87",175.11891,6.09293135322281e-06,14.7997869332403,"positive"
"88",173.02091,6.10649336578837e-06,14.8371140428341,"positive"
