mz,p.value,t.score,mode
117.06995,3.020042500217253e-10,-77.87904100491902,positive
542.33186,2.86014474990837e-9,62.98766642829799,positive
706.34736,3.231046945652302e-9,57.53481856099886,positive
272.17645,5.659450671519466e-9,49.17122315287282,positive
803.50829,5.7336278668289895e-9,48.47564237074995,positive
161.09197,7.200642502530295e-9,50.50090783413695,positive
447.20745,9.944681674879691e-9,43.57771771973998,positive
431.24015,1.3350324071990565e-8,50.96416493781336,positive
391.24771,1.881356573490233e-8,41.01510244053064,positive
431.24013,2.0416342712246502e-8,46.137027372792595,positive
185.13239,3.317239181492982e-8,37.18483017820493,positive
229.1586,3.4511156314465025e-8,37.75085594061176,positive
800.51818,3.579553677900288e-8,38.902426171428694,positive
185.1323,3.859544561725893e-8,39.02440056489734,positive
185.13234,6.072813171864522e-8,36.703873185810565,positive
481.32428,8.612748669982138e-8,52.684351536118655,positive
479.3145,1.1279214408869894e-7,34.50219341566237,positive
415.23953,1.235179357959552e-7,38.900561505333535,positive
185.13238,1.7717228823068556e-7,33.824405123328326,positive
391.24821,1.8106313148222283e-7,32.593927875375414,positive
391.24861,1.8946270578484365e-7,32.35403393673156,positive
436.23409,2.0598825212206583e-7,26.37532817584821,positive
821.4815,2.1968788227074497e-7,34.06936870227905,positive
839.49059,2.4943688741412544e-07,48.711931349649525,positive
469.244,2.8068385959295506e-7,26.02726367263332,negative
269.15337,2.817781355794559e-7,27.354507282365013,positive
369.2379,2.9286762188505425e-7,-49.2878087004642,positive
803.46999,3.5508239422552414e-7,31.996525550224952,positive
698.46239,3.765388399847273e-7,35.53908415894793,positive
407.24413,3.8135314823112326e-7,28.71777246856236,negative
229.15855,4.1321722394124533e-7,30.549060110404458,positive
703.41757,4.232364034019632e-7,24.522877573400972,positive
748.33002,4.37065535248846e-7,23.467049320739964,positive
498.23501,5.262935850774577e-7,24.449639092252543,negative
449.25434,5.313798511409025e-7,22.64536684110885,negative
271.16913,5.346095988521665e-7,22.58969907822931,positive
423.27396,5.490659943765769e-7,32.20295213919583,positive
798.51471,6.177499381355445e-7,29.213261948377813,positive
255.0444,6.21961088527133e-7,21.842404291326815,negative
307.19019,6.222261183516494e-7,21.79471590920639,positive
455.2649,6.255857865434326e-7,24.082305985256145,negative
526.2461,6.308690874541189e-7,22.813932220598243,positive
303.19544,6.314194547489595e-7,31.123152912370962,positive
