"p.value","m.z","t.score"
3.02004250021725e-10,117.06995,-77.879041004919
2.86014474990837e-09,542.33186,62.987666428298
3.2310469456523e-09,706.34736,57.5348185609989
5.65945067151947e-09,272.17645,49.1712231528728
5.73362786682899e-09,803.50829,48.47564237075
7.20064250253029e-09,161.09197,50.500907834137
9.94468167487969e-09,447.20745,43.57771771974
1.33503240719906e-08,431.24015,50.9641649378134
1.88135657349023e-08,391.24771,41.0151024405306
2.04163427122465e-08,431.24013,46.1370273727926
3.31723918149298e-08,185.13239,37.1848301782049
3.4511156314465e-08,229.1586,37.7508559406118
3.57955367790029e-08,800.51818,38.9024261714287
3.85954456172589e-08,185.1323,39.0244005648973
6.07281317186452e-08,185.13234,36.7038731858106
8.61274866998214e-08,481.32428,52.6843515361187
1.12792144088699e-07,479.3145,34.5021934156624
1.23517935795955e-07,415.23953,38.9005615053335
1.77172288230686e-07,185.13238,33.8244051233283
1.81063131482223e-07,391.24821,32.5939278753754
1.89462705784844e-07,391.24861,32.3540339367316
2.05988252122066e-07,436.23409,26.3753281758482
2.19687882270745e-07,821.4815,34.069368702279
2.49436887414125e-07,839.49059,48.7119313496495
2.80683859592955e-07,469.244,26.0272636726333
2.81778135579456e-07,269.15337,27.354507282365
2.92867621885054e-07,369.2379,-49.2878087004642
3.55082394225524e-07,803.46999,31.996525550225
3.76538839984727e-07,698.46239,35.5390841589479
3.81353148231123e-07,407.24413,28.7177724685624
4.13217223941245e-07,229.15855,30.5490601104045
4.23236403401963e-07,703.41757,24.522877573401
4.37065535248846e-07,748.33002,23.46704932074
5.26293585077458e-07,498.23501,24.4496390922525
5.31379851140903e-07,449.25434,22.6453668411088
5.34609598852167e-07,271.16913,22.5896990782293
5.49065994376577e-07,423.27396,32.2029521391958
6.17749938135544e-07,798.51471,29.2132619483778
6.21961088527133e-07,255.0444,21.8424042913268
6.22226118351649e-07,307.19019,21.7947159092064
6.25585786543433e-07,455.2649,24.0823059852561
6.30869087454119e-07,526.2461,22.8139322205982
6.3141945474896e-07,303.19544,31.123152912371
6.53088424659185e-07,425.20979,23.0618539207931
6.67231435004724e-07,447.23479,21.6994318643785
6.83461863958215e-07,393.26292,24.5806530485413
7.43188651574412e-07,407.24371,21.8401527096032
7.56915633183863e-07,459.21544,25.6663538187896
7.61320420519912e-07,855.45514,30.9840777041027
8.01198117433272e-07,407.24412,24.93652889516
8.26677520331206e-07,271.16938,32.0965628467311
8.95002659127224e-07,253.15034,45.2366219552296
9.05441199069704e-07,321.20593,35.0130142264537
9.05458119735396e-07,449.30056,46.3817950814174
9.14857329515365e-07,638.28006,20.9716152903376
9.19029312079394e-07,413.22977,22.7014840018425
9.50668536281491e-07,678.30615,24.6397355903521
1.06774980591344e-06,447.23523,21.1596951302889
1.0930427497175e-06,447.21594,20.0750672251054
1.15456037677513e-06,618.27613,19.7092521997248
1.16406119643349e-06,685.40632,19.7264290502625
1.17516987624363e-06,767.44977,19.5335158613666
1.18861850158055e-06,191.03991,19.6721678393674
1.23005577977399e-06,461.22959,19.4056175282889
1.24843568647056e-06,488.20599,24.8557257980816
1.33667023236205e-06,407.24154,19.6968312097391
1.37910441061346e-06,837.47579,20.8417843677565
1.39705502924585e-06,467.22828,28.9606512612947
1.40928065410658e-06,393.26344,18.9413613992483
