Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
117.06995,C03012,M-CO2+H[1+],7.35332300081382e-05
117.06995,C06205,M-HCOOH+H[1+],2.64667699667598e-05
117.06995,C14786,M-CO+H[1+],0.000173533230011458
117.06995,C14787,M-CO+H[1+],0.000173533230011458
272.17645,C00951,M[1+],0.00114999999999554
161.09197,C21015,M-C3H4O2+H[1+],0.000106466769977942
229.1586,C05285,M-C3H4O2+H[1+],7.6466770025263e-05
229.1586,C05297,M-C3H4O2+H[1+],7.6466770025263e-05
229.1586,C05299,M-C3H4O2+H[1+],7.6466770025263e-05
269.15337,C05298,M-H2O+H[1+],0.000206466770009683
269.15337,C05300,M-H2O+H[1+],0.000206466770009683
229.15855,C05285,M-C3H4O2+H[1+],0.000126466770041134
229.15855,C05297,M-C3H4O2+H[1+],0.000126466770041134
229.15855,C05299,M-C3H4O2+H[1+],0.000126466770041134
271.16913,C00468,M+H[1+],0.000146466769990639
271.16913,C05141,M-H2O+H[1+],4.64667700157406e-05
271.16913,C05301,M-H2O+H[1+],4.64667700157406e-05
423.27396,C11135,M-CO2+H[1+],0.000216466770041279
423.27396,C11136,M-CO2+H[1+],0.000216466770041279
307.19019,C05141,M+H2O+H[1+],0.000186466770060179
307.19019,C05301,M+H2O+H[1+],0.000186466770060179
303.19544,C05140,M+H[1+],3.64667699841448e-05
303.19544,C05284,M+H[1+],3.64667699841448e-05
303.19544,C05290,M+H[1+],3.64667699841448e-05
303.19544,C05295,M+H[1+],3.64667699841448e-05
303.19544,C05302,M+H[1+],3.64667699841448e-05
271.16938,C00468,M+H[1+],0.00010353323000345
271.16938,C05141,M-H2O+H[1+],0.000203533229978348
271.16938,C05301,M-H2O+H[1+],0.000203533229978348
253.15034,C16609,M-CO2+H[1+],0.000363533230000712
253.15034,C07572,M-C3H4O2+H[1+],0.000363533230000712
321.20593,C05140,M+H2O+H[1+],0.000146466769990639
321.20593,C05284,M+H2O+H[1+],0.000146466769990639
321.20593,C05290,M+H2O+H[1+],0.000146466769990639
321.20593,C05295,M+H2O+H[1+],0.000146466769990639
321.20593,C05302,M+H2O+H[1+],0.000146466769990639
407.24154,C14772,M+HCOONa[1+],0.00116353322999885
407.24154,C14773,M+HCOONa[1+],0.00116353322999885
407.24154,C14774,M+HCOONa[1+],0.00116353322999885
407.24154,C14775,M+HCOONa[1+],0.00116353322999885
229.15864,C05285,M-C3H4O2+H[1+],3.64667700409882e-05
229.15864,C05297,M-C3H4O2+H[1+],3.64667700409882e-05
229.15864,C05299,M-C3H4O2+H[1+],3.64667700409882e-05
289.17984,C05141,M+H[1+],6.35332299907532e-05
289.17984,C05301,M+H[1+],6.35332299907532e-05
289.17984,C00468,M+H2O+H[1+],3.64667699841448e-05
289.17984,C00762,M-C3H4O2+H[1+],3.64667699841448e-05
289.17984,C01780,M-C3H4O2+H[1+],3.64667699841448e-05
287.16458,C05298,M+H[1+],0.000403533229984987
287.16458,C05300,M+H[1+],0.000403533229984987
235.14869,C00468,M-H4O2+H[1+],0.0006135332299948
289.17974,C05141,M+H[1+],3.64667700409882e-05
289.17974,C05301,M+H[1+],3.64667700409882e-05
289.17974,C00468,M+H2O+H[1+],0.000136466770015886
289.17974,C00762,M-C3H4O2+H[1+],0.000136466770015886
289.17974,C01780,M-C3H4O2+H[1+],0.000136466770015886
229.15844,C05285,M-C3H4O2+H[1+],0.000236466770019206
229.15844,C05297,M-C3H4O2+H[1+],0.000236466770019206
229.15844,C05299,M-C3H4O2+H[1+],0.000236466770019206
423.27269,C11135,M-CO2+H[1+],0.00148646677001807
423.27269,C11136,M-CO2+H[1+],0.00148646677001807
583.26839,C01613,M-HCOOK+H[1+],0.000513533229877794
229.15852,C05285,M-C3H4O2+H[1+],0.000156466770022234
229.15852,C05297,M-C3H4O2+H[1+],0.000156466770022234
229.15852,C05299,M-C3H4O2+H[1+],0.000156466770022234
250.09333,C00212,M-H2O+H[1+],0.000146466769962217
250.09333,C00330,M-H2O+H[1+],0.000146466769962217
680.32053,C02090,M-CO2+H[1+],0.00134646676997363
289.17827,C03461,M+HCOONa[1+],0.000893533229998411
287.16394,C05298,M+H[1+],0.000236466769990784
287.16394,C05300,M+H[1+],0.000236466769990784
125.0599,C00544,M-CO2+H[1+],0.000123533229995587
125.0599,C00642,M-CO+H[1+],0.000323533230002226
125.0599,C01161,M-CO2+H[1+],0.000123533229995587
125.0599,C04043,M-CO+H[1+],0.000323533230002226
125.0599,C05576,M-HCOOH+H[1+],0.000123533230024009
125.0599,C05577,M-CO2+H[1+],0.000123533229995587
