"","mz","p.value","t.score","mode"
"1",117.06995,3.02004250021725e-10,-77.879041004919,"positive"
"2",542.33186,2.86014474990837e-09,62.987666428298,"positive"
"3",706.34736,3.2310469456523e-09,57.5348185609989,"positive"
"4",272.17645,5.65945067151947e-09,49.1712231528728,"positive"
"5",803.50829,5.73362786682899e-09,48.47564237075,"positive"
"6",161.09197,7.20064250253029e-09,50.500907834137,"positive"
"7",447.20745,9.94468167487969e-09,43.57771771974,"positive"
"8",431.24015,1.33503240719906e-08,50.9641649378134,"positive"
"9",391.24771,1.88135657349023e-08,41.0151024405306,"positive"
"10",431.24013,2.04163427122465e-08,46.1370273727926,"positive"
"11",185.13239,3.31723918149298e-08,37.1848301782049,"positive"
"12",229.1586,3.4511156314465e-08,37.7508559406118,"positive"
"13",800.51818,3.57955367790029e-08,38.9024261714287,"positive"
"14",185.1323,3.85954456172589e-08,39.0244005648973,"positive"
"15",185.13234,6.07281317186452e-08,36.7038731858106,"positive"
"16",481.32428,8.61274866998214e-08,52.6843515361187,"positive"
"17",479.3145,1.12792144088699e-07,34.5021934156624,"positive"
"18",415.23953,1.23517935795955e-07,38.9005615053335,"positive"
"19",185.13238,1.77172288230686e-07,33.8244051233283,"positive"
"20",391.24821,1.81063131482223e-07,32.5939278753754,"positive"
"21",391.24861,1.89462705784844e-07,32.3540339367316,"positive"
"22",436.23409,2.05988252122066e-07,26.3753281758482,"positive"
"23",821.4815,2.19687882270745e-07,34.069368702279,"positive"
"24",839.49059,2.49436887414125e-07,48.7119313496495,"positive"
"25",469.244,2.80683859592955e-07,26.0272636726333,"negative"
"26",269.15337,2.81778135579456e-07,27.354507282365,"positive"
"27",369.2379,2.92867621885054e-07,-49.2878087004642,"positive"
"28",803.46999,3.55082394225524e-07,31.996525550225,"positive"
"29",698.46239,3.76538839984727e-07,35.5390841589479,"positive"
"30",407.24413,3.81353148231123e-07,28.7177724685624,"negative"
"31",229.15855,4.13217223941245e-07,30.5490601104045,"positive"
"32",703.41757,4.23236403401963e-07,24.522877573401,"positive"
"33",748.33002,4.37065535248846e-07,23.46704932074,"positive"
"34",498.23501,5.26293585077458e-07,24.4496390922525,"negative"
"35",449.25434,5.31379851140903e-07,22.6453668411088,"negative"
"36",271.16913,5.34609598852167e-07,22.5896990782293,"positive"
"37",423.27396,5.49065994376577e-07,32.2029521391958,"positive"
"38",798.51471,6.17749938135544e-07,29.2132619483778,"positive"
"39",255.0444,6.21961088527133e-07,21.8424042913268,"negative"
"40",307.19019,6.22226118351649e-07,21.7947159092064,"positive"
"41",455.2649,6.25585786543433e-07,24.0823059852561,"negative"
"42",526.2461,6.30869087454119e-07,22.8139322205982,"positive"
"43",303.19544,6.3141945474896e-07,31.123152912371,"positive"
"44",425.20979,6.53088424659185e-07,23.0618539207931,"negative"
"45",447.23479,6.67231435004724e-07,21.6994318643785,"positive"
"46",393.26292,6.83461863958215e-07,24.5806530485413,"positive"
"47",407.24371,7.43188651574412e-07,21.8401527096032,"negative"
"48",459.21544,7.56915633183863e-07,25.6663538187896,"negative"
"49",855.45514,7.61320420519912e-07,30.9840777041027,"positive"
"50",407.24412,8.01198117433272e-07,24.93652889516,"negative"
"51",271.16938,8.26677520331206e-07,32.0965628467311,"positive"
"52",253.15034,8.95002659127224e-07,45.2366219552296,"positive"
"53",321.20593,9.05441199069704e-07,35.0130142264537,"positive"
"54",449.30056,9.05458119735396e-07,46.3817950814174,"positive"
"55",638.28006,9.14857329515365e-07,20.9716152903376,"negative"
"56",413.22977,9.19029312079394e-07,22.7014840018425,"positive"
"57",678.30615,9.50668536281491e-07,24.6397355903521,"negative"
"58",447.23523,1.06774980591344e-06,21.1596951302889,"positive"
"59",447.21594,1.0930427497175e-06,20.0750672251054,"positive"
"60",618.27613,1.15456037677513e-06,19.7092521997248,"positive"
"61",685.40632,1.16406119643349e-06,19.7264290502625,"positive"
"62",767.44977,1.17516987624363e-06,19.5335158613666,"positive"
"63",191.03991,1.18861850158055e-06,19.6721678393674,"positive"
"64",461.22959,1.23005577977399e-06,19.4056175282889,"positive"
"65",488.20599,1.24843568647056e-06,24.8557257980816,"negative"
"66",407.24154,1.33667023236205e-06,19.6968312097391,"positive"
"67",837.47579,1.37910441061346e-06,20.8417843677565,"negative"
"68",467.22828,1.39705502924585e-06,28.9606512612947,"negative"
"69",393.26344,1.40928065410658e-06,18.9413613992483,"positive"
"70",853.45928,1.44915124712287e-06,28.3957804799594,"positive"
"71",465.24539,1.45426388694521e-06,23.3517169994846,"positive"
"72",712.31174,1.46283783351571e-06,20.2013928718928,"positive"
"73",183.11587,1.46797989737981e-06,18.8317576703854,"positive"
"74",731.3241,1.47612289166081e-06,20.7477732099256,"positive"
"75",229.15864,1.51347216418444e-06,29.3064528928893,"positive"
"76",454.24912,1.52095406202981e-06,18.6762669431735,"positive"
"77",305.17599,1.54434886097969e-06,29.4185310686896,"negative"
"78",476.2254,1.55880537606011e-06,19.160694338447,"positive"
"79",431.24037,1.57899707481861e-06,18.8815767067752,"positive"
"80",289.17984,1.58903846187436e-06,28.0913119004311,"positive"
"81",185.13248,1.59373616198939e-06,20.8639720824975,"positive"
"82",287.16458,1.59904650434511e-06,22.051259125556,"positive"
"83",185.13244,1.62231630587741e-06,21.8376898674239,"positive"
"84",483.22384,1.6585471912707e-06,29.1847961015245,"negative"
"85",835.49647,1.75511539758671e-06,27.7214233744878,"positive"
"86",235.14869,1.76719356185781e-06,18.4452352898693,"positive"
"87",871.48031,1.80009083756826e-06,18.6913847383351,"positive"
"88",445.67968,1.84757288875936e-06,19.8318831725281,"positive"
"89",289.17974,1.84946508930695e-06,18.3246889772244,"positive"
"90",391.24775,1.89208628091875e-06,21.1149921319297,"positive"
"91",475.23106,1.92239857899626e-06,24.9717329911267,"negative"
"92",229.15844,1.93175084063059e-06,19.0396619313045,"positive"
"93",423.27269,1.98724872235511e-06,30.3432860939179,"positive"
"94",583.26839,1.98785206022037e-06,20.0483874323239,"positive"
"95",777.49143,2.00730472464847e-06,21.106229953352,"positive"
"96",556.34555,2.01456163389532e-06,35.8321034196823,"positive"
"97",431.24041,2.02886535829929e-06,20.8890769683969,"positive"
"98",866.52417,2.09662691585419e-06,20.258825270072,"positive"
"99",229.15852,2.10257763418508e-06,20.9758303482967,"positive"
"100",459.21507,2.12669848048179e-06,19.7573996835768,"negative"
