mz,p.value,t.score,mode
376.59036,1.2830939105479716e-9,-61.37101126578886,positive
178.04751,1.4653043933154979e-09,-60.48728582236385,positive
472.11087,1.5373761498205648e-9,-59.364571745708126,positive
369.58292,2.258414324104381e-9,-55.67182304688264,positive
836.12968,3.4058339758854584e-9,-56.304079260005146,positive
303.05188,4.291303628409411e-9,-68.37039625624632,positive
146.06019,4.9795928702660944e-9,-52.45146606959805,positive
424.82408,9.636462922793304e-9,-47.33159101793709,negative
296.07619,9.659233676036944e-9,-45.38927585416732,negative
494.81087,1.1001653556363166e-8,-44.08575824574862,negative
205.06788,1.220633256267577e-8,-49.29203963565415,positive
171.0066,1.2443021781199695e-8,-41.99188233784589,negative
338.04866,1.4036896508918417e-8,-48.20426093448673,negative
572.06163,1.528747831748105e-8,-41.690513485659174,negative
345.0274,1.7410165268230226e-8,-39.77825049261693,negative
552.76922,1.9681256111778582e-8,-41.3083013855158,negative
612.28345,2.1236141663042374e-8,-46.02864174899044,negative
314.08688,2.192592259297285e-8,-46.349840944749104,negative
629.08266,2.2000168922138233e-8,-38.23110599606539,negative
313.03767,2.3780194234785348e-8,-38.57534492497592,negative
367.01606,2.4323492995295358e-8,-46.68912278381422,positive
209.99755,2.786442879078819e-8,-37.91657704796433,negative
628.31365,2.829898669562329e-8,-52.640013673121125,positive
243.18325,2.857301226132795e-8,38.310229233666114,positive
381.3369,2.939157102393644e-8,37.78952830033419,negative
388.06967,3.53248426382142e-8,-36.80241371769561,negative
638.29916,3.5979306261636347e-8,-48.62990570056143,negative
701.10415,3.673792858745259e-8,-47.280193166792934,negative
314.08698,4.435912872981141e-8,-34.11812818956035,negative
366.06728,4.8511048570065395e-8,-51.86474872699048,positive
296.07665,4.9025199825061566e-8,-35.84976758059121,negative
315.08093,5.495783382879002e-8,32.812218426494454,negative
612.28189,5.673839025376609e-8,-48.40061902817793,positive
547.1583,5.802969880048855e-8,-46.90876516275448,positive
397.08765,5.8190648824989664e-8,-35.486549690254876,negative
671.31922,5.8324984149047255e-8,-44.67643834804215,positive
614.29819,6.100864606592643e-8,-45.555305240466645,positive
611.1446,6.785219168311947e-8,36.1650260441023,negative
