"p.value","m.z","t.score"
1.28309391054797e-09,376.59036,-61.3710112657889
1.4653043933155e-09,178.04751,-60.4872858223639
1.53737614982056e-09,472.11087,-59.3645717457081
2.25841432410438e-09,369.58292,-55.6718230468826
3.40583397588546e-09,836.12968,-56.3040792600051
4.29130362840941e-09,303.05188,-68.3703962562463
4.97959287026609e-09,146.06019,-52.451466069598
9.6364629227933e-09,424.82408,-47.3315910179371
9.65923367603694e-09,296.07619,-45.3892758541673
1.10016535563632e-08,494.81087,-44.0857582457486
1.22063325626758e-08,205.06788,-49.2920396356541
1.24430217811997e-08,171.0066,-41.9918823378459
1.40368965089184e-08,338.04866,-48.2042609344867
1.52874783174811e-08,572.06163,-41.6905134856592
1.74101652682302e-08,345.0274,-39.7782504926169
1.96812561117786e-08,552.76922,-41.3083013855158
2.12361416630424e-08,612.28345,-46.0286417489904
2.19259225929729e-08,314.08688,-46.3498409447491
2.20001689221382e-08,629.08266,-38.2311059960654
2.37801942347853e-08,313.03767,-38.5753449249759
2.43234929952954e-08,367.01606,-46.6891227838142
2.78644287907882e-08,209.99755,-37.9165770479643
2.82989866956233e-08,628.31365,-52.6400136731211
2.85730122613279e-08,243.18325,38.3102292336661
2.93915710239364e-08,381.3369,37.7895283003342
3.53248426382142e-08,388.06967,-36.8024137176956
3.59793062616363e-08,638.29916,-48.6299057005614
3.67379285874526e-08,701.10415,-47.2801931667929
4.43591287298114e-08,314.08698,-34.1181281895604
4.85110485700654e-08,366.06728,-51.8647487269905
4.90251998250616e-08,296.07665,-35.8497675805912
5.495783382879e-08,315.08093,32.8122184264945
5.67383902537661e-08,612.28189,-48.4006190281779
5.80296988004885e-08,547.1583,-46.9087651627545
5.81906488249897e-08,397.08765,-35.4865496902549
5.83249841490473e-08,671.31922,-44.6764383480421
6.10086460659264e-08,614.29819,-45.5553052404666
6.78521916831195e-08,611.1446,36.1650260441023
7.52172426314575e-08,445.09108,-34.0583685115809
7.9076343250795e-08,374.93988,32.0278948249695
9.06725930371566e-08,316.98108,33.4137049885528
9.69946345643708e-08,379.05214,-37.2543356820536
1.03396024832443e-07,264.03909,-45.1193777419692
1.11857332231845e-07,382.10011,-34.8717126906642
1.20065317482787e-07,640.31379,-47.5914693001395
1.24416735649412e-07,275.5674,33.8649443804617
1.32984859418974e-07,445.05275,-34.0293287639828
1.61711752232555e-07,582.11825,36.5004168735317
1.64791927208792e-07,296.07631,-33.4562174643965
1.99138209461206e-07,550.07905,-31.5126947827858
2.13120593872895e-07,204.98126,37.0360424752972
2.34078585514397e-07,364.05256,-33.821462910824
2.4785850494194e-07,431.07436,-50.4491941484174
2.80605909390125e-07,376.06925,-43.7974008429853
3.0003919165559e-07,487.09974,-30.3603708787397
3.15024802654526e-07,662.29602,-40.0941129213096
3.52222393087656e-07,716.22807,-34.5401042301034
3.76181828136333e-07,316.10151,-40.608729908188
3.90520912129098e-07,313.03779,-29.3097579518773
4.070780564248e-07,736.14399,-30.963393690349
4.13249604535476e-07,271.04462,-32.7361310768818
4.37233440619308e-07,192.06551,-41.0757759248633
4.39493341871109e-07,519.03863,-42.077078331355
4.39980127295873e-07,271.96483,23.0947776766763
4.93229580379083e-07,414.3576,-43.8205123121769
6.56424885223815e-07,257.94889,26.9910144839868
6.90231763291419e-07,270.06069,-31.8227962833851
8.04509433658729e-07,228.03902,-30.184810159332
9.13342946018845e-07,445.18309,-39.9524404087117
1.0280759431415e-06,300.28959,24.7778960418539
1.03335968595321e-06,311.0222,-29.0661843103132
1.11116490579555e-06,438.04486,-39.5758925514
1.3068149990908e-06,740.1872,24.6638984956593
1.45101827994332e-06,214.04856,22.1088639605452
1.49743058808004e-06,467.07272,-28.396816823993
1.69574513663649e-06,447.10553,-38.3835479954831
1.70418553382628e-06,191.01982,24.4062277681241
1.75847746142971e-06,359.04228,-36.3661833087094
1.85515917278003e-06,679.1221,-28.5050819977087
1.91215722973266e-06,534.28316,40.0539448151413
1.97005157012463e-06,489.11473,-34.9760273837346
2.14303274192091e-06,114.06623,37.7885037777073
2.19866159547438e-06,429.05958,-28.4850037533046
2.6054364018619e-06,341.07262,-33.1721080976878
2.62780121347605e-06,348.07898,-33.5876921045983
2.72607704297714e-06,390.08404,-33.4012066138982
2.75564814977312e-06,445.09111,-27.7257368883158
3.09170380775011e-06,611.14466,16.7049871454696
3.10968559935529e-06,322.05572,-28.3878522486627
3.16051410090313e-06,313.03776,-27.206100836516
3.20791245662184e-06,272.07518,-33.8890971293552
3.20910313021023e-06,345.03459,-35.280639897945
3.3283039706421e-06,245.11425,-26.2679316286446
3.45221353009233e-06,436.03075,-26.5248557744292
3.45489654789581e-06,323.02878,18.3291300786665
3.57400959080092e-06,371.60483,16.9448662874344
3.64616020680734e-06,484.77983,-27.0199871396575
4.38224382299929e-06,324.07014,-32.9728667853851
4.42973809590645e-06,325.04328,16.0738425473171
4.7052351948396e-06,270.06095,-22.9618832934424
4.82285987334354e-06,253.54822,-32.1820341711227
5.04745644517081e-06,296.07634,-26.4953808729183
5.2052257528169e-06,323.02861,16.1595675607614
5.3791403103451e-06,255.0444,-29.0756441791701
5.77499870421945e-06,307.08397,15.5215349026353
5.84232341348773e-06,405.00944,17.8012671735184
5.86747809815549e-06,402.99506,14.8505013741025
6.30888970682317e-06,611.14485,20.492607078735
