"","mz","p.value","t.score","mode"
"1",376.59036,1.28309391054797e-09,-61.3710112657889,"positive"
"2",178.04751,1.4653043933155e-09,-60.4872858223639,"positive"
"3",472.11087,1.53737614982056e-09,-59.3645717457081,"positive"
"4",369.58292,2.25841432410438e-09,-55.6718230468826,"positive"
"5",836.12968,3.40583397588546e-09,-56.3040792600051,"positive"
"6",303.05188,4.29130362840941e-09,-68.3703962562463,"positive"
"7",146.06019,4.97959287026609e-09,-52.451466069598,"positive"
"8",424.82408,9.6364629227933e-09,-47.3315910179371,"negative"
"9",296.07619,9.65923367603694e-09,-45.3892758541673,"negative"
"10",494.81087,1.10016535563632e-08,-44.0857582457486,"negative"
"11",205.06788,1.22063325626758e-08,-49.2920396356541,"positive"
"12",171.0066,1.24430217811997e-08,-41.9918823378459,"negative"
"13",338.04866,1.40368965089184e-08,-48.2042609344867,"negative"
"14",572.06163,1.52874783174811e-08,-41.6905134856592,"negative"
"15",345.0274,1.74101652682302e-08,-39.7782504926169,"negative"
"16",552.76922,1.96812561117786e-08,-41.3083013855158,"negative"
"17",612.28345,2.12361416630424e-08,-46.0286417489904,"negative"
"18",314.08688,2.19259225929729e-08,-46.3498409447491,"negative"
"19",629.08266,2.20001689221382e-08,-38.2311059960654,"negative"
"20",313.03767,2.37801942347853e-08,-38.5753449249759,"negative"
"21",367.01606,2.43234929952954e-08,-46.6891227838142,"positive"
"22",209.99755,2.78644287907882e-08,-37.9165770479643,"negative"
"23",628.31365,2.82989866956233e-08,-52.6400136731211,"positive"
"24",243.18325,2.85730122613279e-08,38.3102292336661,"positive"
"25",381.3369,2.93915710239364e-08,37.7895283003342,"negative"
"26",388.06967,3.53248426382142e-08,-36.8024137176956,"negative"
"27",638.29916,3.59793062616363e-08,-48.6299057005614,"negative"
"28",701.10415,3.67379285874526e-08,-47.2801931667929,"negative"
"29",314.08698,4.43591287298114e-08,-34.1181281895604,"negative"
"30",366.06728,4.85110485700654e-08,-51.8647487269905,"positive"
"31",296.07665,4.90251998250616e-08,-35.8497675805912,"negative"
"32",315.08093,5.495783382879e-08,32.8122184264945,"negative"
"33",612.28189,5.67383902537661e-08,-48.4006190281779,"positive"
"34",547.1583,5.80296988004885e-08,-46.9087651627545,"positive"
"35",397.08765,5.81906488249897e-08,-35.4865496902549,"negative"
"36",671.31922,5.83249841490473e-08,-44.6764383480421,"positive"
"37",614.29819,6.10086460659264e-08,-45.5553052404666,"positive"
"38",611.1446,6.78521916831195e-08,36.1650260441023,"negative"
"39",445.09108,7.52172426314575e-08,-34.0583685115809,"negative"
"40",374.93988,7.9076343250795e-08,32.0278948249695,"negative"
"41",316.98108,9.06725930371566e-08,33.4137049885528,"negative"
"42",379.05214,9.69946345643708e-08,-37.2543356820536,"negative"
"43",264.03909,1.03396024832443e-07,-45.1193777419692,"positive"
"44",382.10011,1.11857332231845e-07,-34.8717126906642,"negative"
"45",640.31379,1.20065317482787e-07,-47.5914693001395,"positive"
"46",275.5674,1.24416735649412e-07,33.8649443804617,"positive"
"47",445.05275,1.32984859418974e-07,-34.0293287639828,"negative"
"48",582.11825,1.61711752232555e-07,36.5004168735317,"negative"
"49",296.07631,1.64791927208792e-07,-33.4562174643965,"negative"
"50",550.07905,1.99138209461206e-07,-31.5126947827858,"negative"
"51",204.98126,2.13120593872895e-07,37.0360424752972,"negative"
"52",364.05256,2.34078585514397e-07,-33.821462910824,"negative"
"53",431.07436,2.4785850494194e-07,-50.4491941484174,"positive"
"54",376.06925,2.80605909390125e-07,-43.7974008429853,"positive"
"55",487.09974,3.0003919165559e-07,-30.3603708787397,"negative"
"56",662.29602,3.15024802654526e-07,-40.0941129213096,"positive"
"57",716.22807,3.52222393087656e-07,-34.5401042301034,"negative"
"58",316.10151,3.76181828136333e-07,-40.608729908188,"positive"
"59",313.03779,3.90520912129098e-07,-29.3097579518773,"negative"
"60",736.14399,4.070780564248e-07,-30.963393690349,"negative"
"61",271.04462,4.13249604535476e-07,-32.7361310768818,"negative"
"62",192.06551,4.37233440619308e-07,-41.0757759248633,"positive"
"63",519.03863,4.39493341871109e-07,-42.077078331355,"positive"
"64",271.96483,4.39980127295873e-07,23.0947776766763,"positive"
"65",414.3576,4.93229580379083e-07,-43.8205123121769,"positive"
"66",257.94889,6.56424885223815e-07,26.9910144839868,"positive"
"67",270.06069,6.90231763291419e-07,-31.8227962833851,"negative"
"68",228.03902,8.04509433658729e-07,-30.184810159332,"negative"
"69",445.18309,9.13342946018845e-07,-39.9524404087117,"positive"
"70",300.28959,1.0280759431415e-06,24.7778960418539,"positive"
"71",311.0222,1.03335968595321e-06,-29.0661843103132,"negative"
"72",438.04486,1.11116490579555e-06,-39.5758925514,"positive"
"73",740.1872,1.3068149990908e-06,24.6638984956593,"negative"
"74",214.04856,1.45101827994332e-06,22.1088639605452,"negative"
"75",467.07272,1.49743058808004e-06,-28.396816823993,"negative"
"76",447.10553,1.69574513663649e-06,-38.3835479954831,"positive"
"77",191.01982,1.70418553382628e-06,24.4062277681241,"negative"
"78",359.04228,1.75847746142971e-06,-36.3661833087094,"positive"
"79",679.1221,1.85515917278003e-06,-28.5050819977087,"negative"
"80",534.28316,1.91215722973266e-06,40.0539448151413,"positive"
"81",489.11473,1.97005157012463e-06,-34.9760273837346,"positive"
"82",114.06623,2.14303274192091e-06,37.7885037777073,"positive"
"83",429.05958,2.19866159547438e-06,-28.4850037533046,"negative"
"84",341.07262,2.6054364018619e-06,-33.1721080976878,"positive"
"85",348.07898,2.62780121347605e-06,-33.5876921045983,"positive"
"86",390.08404,2.72607704297714e-06,-33.4012066138982,"positive"
"87",445.09111,2.75564814977312e-06,-27.7257368883158,"negative"
"88",611.14466,3.09170380775011e-06,16.7049871454696,"negative"
"89",322.05572,3.10968559935529e-06,-28.3878522486627,"negative"
"90",313.03776,3.16051410090313e-06,-27.206100836516,"negative"
"91",272.07518,3.20791245662184e-06,-33.8890971293552,"positive"
"92",345.03459,3.20910313021023e-06,-35.280639897945,"positive"
"93",245.11425,3.3283039706421e-06,-26.2679316286446,"negative"
"94",436.03075,3.45221353009233e-06,-26.5248557744292,"negative"
"95",323.02878,3.45489654789581e-06,18.3291300786665,"negative"
"96",371.60483,3.57400959080092e-06,16.9448662874344,"positive"
"97",484.77983,3.64616020680734e-06,-27.0199871396575,"negative"
"98",324.07014,4.38224382299929e-06,-32.9728667853851,"positive"
"99",325.04328,4.42973809590645e-06,16.0738425473171,"positive"
"100",270.06095,4.7052351948396e-06,-22.9618832934424,"negative"
