mz,p.value,t.score,mode
331.03027,4.773235371333657e-8,55.9218648359776,positive
266.05663,6.187363842692964e-7,22.355092600799317,positive
343.03378,1.520081735079953e-6,39.19848872544011,positive
81.03359,1.9338310071802236e-6,38.74180537179091,positive
343.03385,2.9918461104069465e-6,33.399887183717446,positive
550.34095,6.136074978564537e-6,-15.034781564708975,positive
423.00038,1.1661632142503967e-5,30.212690084442247,positive
331.03585,1.3799088655406773e-5,13.209636031792739,positive
602.07903,6.585440287226716e-5,22.805846706291693,positive
343.03402,7.802824522466983e-5,17.760686434522945,positive
365.01576,8.02686868215824e-5,17.903556157129163,positive
534.884,9.614436570074298e-5,-9.177948577973185,negative
343.03376,1.0824955154641343e-4,17.62743735537912,positive
462.28983,1.1292956407133692e-4,-11.270625427555176,positive
518.32087,1.236026515868867e-4,20.593857108133584,positive
365.01612,1.270081451746041e-4,17.68820667750454,positive
626.07981,1.716288874951734e-4,19.05937428349208,positive
361.03516,1.7278648290301035e-4,19.249553837909822,positive
229.01191,1.9895942624111816e-4,-8.250781862443876,negative
506.31363,2.0542633079677317e-4,-7.988661038434199,positive
192.06551,2.4508507662323345e-4,-7.736597904026302,positive
535.15416,3.034366181586682e-4,-7.442670012694607,negative
260.18533,4.6094742210239494e-4,-6.891372679877927,positive
640.46414,7.701669993881974e-4,-7.586499880963808,positive
160.04259,0.0013398700597820907,-5.656429678399181,positive
353.11671,0.001680574927084406,-5.7633938483124005,positive
409.61176,0.001754110079875953,-5.658127255933854,positive
176.07067,0.0017695103192238496,-5.407375663132323,positive
400.34217,0.0018240217205434013,-5.515138493987533,positive
160.07575,0.001874348658587543,-5.316580378371128,positive
270.91337,0.0018757022365673709,-6.563561588834723,negative
240.95252,0.0018794631226988709,-5.423485317927988,negative
307.08347,0.001942975687388272,-6.757611268826606,positive
160.04273,0.0019528620464359025,-5.853391231780083,positive
684.45522,0.002155672461298895,-5.474404681868074,negative
575.12951,0.002194555089816744,-5.180715275042333,positive
305.13178,0.0022518788650412913,-5.2790717898688175,positive
146.06019,0.0023115690124383814,-5.412851058375054,positive
156.10199,0.002410325787596652,-5.079226502016053,positive
354.16589,0.0024240821268557374,-5.766592960567704,positive
178.99277,0.0024624934370850965,-5.7582463442025995,positive
205.09705,0.0024740445713345633,-6.8981958242285035,positive
341.01947,0.002545182420234847,5.894514888353711,negative
302.04922,0.002598288750042214,-4.9526394550757304,negative
171.05981,0.0027933627033898604,-5.040906841122907,negative
653.18048,0.0027979965097194555,-9.016810913583129,negative
352.94497,0.0028597119395124197,-5.723793163140986,negative
592.53913,0.0028977932302395996,-5.81456108713771,negative
117.01935,0.0029825710186144635,-5.5055977408089936,negative
283.94503,0.003026847001301737,-4.917584577172406,negative
288.21663,0.003065478116705241,-4.881634733009465,positive
480.77729,0.003123267199273055,-5.0287870940435795,positive
335.106,0.003452242443255412,-4.6659374557925455,positive
240.03239,0.0036491212404911474,-6.171798813163697,positive
501.26724,0.0037225467972877117,4.718438424852736,positive
