Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
331.03027,C00365,M+Na[1+],6.46677005988749e-06
343.03378,C16634,M+H[1+],0.000103533229946606
81.03359,C00141,M-H4O2+H[1+],0.000213533229995733
81.03359,C04043,M-C3H4O2+H[1+],0.000113533230006624
81.03359,C00642,M-C3H4O2+H[1+],0.000113533230006624
81.03359,C05852,M-C3H4O2+H[1+],0.000113533230006624
81.03359,C03012,M+2H[2+],0.000113533230006624
343.03385,C16634,M+H[1+],0.000173533229940404
423.00038,C21748,M+H[1+],0.000303533230010089
343.03402,C16634,M+H[1+],0.000343533229965942
365.01576,C16634,M+Na[1+],8.3533229940258e-05
343.03376,C16634,M+H[1+],8.3533229940258e-05
365.01612,C16634,M+Na[1+],0.00044353322994084
361.03516,C16615,M-H2O+H[1+],0.00141646676996743
192.06551,C05635,M+H[1+],3.35332299812308e-05
192.06551,C00328,M-NH3+H[1+],6.64667700220889e-05
192.06551,C05647,M-NH3+H[1+],6.64667700220889e-05
192.06551,C16596,M+H[1+],3.35332299812308e-05
192.06551,C00352,M-HCOONa+H[1+],6.64667700505106e-05
192.06551,C14040,M+H2O+H[1+],6.64667700220889e-05
192.06551,C16591,M-H2O+H[1+],3.35332299812308e-05
160.04259,C02220,M(Cl37)+H[1+],0.0006135332299948
176.07067,C05634,M+H[1+],9.35332300002756e-05
176.07067,C00954,M+H[1+],9.35332300002756e-05
176.07067,C00331,M-CO+H[1+],0.000193533230003595
176.07067,C16595,M-H2O+H[1+],9.35332300002756e-05
176.07067,C16587,M-H2O+H[1+],9.35332300002756e-05
400.34217,C02990,M+H[1+],6.46677000304408e-06
400.34217,C01829,M+H+Na[2+],0.000543533230029425
160.07575,C11132,M(C13)+3H[3+],0.000793133436673088
160.07575,C00780,M-NH3+H[1+],2.64667700093923e-05
160.07575,C00637,M+H[1+],7.35332299939273e-05
160.07575,C00331,M-CO2+H[1+],7.35332299939273e-05
160.07575,C05660,M-HCOOH+H[1+],2.64667700093923e-05
160.07575,C16586,M-H4O2+H[1+],0.000173533229997247
307.08347,C05643,M+NaCl[1+],0.00149353322996149
307.08347,C00051,M[1+],0.000330000000019481
307.08347,C00127,M+2H[2+],0.000193533229946752
160.04273,C00337,M(C13)+H[1+],0.000746466770010557
160.04273,C02220,M(Cl37)+H[1+],0.000753533230010817
575.12951,C21384,M(C13)+H[1+],0.00186646677013869
146.06019,C00082,M-H4O2+H[1+],0.000213533229981522
146.06019,C05635,M-HCOOH+H[1+],0.000113533230006624
146.06019,C14800,M-CO2+H[1+],0.000113533230006624
146.06019,C14040,M-CO+H[1+],0.000213533230009944
146.06019,C14802,M-CO2+H[1+],0.000113533230006624
146.06019,C16596,M-HCOOH+H[1+],0.000113533230006624
156.10199,C01227,M+H+Na[2+],0.000736466770035804
156.10199,C00535,M+H+Na[2+],0.000736466770035804
156.10199,C03772,M+H+Na[2+],0.000736466770035804
156.10199,C00674,M+H+Na[2+],0.000736466770035804
156.10199,C05589,M-CO+H[1+],0.000213533230009944
156.10199,C00788,M-CO+H[1+],0.000213533230009944
156.10199,C00483,M+H2O+H[1+],1.35332299748825e-05
205.09705,C00078,M+H[1+],0.000126466770012712
335.106,C04352,M-HCOONa+H[1+],7.64667700536847e-05
137.04609,C00262,M+H[1+],0.000313533229984841
137.04609,C00155,M(C13)+H[1+],1.35332299748825e-05
137.04609,C16359,M-HCOOH+H[1+],0.000213533229981522
137.04609,C16355,M-HCOOH+H[1+],0.000213533229981522
173.08077,C03771,M[1+],0.000769999999988613
268.10393,C00212,M+H[1+],0.000146466769990639
268.10393,C00330,M+H[1+],0.000146466769990639
176.07058,C05634,M+H[1+],3.53323000013006e-06
176.07058,C00954,M+H[1+],3.53323000013006e-06
176.07058,C00331,M-CO+H[1+],0.00010353323000345
176.07058,C16595,M-H2O+H[1+],3.53323000013006e-06
176.07058,C16587,M-H2O+H[1+],3.53323000013006e-06
613.15908,C00127,M+H[1+],0.000196466770034931
160.042593,C02220,M(Cl37)+H[1+],0.000616533230015648
137.04574,C00262,M+H[1+],3.64667700125665e-05
137.04574,C00155,M(C13)+H[1+],0.000336466770022525
137.04574,C16359,M-HCOOH+H[1+],0.000136466770015886
137.04574,C16355,M-HCOOH+H[1+],0.000136466770015886
399.14451,C00019,M+H[1+],3.35332300096525e-05
156.10186,C05589,M-CO+H[1+],8.35332299971014e-05
156.10186,C00788,M-CO+H[1+],8.35332299971014e-05
156.10186,C00483,M+H2O+H[1+],0.00011646677003796
132.10188,C00407,M+H[1+],3.53322997170835e-06
132.10188,C00123,M+H[1+],3.53322997170835e-06
132.10188,C01233,M-HCOOK+H[1+],3.53322997170835e-06
298.99249,C00085,M+K[1+],1.35332300033042e-05
298.99249,C00668,M+K[1+],1.35332300033042e-05
298.99249,C00103,M+K[1+],1.35332300033042e-05
298.99249,C01172,M+K[1+],1.35332300033042e-05
298.99249,C00672,M+HCOOK[1+],0.000286466770035076
298.99249,C00673,M+HCOOK[1+],0.000286466770035076
298.99249,C00275,M+K[1+],1.35332300033042e-05
298.99249,C00636,M+K[1+],1.35332300033042e-05
298.99249,C01094,M+K[1+],1.35332300033042e-05
