"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","41","27","12","3.7693","0.0069193","0.019283","0.0017618","0","0","0.2836913","0.790603","0.0722338","P1","C00078;C00780;C05635;C00322;C00328;C00637;C05634;C00398;C00331;C05643;C05647;C05660;C02220;C00954"
"Valine, leucine and isoleucine biosynthesis","8","4","3","0.73547","0.036147","0.21261","0.0035064","1","0.01","1","1","0.140256","P2","C00123;C00141;C00109;C00407"
"Glycerophospholipid metabolism","13","8","4","1.1951","0.077764","0.24888","0.0040041","5","0.05","1","1","0.1561599","P3","C00111;C00588;C00093;C01233"
"Cysteine and methionine metabolism","33","18","6","3.0338","0.19064","0.36255","0.0061278","11","0.11","1","1","0.2328564","P4","C15606;C04582;C04188;C00019;C00155;C00109"
"Tyrosine metabolism","42","27","8","3.8612","0.23341","0.38338","0.0066368","2","0.02","1","1","0.2455616","P5","C05589;C00788;C04043;C00082;C00483;C05594;C00164;C00642;C01829"
"Pyrimidine metabolism","39","19","6","3.5854","0.23043","0.41228","0.0074216","43","0.43","1","1","0.2671776","P6","C00015;C00337;C01103;C00055;C01346;C00365;C00672"
"Drug metabolism - other enzymes","28","11","4","2.5742","0.21266","0.45142","0.0086532","11","0.11","1","1","0.302862","P7","C21748;C16634;C04242;C16615"
"Phenylalanine metabolism","8","7","3","0.73547","0.18783","0.48002","0.0096976","5","0.05","1","1","0.3297184","P8","C00079;C05852;C00082"
"Drug metabolism - cytochrome P450","43","16","5","3.9532","0.2718","0.48504","0.0098951","4","0.04","1","1","0.3297184","P9","C16586;C16595;C16587;C16596;C16591"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","2","0.36774","0.12608","0.52737","0.011754","9","0.09","1","1","0.376128","P10","C00079;C00082"
"Glycerolipid metabolism","7","3","2","0.64354","0.12608","0.52737","0.011754","4","0.04","1","1","0.376128","P11","C00093;C00111"
"One carbon pool by folate","26","13","4","2.3903","0.3237","0.57436","0.0143","29","0.29","1","1","0.429","P12","C00365;C00155;C00019;C00212"
"Valine, leucine and isoleucine degradation","35","11","3","3.2177","0.45837","0.73807","0.030051","4","0.04","1","1","0.871479","P13","C00164;C00141;C00407;C06002;C00349;C00123;C02170"
"Pentose and glucuronate interconversions","18","7","2","1.6548","0.48564","0.82746","0.048262","31","0.31","1","1","1","P14","C00103;C00199;C00191;C00618;C00231"
"Propanoate metabolism","19","7","2","1.7467","0.48564","0.82746","0.048262","7","0.07","1","1","1","P15","C06002;C00042;C00109;C21017"
"Caffeine metabolism","10","8","2","0.91934","0.56289","0.86609","0.060994","14","0.14","1","1","1","P16","C16359;C16355"
"Glutathione metabolism","19","9","2","1.7467","0.63157","0.89613","0.074728","54","0.54","1","1","1","P17","C00051;C00127"
"Inositol phosphate metabolism","21","9","2","1.9306","0.63157","0.89613","0.074728","20","0.2","1","1","1","P18","C00092;C03546;C04006;C01177;C00111;C00191;C00118"
"Pentose phosphate pathway","23","16","3","2.1145","0.73038","0.90141","0.077647","17","0.17","1","1","1","P19","C00668;C00672;C00673;C00117;C00620;C00118;C00199;C00085;C01236;C01172;C00231"
"Pantothenate and CoA biosynthesis","18","10","2","1.6548","0.69162","0.91949","0.08924","61","0.61","1","1","1","P20","C04352;C00141"
"Glycolysis or Gluconeogenesis","23","12","2","2.1145","0.78771","0.95171","0.11982","19","0.19","1","1","1","P21","C00118;C00085;C00668;C00103;C00111;C01172"
"Fructose and mannose metabolism","20","14","2","1.8387","0.85665","0.97111","0.15144","44","0.44","1","1","1","P22","C00275;C00636;C00085;C00118;C01094;C00111"
"Alanine, aspartate and glutamate metabolism","28","15","2","2.5742","0.88291","0.97768","0.16737","63","0.63","1","1","1","P23","C00232;C00042;C00352"
"Purine metabolism","70","31","4","6.4354","0.94359","0.98215","0.18113","94","0.94","1","1","1","P24","C00117;C00212;C00262;C00330;C00620"
"Metabolism of xenobiotics by cytochrome P450","68","31","4","6.2515","0.94359","0.98215","0.18113","59","0.59","1","1","1","P25","C14800;C19604;C19561;C19489;C14040;C03012;C14802"
"Steroid hormone biosynthesis","87","22","2","7.9983","0.97394","0.99639","0.27559","43","0.43","1","1","1","P26","C01227;C00535;C03772;C00674;C11132"
"Amino sugar and nucleotide sugar metabolism","39","34","3","3.5854","0.99113","0.9983","0.31687","97","0.97","1","1","1","P27","C00446;C00103;C00352;C00275;C00636;C00668;C00085;C21384"
"Citrate cycle (TCA cycle)","16","4","1","1.4709","0.63625","1","1","33","0.33","1","1","1","P28","C00042"
"Galactose metabolism","27","14","1","2.4822","0.9722","1","1","57","0.57","1","1","1","P29","C01097;C00103;C00446;C00668"
"Ascorbate and aldarate metabolism","8","4","1","0.73547","0.63625","1","1","46","0.46","1","1","1","P30","C00191"
"Fatty acid degradation","35","3","1","3.2177","0.53119","1","1","29","0.29","1","1","1","P31","C02990"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","3","1","0.64354","0.53119","1","1","41","0.41","1","1","1","P32","C00082"
"Glycine, serine and threonine metabolism","30","16","1","2.758","0.98351","1","1","66","0.66","1","1","1","P33","C00109"
