mz,p.value,t.score,mode
173.02091,6.453808433545754e-10,-72.0655894379327,positive
271.05729,5.764350737896957e-9,51.18458606828239,negative
233.06321,5.913296332404781e-9,-51.610677983860604,positive
204.98126,7.835049703281496e-9,50.023877659835115,negative
382.04245,1.4499681611279093e-8,49.77471158270717,negative
412.12723,1.749954389184325e-8,-54.56756685317139,positive
565.04795,2.3256582210308262e-8,39.637161804311255,negative
579.02661,2.864589691215172e-8,64.30437408766632,negative
342.17657,5.24477830561389e-8,-46.664931816929275,positive
405.0095,1.1392066396773616e-7,28.890997990307728,positive
195.05104,1.2697406886643656e-7,-30.174888639420956,negative
588.07447,1.356027502646642e-7,28.242420481955723,negative
230.186,1.3646546804949717e-7,-28.401382145926302,positive
405.00944,1.5259968457079178e-7,29.37442479981623,positive
242.02804,1.7980219769118006e-7,-29.389117859529186,negative
326.75912,1.8565303115346708e-7,-26.735091486607462,negative
191.01982,2.2604971084130359e-7,-25.80286543520672,negative
347.03946,2.3290770732616656e-7,-26.863384179768435,negative
159.04517,2.547318194886966e-7,-28.223488728565318,negative
428.07694,2.6048830519004716e-7,-25.179485200410024,positive
249.03659,2.623511376667059e-7,-41.13385470466549,positive
380.082,2.848723205037622e-7,-25.097684961932377,negative
283.0688,2.891282763394813e-7,-26.251690292603126,negative
355.07405,3.0292411678442214e-7,-24.898375696144655,positive
245.04329,3.127109132729179e-7,-24.83503259049453,negative
519.03863,3.2404471037593135e-7,-46.71592763847565,positive
139.03895,3.2746692631001774e-7,-24.992885985157134,positive
461.97317,3.4947976589125143e-7,25.57733627875703,negative
382.10011,3.6078593219975367e-7,-24.35459723688754,negative
209.06667,4.290774480237223e-7,-28.213602432068132,negative
370.05324,4.3507677956204825e-7,-23.821649350864444,negative
417.06044,4.3544072853021603e-7,-23.109670618611574,positive
244.04356,4.515809422144416e-7,-23.557582545751895,negative
443.13715,4.525899853969824e-7,-38.92329641590919,positive
382.1003,4.583125134865024e-7,-28.393650429343523,negative
344.11053,4.641043906046408e-7,-22.839584445988663,positive
336.09152,4.655433978919037e-7,-24.62114571098437,positive
323.02878,4.961661501686125e-7,47.25430447306447,negative
289.03315,5.352224431884035e-7,-23.640458281046985,negative
424.13602,5.46881534075839e-7,-23.609009969981546,negative
440.37336,5.737968620925615e-7,-22.12468036113899,positive
342.06495,5.821057104597895e-7,-22.358622310492112,positive
412.3432,5.881049657950001e-7,-22.98584051061871,positive
408.94042,6.14309032911179e-7,-22.605377851531912,positive
513.1255,6.44214077428741e-7,-40.83562029049084,positive
568.84354,6.637774267052793e-7,-22.33503867705009,positive
191.03991,6.806865994120756e-7,-21.481394494890644,positive
255.0427,7.64332100511022e-7,-22.859812223506403,positive
331.07501,7.682127641213573e-7,-21.027454406132303,positive
404.95013,7.76376050361141e-7,-22.658476447497016,negative
302.53383,7.793853734798573e-7,20.915894691318137,negative
241.02922,8.033233177700997e-7,-24.694055039061514,positive
233.06303,8.735939852968248e-7,-22.11683104043178,positive
587.0298,9.420671523952509e-7,28.190057440274042,negative
521.18993,9.544581780387408e-7,-20.328306388500035,positive
598.06815,9.78510859329636e-7,23.389386009152258,positive
400.34194,1.0603652579591434e-6,-21.301389704579975,positive
274.05318,1.0666463256760457e-6,-20.40137052339674,positive
233.06308,1.0808286437232091e-6,-20.037199910637334,positive
350.98497,1.0898234731022253e-6,-21.02190367451699,positive
253.01742,1.1220839828025042e-6,-28.31471893720209,negative
584.08874,1.158958354176109e-6,20.99545819694575,positive
494.12336,1.188824107463083e-6,-19.63320510976994,positive
495.04247,1.3028372363168215e-6,21.788585273471078,negative
611.02458,1.4124024884604746e-6,19.56649719838354,positive
214.04856,1.431301999815732e-6,22.488462970516075,negative
318.08055,1.4823226426276982e-6,-19.364336058121854,positive
611.1446,1.5160864137131172e-6,37.143340595941915,negative
205.05067,1.5979546295911587e-6,-39.351933783300815,negative
219.04565,1.6340116563456293e-6,-19.08763276760783,positive
258.18108,1.6499256394320137e-6,-40.119628005630844,positive
435.04219,1.7740117832554846e-6,33.459445587304096,negative
489.11473,1.8118462318838647e-6,-24.713552572495654,positive
307.08443,1.8212322375428304e-6,-18.86154502959947,negative
423.07883,1.8978452145514601e-6,27.881854056204652,positive
363.066,1.9055913467766356e-6,-30.86284631467421,negative
510.11919,1.9056590317413835e-6,-31.847711090211256,negative
255.0444,1.913959169116097e-6,27.33258175068754,negative
235.06552,1.996161108283484e-6,-27.243892847815513,positive
