p.value,m.z,t.score,pos_inx
6.45380843354575e-10,173.02091,-72.0655894379327,1
5.76435073789696e-09,271.05729,51.1845860682824,0
5.91329633240478e-09,233.06321,-51.6106779838606,1
7.8350497032815e-09,204.98126,50.0238776598351,0
1.44996816112791e-08,382.04245,49.7747115827072,0
1.74995438918433e-08,412.12723,-54.5675668531714,1
2.32565822103083e-08,565.04795,39.6371618043113,0
2.86458969121517e-08,579.02661,64.3043740876663,0
5.24477830561389e-08,342.17657,-46.6649318169293,1
1.13920663967736e-07,405.0095,28.8909979903077,1
1.26974068866437e-07,195.05104,-30.174888639421,0
1.35602750264664e-07,588.07447,28.2424204819557,0
1.36465468049497e-07,230.186,-28.4013821459263,1
1.52599684570792e-07,405.00944,29.3744247998162,1
1.7980219769118e-07,242.02804,-29.3891178595292,0
1.85653031153467e-07,326.75912,-26.7350914866075,0
2.26049710841304e-07,191.01982,-25.8028654352067,0
2.32907707326167e-07,347.03946,-26.8633841797684,0
2.54731819488697e-07,159.04517,-28.2234887285653,0
2.60488305190047e-07,428.07694,-25.17948520041,1
2.62351137666706e-07,249.03659,-41.1338547046655,1
2.84872320503762e-07,380.082,-25.0976849619324,0
2.89128276339481e-07,283.0688,-26.2516902926031,0
3.02924116784422e-07,355.07405,-24.8983756961447,1
3.12710913272918e-07,245.04329,-24.8350325904945,0
3.24044710375931e-07,519.03863,-46.7159276384757,1
3.27466926310018e-07,139.03895,-24.9928859851571,1
3.49479765891251e-07,461.97317,25.577336278757,0
3.60785932199754e-07,382.10011,-24.3545972368875,0
4.29077448023722e-07,209.06667,-28.2136024320681,0
4.35076779562048e-07,370.05324,-23.8216493508644,0
4.35440728530216e-07,417.06044,-23.1096706186116,1
4.51580942214442e-07,244.04356,-23.5575825457519,0
4.52589985396982e-07,443.13715,-38.9232964159092,1
4.58312513486502e-07,382.1003,-28.3936504293435,0
4.64104390604641e-07,344.11053,-22.8395844459887,1
4.65543397891904e-07,336.09152,-24.6211457109844,1
4.96166150168613e-07,323.02878,47.2543044730645,0
5.35222443188404e-07,289.03315,-23.640458281047,0
5.46881534075839e-07,424.13602,-23.6090099699815,0
5.73796862092562e-07,440.37336,-22.124680361139,1
5.82105710459789e-07,342.06495,-22.3586223104921,1
5.88104965795e-07,412.3432,-22.9858405106187,1
6.14309032911179e-07,408.94042,-22.6053778515319,1
6.44214077428741e-07,513.1255,-40.8356202904908,1
6.63777426705279e-07,568.84354,-22.3350386770501,1
6.80686599412076e-07,191.03991,-21.4813944948906,1
7.64332100511022e-07,255.0427,-22.8598122235064,1
7.68212764121357e-07,331.07501,-21.0274544061323,1
7.76376050361141e-07,404.95013,-22.658476447497,0
7.79385373479857e-07,302.53383,20.9158946913181,0
8.033233177701e-07,241.02922,-24.6940550390615,1
8.73593985296825e-07,233.06303,-22.1168310404318,1
9.42067152395251e-07,587.0298,28.190057440274,0
9.54458178038741e-07,521.18993,-20.3283063885,1
9.78510859329636e-07,598.06815,23.3893860091523,1
1.06036525795914e-06,400.34194,-21.30138970458,1
1.06664632567605e-06,274.05318,-20.4013705233967,1
1.08082864372321e-06,233.06308,-20.0371999106373,1
1.08982347310223e-06,350.98497,-21.021903674517,1
1.1220839828025e-06,253.01742,-28.3147189372021,0
1.15895835417611e-06,584.08874,20.9954581969458,1
1.18882410746308e-06,494.12336,-19.6332051097699,1
1.30283723631682e-06,495.04247,21.7885852734711,0
1.41240248846047e-06,611.02458,19.5664971983835,1
1.43130199981573e-06,214.04856,22.4884629705161,0
1.4823226426277e-06,318.08055,-19.3643360581219,1
1.51608641371312e-06,611.1446,37.1433405959419,0
1.59795462959116e-06,205.05067,-39.3519337833008,0
1.63401165634563e-06,219.04565,-19.0876327676078,1
1.64992563943201e-06,258.18108,-40.1196280056308,1
1.77401178325548e-06,435.04219,33.4594455873041,0
1.81184623188386e-06,489.11473,-24.7135525724957,1
1.82123223754283e-06,307.08443,-18.8615450295995,0
1.89784521455146e-06,423.07883,27.8818540562047,1
1.90559134677664e-06,363.066,-30.8628463146742,0
1.90565903174138e-06,510.11919,-31.8477110902113,0
1.9139591691161e-06,255.0444,27.3325817506875,0
1.99616110828348e-06,235.06552,-27.2438928478155,1
2.06406765072826e-06,345.11203,-19.1772196561657,1
2.29996289652307e-06,662.10178,18.5969477363973,0
2.31898702617657e-06,309.04962,-37.099440845601,1
2.35888066211588e-06,152.05689,-23.2865799784379,1
2.36295563407883e-06,479.03245,17.4180013814098,0
2.43585504465507e-06,325.0434,17.4793159485961,1
