"","mz","p.value","t.score","mode"
"1",173.02091,6.45380843354575e-10,-72.0655894379327,"positive"
"2",271.05729,5.76435073789696e-09,51.1845860682824,"negative"
"3",233.06321,5.91329633240478e-09,-51.6106779838606,"positive"
"4",204.98126,7.8350497032815e-09,50.0238776598351,"negative"
"5",382.04245,1.44996816112791e-08,49.7747115827072,"negative"
"6",412.12723,1.74995438918433e-08,-54.5675668531714,"positive"
"7",565.04795,2.32565822103083e-08,39.6371618043113,"negative"
"8",579.02661,2.86458969121517e-08,64.3043740876663,"negative"
"9",342.17657,5.24477830561389e-08,-46.6649318169293,"positive"
"10",405.0095,1.13920663967736e-07,28.8909979903077,"positive"
"11",195.05104,1.26974068866437e-07,-30.174888639421,"negative"
"12",588.07447,1.35602750264664e-07,28.2424204819557,"negative"
"13",230.186,1.36465468049497e-07,-28.4013821459263,"positive"
"14",405.00944,1.52599684570792e-07,29.3744247998162,"positive"
"15",242.02804,1.7980219769118e-07,-29.3891178595292,"negative"
"16",326.75912,1.85653031153467e-07,-26.7350914866075,"negative"
"17",191.01982,2.26049710841304e-07,-25.8028654352067,"negative"
"18",347.03946,2.32907707326167e-07,-26.8633841797684,"negative"
"19",159.04517,2.54731819488697e-07,-28.2234887285653,"negative"
"20",428.07694,2.60488305190047e-07,-25.17948520041,"positive"
"21",249.03659,2.62351137666706e-07,-41.1338547046655,"positive"
"22",380.082,2.84872320503762e-07,-25.0976849619324,"negative"
"23",283.0688,2.89128276339481e-07,-26.2516902926031,"negative"
"24",355.07405,3.02924116784422e-07,-24.8983756961447,"positive"
"25",245.04329,3.12710913272918e-07,-24.8350325904945,"negative"
"26",519.03863,3.24044710375931e-07,-46.7159276384756,"positive"
"27",139.03895,3.27466926310018e-07,-24.9928859851571,"positive"
"28",461.97317,3.49479765891251e-07,25.577336278757,"negative"
"29",382.10011,3.60785932199754e-07,-24.3545972368875,"negative"
"30",209.06667,4.29077448023722e-07,-28.2136024320681,"negative"
"31",370.05324,4.35076779562048e-07,-23.8216493508644,"negative"
"32",417.06044,4.35440728530216e-07,-23.1096706186116,"positive"
"33",244.04356,4.51580942214442e-07,-23.5575825457519,"negative"
"34",443.13715,4.52589985396982e-07,-38.9232964159092,"positive"
"35",382.1003,4.58312513486502e-07,-28.3936504293435,"negative"
"36",344.11053,4.64104390604641e-07,-22.8395844459887,"positive"
"37",336.09152,4.65543397891904e-07,-24.6211457109844,"positive"
"38",323.02878,4.96166150168613e-07,47.2543044730645,"negative"
"39",289.03315,5.35222443188403e-07,-23.640458281047,"negative"
"40",424.13602,5.46881534075839e-07,-23.6090099699815,"negative"
"41",440.37336,5.73796862092561e-07,-22.124680361139,"positive"
"42",342.06495,5.82105710459789e-07,-22.3586223104921,"positive"
"43",412.3432,5.88104965795e-07,-22.9858405106187,"positive"
"44",408.94042,6.14309032911179e-07,-22.6053778515319,"positive"
"45",513.1255,6.44214077428741e-07,-40.8356202904908,"positive"
"46",568.84354,6.63777426705279e-07,-22.3350386770501,"positive"
"47",191.03991,6.80686599412076e-07,-21.4813944948906,"positive"
"48",255.0427,7.64332100511022e-07,-22.8598122235064,"positive"
"49",331.07501,7.68212764121357e-07,-21.0274544061323,"positive"
"50",404.95013,7.76376050361141e-07,-22.658476447497,"negative"
"51",302.53383,7.79385373479857e-07,20.9158946913181,"negative"
"52",241.02922,8.033233177701e-07,-24.6940550390615,"positive"
"53",233.06303,8.73593985296825e-07,-22.1168310404318,"positive"
"54",587.0298,9.42067152395251e-07,28.190057440274,"negative"
"55",521.18993,9.54458178038741e-07,-20.3283063885,"positive"
"56",598.06815,9.78510859329636e-07,23.3893860091523,"positive"
"57",400.34194,1.06036525795914e-06,-21.30138970458,"positive"
"58",274.05318,1.06664632567605e-06,-20.4013705233967,"positive"
"59",233.06308,1.08082864372321e-06,-20.0371999106373,"positive"
"60",350.98497,1.08982347310223e-06,-21.021903674517,"positive"
"61",253.01742,1.1220839828025e-06,-28.3147189372021,"negative"
"62",584.08874,1.15895835417611e-06,20.9954581969458,"positive"
"63",494.12336,1.18882410746308e-06,-19.6332051097699,"positive"
"64",495.04247,1.30283723631682e-06,21.7885852734711,"negative"
"65",611.02458,1.41240248846047e-06,19.5664971983835,"positive"
"66",214.04856,1.43130199981573e-06,22.4884629705161,"negative"
"67",318.08055,1.4823226426277e-06,-19.3643360581219,"positive"
"68",611.1446,1.51608641371312e-06,37.1433405959419,"negative"
"69",205.05067,1.59795462959116e-06,-39.3519337833008,"negative"
"70",219.04565,1.63401165634563e-06,-19.0876327676078,"positive"
"71",258.18108,1.64992563943201e-06,-40.1196280056308,"positive"
"72",435.04219,1.77401178325548e-06,33.4594455873041,"negative"
"73",489.11473,1.81184623188386e-06,-24.7135525724957,"positive"
"74",307.08443,1.82123223754283e-06,-18.8615450295995,"negative"
"75",423.07883,1.89784521455146e-06,27.8818540562047,"positive"
"76",363.066,1.90559134677664e-06,-30.8628463146742,"negative"
"77",510.11919,1.90565903174138e-06,-31.8477110902113,"negative"
"78",255.0444,1.9139591691161e-06,27.3325817506875,"negative"
"79",235.06552,1.99616110828348e-06,-27.2438928478155,"positive"
"80",345.11203,2.06406765072826e-06,-19.1772196561657,"positive"
"81",662.10178,2.29996289652307e-06,18.5969477363973,"negative"
"82",309.04962,2.31898702617657e-06,-37.099440845601,"positive"
"83",152.05689,2.35888066211588e-06,-23.2865799784379,"positive"
"84",479.03245,2.36295563407883e-06,17.4180013814098,"negative"
"85",325.0434,2.43585504465507e-06,17.4793159485961,"positive"
"86",454.38894,2.46733058882945e-06,-22.9282346828567,"positive"
"87",565.0474,2.57277328041095e-06,66.1425173050888,"negative"
"88",284.0993,2.59333378832322e-06,-18.9412227652416,"positive"
"89",336.09105,2.69878158770443e-06,-18.6040437508014,"positive"
"90",244.66341,2.9098370644374e-06,18.7330088745806,"positive"
"91",373.10484,2.92566733599929e-06,-19.4431103002792,"positive"
"92",329.05999,3.14232061579342e-06,-20.1497616325907,"negative"
"93",246.16982,3.34109604005892e-06,-16.4246451787801,"positive"
