mz,p.value,t.score,mode
265.04692,3.4838872577935394e-10,-76.03429446986723,positive
233.06336,3.9130845708874293e-10,-74.77870284010473,positive
258.18108,4.1926638079724494e-10,-75.95233953996913,positive
288.21663,5.256051806795622e-10,71.03888086165733,positive
472.80149,5.496855310066978e-10,-72.74235094468538,positive
249.03709,5.601382441939404e-10,-70.37814349708492,positive
308.03613,1.0813596871246072e-9,69.1846873652686,negative
233.063,1.1204627312773117e-9,-62.972769382945934,positive
286.05435,1.1873014581036385e-9,62.07052354344384,negative
269.02208,1.6488094878181306e-9,58.67063623045661,negative
284.98482,1.7979362197757286e-9,71.22351090199274,negative
349.23064,2.1533604901601608e-9,-57.13960641099178,positive
212.95484,2.168985888310366e-9,69.66067805888035,negative
181.06469,2.2394468072783845e-9,-60.77202904364033,positive
440.10578,2.646595424007336e-9,-63.39754850635313,positive
204.98126,3.3754872908249373e-9,56.39759145782489,negative
233.06303,4.620476446298439e-9,-59.710089832452425,positive
82.96105,7.112746767488434e-9,52.936123295347485,negative
239.07027,8.920891333802055e-9,-61.938049636321786,positive
482.10204,9.560848214234461e-9,-43.77955156705725,negative
173.0079,9.717695659497892e-9,77.93174734395858,negative
96.96943,1.0843420972134416e-8,-47.58396374198146,negative
511.09673,1.164284133699566e-8,-58.33013295317515,positive
582.11825,1.2733284205744301e-8,51.942602633188656,negative
349.23055,1.3295237329562729e-8,-71.15785945345765,positive
328.91882,1.5954182075219325e-8,-42.60672433801039,negative
245.04329,2.0339177140582456e-8,-40.62414177128589,negative
409.01928,2.1618297968382412e-8,-51.81725967237299,positive
803.17147,2.3312136685290687e-8,-38.51225525075734,negative
280.26333,2.3429753898964593e-8,47.3610232253336,positive
760.25703,2.3660372019103644e-08,50.492922669174696,negative
385.09271,2.458842456866681e-8,-42.064566279822046,negative
513.1255,2.4644140456534685e-8,-50.40080279980622,positive
234.04294,2.6377122765661484e-8,-53.45310045498785,positive
527.07242,2.7256753289303327e-8,-39.43806263148873,negative
326.75912,2.806411420774289e-8,-42.774567748858246,negative
245.04336,2.882119349202158e-8,-36.62920748246704,negative
209.06078,3.00561477227201e-8,-36.714433800816266,negative
382.1003,3.148522237097452e-8,-39.506654296934954,negative
209.06098,3.2850983478149555e-8,-35.594641799289995,negative
445.05275,3.435392275793826e-8,-35.36865483222683,negative
530.1236,3.483308130143231e-8,-37.51619625552997,negative
825.15339,3.547129235647385e-8,-38.745738988597445,negative
854.12987,3.703677065568174e-8,-36.49084030477874,negative
173.00931,3.834446829984784e-8,-35.901937342049344,negative
173.04177,4.1139617074114824e-8,-54.142703345163596,positive
241.05067,4.207852924263806e-8,-35.43076928165893,negative
427.01052,4.2208168963732095e-8,-36.85912568818385,negative
243.18325,4.598420812482542e-8,48.56375662394055,positive
241.05079,4.650942198468021e-8,-42.172554015701124,negative
366.91103,5.2704391614842815e-8,-35.4883016977292,negative
87.00897,5.3136012374870925e-8,-46.30128805234803,negative
263.03268,5.7622012627161136e-8,-33.12405559450023,negative
331.0197,6.061360363391022e-8,-42.11464273514724,negative
554.08256,6.38503418757016e-8,-36.19585069543671,negative
455.08986,6.49444529594102e-8,-33.1242862425993,negative
579.02696,6.626822466408292e-8,31.747694369808166,negative
160.07575,6.67905012134482e-8,-36.34267751399692,positive
522.10002,6.908336049767948e-8,-52.195589639290326,positive
347.07345,7.705211477860297e-8,-40.952388057425985,negative
295.16511,8.644115650560084e-8,45.90742674799328,positive
377.01271,1.0163411434704896e-7,-35.81785996911593,negative
611.02458,1.0226313213654555e-7,44.06327480240966,positive
494.81087,1.0754815356390352e-7,-33.70327141689744,negative
111.00878,1.1384675338650122e-7,-43.11573454367933,negative
438.97919,1.1471436468380144e-7,-100.76041976463047,positive
153.07091,1.3445271670030624e-7,-33.08750758881174,negative
181.06513,1.408699127785203e-7,-46.44195940403232,positive
431.09219,1.4484984744157652e-7,-30.713706748306528,negative
153.06984,1.4937471923686298e-7,-96.24480568664136,positive
436.85189,1.6142857544654974e-7,-31.518167062304876,negative
354.0981,1.6432723097118233e-7,-32.509917639256855,negative
655.11669,1.6447261022268142e-7,-33.85982499571355,negative
565.04795,1.6920865056579378e-7,28.442451210465407,negative
338.10928,1.7281884197153547e-7,-34.281645947319596,negative
577.10666,1.80968420306612e-7,-30.38675938406307,negative
542.78391,1.8308873859848077e-7,-31.748316320402736,negative
309.04962,1.9572401883429516e-7,-51.563493703429046,positive
405.02852,2.075026400910363e-7,-47.250384382976534,negative
565.0474,2.1397486475644996e-07,26.963207340453174,negative
404.95013,2.2464022919389925e-7,-30.69186275850415,negative
611.14485,2.3313224562706218e-7,25.62906988828065,negative
337.06268,2.3705183760360636e-7,34.784378147444706,negative
197.06065,2.3721130651995167e-7,-43.664208922288566,negative
308.06443,2.464819784816275e-7,-46.95944321852801,positive
119.03512,2.4901748548229476e-7,-34.59381253180297,negative
263.03249,2.569084262428422e-7,-45.0247475475198,negative
402.99506,2.8162258001611305e-7,25.73313587533627,negative
484.82537,3.3677596375499365e-7,-32.00787530376793,negative
449.10148,3.5908812146415127e-7,-50.31373041944316,positive
344.92908,3.612487134657258e-7,-29.46259680702925,negative
241.05047,3.632498183907954e-7,-29.68576098564268,negative
111.00871,3.8383341917795747e-7,-32.71874859349335,negative
342.17657,4.079255998159131e-7,-39.57650208917338,positive
173.00786,4.1080004842640836e-7,23.56078113622251,negative
405.0095,4.2785801705559186e-7,28.5578554106668,positive
445.18309,4.440212259405031e-7,-48.902641238085685,positive
191.01978,5.162167743022166e-7,-28.65829159137381,negative
374.93988,6.114998226801531e-7,39.416278570800394,negative
351.08309,6.16376664661743e-7,37.88758241275316,positive
498.80435,6.250239036110181e-7,-46.72801282507216,positive
479.03245,7.52120646860784e-7,41.30922550193435,negative
243.00788,7.55694753357478e-7,-29.709147413281936,negative
664.11627,7.881669981558558e-7,21.267439014056883,positive
283.0688,8.356013827361035e-7,-28.07687387099306,negative
97.02839,8.596684063128196e-7,21.670873373065454,positive
173.00791,8.597946789512811e-7,22.357083159720343,negative
191.03991,8.71767038566173e-7,-45.49160946182109,positive
584.08874,8.952311085115683e-7,22.656496815913336,positive
552.76922,9.470267278557902e-7,-29.50838297399026,negative
332.0753,1.0525006765188994e-6,20.367571658586513,positive
532.1384,1.0966522692577348e-06,-40.300670826178504,positive
233.06311,1.1510093533214668e-6,-74.84510796823706,positive
432.80989,1.234682632432531e-6,36.818216581824046,positive
487.09974,1.270361637778466e-6,-29.949819482992993,negative
323.02878,1.2713547526212961e-6,30.13149035816788,negative
708.16363,1.2977698459031422e-6,-41.04980742600636,positive
459.03102,1.3060910504638575e-6,-20.598346253739383,negative
315.08093,1.313796671196992e-6,20.584005716371173,negative
289.03317,1.4035661032851485e-6,-19.84155113129311,negative
322.04464,1.6436547884454383e-6,19.247714267971833,negative
302.53383,1.7159211331875833e-6,19.315076731249786,negative
254.24783,1.7184576544504342e-6,-43.95859768142217,positive
400.34193,1.7650751900087406e-6,-40.70350637833038,positive
346.05606,1.855722076336729e-6,18.21535551781714,negative
375.23472,1.8712297935566664e-6,35.05760877482889,positive
193.06474,1.906197804545101e-6,-42.406595965389464,positive
511.09671,2.024572105385747e-6,-39.57980173516809,positive
204.04883,2.1570300535088838e-6,-21.59649678586336,positive
255.06593,2.1712849885388926e-6,-29.728821110014387,negative
482.82828,2.5753852822170375e-6,-23.946326961229882,negative
191.01982,2.5963430682728263e-6,-30.068587751350258,negative
345.01067,2.688850811161498e-6,17.312705643598274,negative
435.04219,2.8681778548422644e-6,37.21919720369107,negative
275.0886,3.0323370224021776e-6,17.001720641411644,negative
180.06551,3.129969326497593e-6,19.61737308309267,positive
579.12122,3.1834909835499744e-6,-37.808324468593504,positive
240.99498,3.201450919268394e-6,35.42491442535074,negative
214.04856,3.213921358894001e-6,21.456962794018196,negative
424.12134,3.322365679916326e-6,-33.814597903220296,positive
191.0198,3.377771918712551e-6,-27.500666049023526,negative
339.08741,3.549702388891521e-6,-28.517802741432273,negative
211.08253,3.6174306622522497e-6,-31.659468235703976,negative
390.99005,3.646772395053609e-6,33.08524943261061,positive
230.18624,3.897847646411496e-6,-18.82744966221909,positive
405.02856,3.988358484463803e-6,-47.94951945250613,negative
260.18533,4.238315237232238e-6,31.480119545827566,positive
350.98497,4.506955042352362e-6,-39.813039970934156,positive
209.05977,4.964466561698054e-6,-32.35397765283341,positive
579.02661,5.242829665361952e-6,32.40117903753671,negative
471.13044,5.519675012323436e-6,-25.35450116834987,negative
447.11891,5.562109773097106e-6,-26.330557029157596,negative
391.28404,5.63180687224449e-6,-17.59644522638444,positive
173.04196,5.704183714954008e-6,-36.620394663418935,positive
289.03291,5.763180719104441e-6,-25.415374812966395,negative
188.07059,6.124289061888206e-6,-14.752462168870753,positive
505.09049,6.331322406510529e-6,-23.292827704976762,negative
521.92955,6.476900869565766e-6,30.365615433513618,negative
526.85346,6.548733961281779e-6,-34.168592803796265,positive
302.04922,6.781061314350535e-6,33.38373441954223,negative
648.16604,6.945357824770793e-6,-33.196463082214784,positive
114.06623,7.065648568630012e-6,36.28101904676649,positive
346.99158,7.162178360703681e-6,-24.675650092355763,negative
302.06358,7.5874251870716255e-6,-32.94282445230293,positive
209.05961,8.013396053223741e-6,-34.022795935846034,positive
265.04699,8.234217224146566e-6,-35.78638563999746,positive
392.97023,8.410954269702064e-6,-38.2113845496806,positive
175.1189,8.4859803499344e-6,-15.991444255589947,positive
438.09621,8.537113084032506e-6,-48.1319926915301,negative
323.02861,8.61441580592537e-6,27.914968849766364,negative
740.1872,8.779162345481414e-6,23.552777806291957,negative
286.97041,8.840596721379772e-6,-22.47944522900155,negative
403.03993,9.005891537456164e-6,-30.78599294098563,positive
253.00829,9.054183412945703e-6,-33.75278668950699,positive
366.09667,9.338836168729208e-6,-34.94097821814149,positive
327.02663,9.510185365015501e-6,30.551148698619787,negative
191.01029,9.51837410450356e-6,-13.957741375884181,positive
540.05383,1.003340956508814e-5,31.00296144198546,negative
405.00944,1.0178782045848666e-5,22.030252712023476,positive
245.06109,1.0261911711658952e-5,-32.91980663510394,positive
371.60483,1.0442693482545297e-5,13.663792350400294,positive
181.06472,1.118807259332357e-5,-30.357381058454926,positive
247.01537,1.134001464134032e-5,-32.518117004036874,positive
181.06523,1.1400882768370514e-5,-34.79655353997847,positive
628.05626,1.1512602565836265e-5,15.129007091726068,negative
181.06479,1.1824540417635318e-5,-34.07857899845757,positive
230.96409,1.1922647943602693e-5,-32.703475039753485,positive
706.1493,1.1946653846173829e-5,-21.641344993622415,negative
257.94889,1.1984959697904595e-5,29.265494738659196,positive
414.88664,1.2475275340526063e-5,-32.14519314181977,positive
235.06552,1.3472012177892645e-5,-32.939381532488085,positive
408.94042,1.3552530173817449e-5,-31.563751896243947,positive
173.00782,1.367528964494284e-5,13.33125453512473,negative
489.11439,1.3832087151570922e-5,-31.655496684178672,positive
263.07357,1.4366491630069867e-5,-32.12455320357523,positive
524.97177,1.5251735864859815e-5,30.477940186601234,negative
200.05643,1.5828591485818964e-5,12.538338843017504,negative
556.76388,1.586706211709282e-5,-31.087520391860604,positive
191.01985,1.6995717528766935e-5,-25.863106915515388,negative
346.05572,1.7316359847860123e-5,17.62635529105593,negative
247.24194,1.7523316010050506e-5,-32.94341659063226,positive
381.3369,1.797291717474345e-5,-13.882134008654418,negative
362.05068,1.8283517388860715e-5,-12.457206471103381,negative
143.07278,1.833390462292946e-5,-12.344551383581834,positive
191.01983,1.8610440016031725e-5,-15.972747232563902,negative
412.04633,1.8624297774818285e-5,-30.330412704760658,positive
112.05056,1.868512743692882e-5,-30.37640214812553,positive
461.97317,1.9605882637717346e-5,12.751391988557812,negative
173.08077,1.9674482618209667e-5,30.611036215419613,positive
112.98568,2.0414427583855104e-5,12.009776350385795,negative
462.90893,2.0694598192375444e-5,-21.905984405376536,negative
206.96756,2.0729032184136545e-5,-21.543693217721458,negative
253.00827,2.1312493656061665e-5,-16.80565924981721,positive
180.06542,2.1679259136210185e-5,11.868443759206096,positive
209.06109,2.1812712565955053e-5,-22.681064058228635,negative
275.08846,2.243306259661363e-5,13.858052116715966,negative
554.76596,2.274957095546215e-5,-22.469676810804618,negative
226.08624,2.291653950020165e-5,-30.043253679472905,positive
662.10178,2.292843821616019e-5,24.898169259402945,negative
547.10183,2.2936463427780832e-5,14.681310294983687,negative
414.3576,2.2962448539257282e-5,-30.084934824282975,positive
244.66341,2.297147132077389e-5,27.10304609187696,positive
374.06494,2.3015874482921137e-5,-11.747168290944229,positive
264.92618,2.3474908280575872e-5,-20.738217134951903,negative
253.00838,2.3514473306935835e-5,-27.905237522995787,positive
233.0784,2.507177739259678e-5,-31.335538366919764,negative
435.12254,2.5284436211895507e-5,-27.099383513831395,positive
362.92781,2.562131095393259e-5,31.02677043359126,negative
489.11473,2.6216523747805614e-5,-28.668852400170607,positive
