p.value,m.z,t.score,pos_inx
3.48388725779354e-10,265.04692,-76.0342944698672,1
3.91308457088743e-10,233.06336,-74.7787028401047,1
4.19266380797245e-10,258.18108,-75.9523395399691,1
5.25605180679562e-10,288.21663,71.0388808616573,1
5.49685531006698e-10,472.80149,-72.7423509446854,1
5.6013824419394e-10,249.03709,-70.3781434970849,1
1.08135968712461e-09,308.03613,69.1846873652686,0
1.12046273127731e-09,233.063,-62.9727693829459,1
1.18730145810364e-09,286.05435,62.0705235434438,0
1.64880948781813e-09,269.02208,58.6706362304566,0
1.79793621977573e-09,284.98482,71.2235109019927,0
2.15336049016016e-09,349.23064,-57.1396064109918,1
2.16898588831037e-09,212.95484,69.6606780588804,0
2.23944680727838e-09,181.06469,-60.7720290436403,1
2.64659542400734e-09,440.10578,-63.3975485063531,1
3.37548729082494e-09,204.98126,56.3975914578249,0
4.62047644629844e-09,233.06303,-59.7100898324524,1
7.11274676748843e-09,82.96105,52.9361232953475,0
8.92089133380206e-09,239.07027,-61.9380496363218,1
9.56084821423446e-09,482.10204,-43.7795515670573,0
9.71769565949789e-09,173.0079,77.9317473439586,0
1.08434209721344e-08,96.96943,-47.5839637419815,0
1.16428413369957e-08,511.09673,-58.3301329531752,1
1.27332842057443e-08,582.11825,51.9426026331887,0
1.32952373295627e-08,349.23055,-71.1578594534577,1
1.59541820752193e-08,328.91882,-42.6067243380104,0
2.03391771405825e-08,245.04329,-40.6241417712859,0
2.16182979683824e-08,409.01928,-51.817259672373,1
2.33121366852907e-08,803.17147,-38.5122552507573,0
2.34297538989646e-08,280.26333,47.3610232253336,1
2.36603720191036e-08,760.25703,50.4929226691747,0
2.45884245686668e-08,385.09271,-42.0645662798221,0
2.46441404565347e-08,513.1255,-50.4008027998062,1
2.63771227656615e-08,234.04294,-53.4531004549879,1
2.72567532893033e-08,527.07242,-39.4380626314887,0
2.80641142077429e-08,326.75912,-42.7745677488583,0
2.88211934920216e-08,245.04336,-36.629207482467,0
3.00561477227201e-08,209.06078,-36.7144338008163,0
3.14852223709745e-08,382.1003,-39.506654296935,0
3.28509834781496e-08,209.06098,-35.59464179929,0
3.43539227579383e-08,445.05275,-35.3686548322268,0
3.48330813014323e-08,530.1236,-37.51619625553,0
3.54712923564739e-08,825.15339,-38.7457389885974,0
3.70367706556817e-08,854.12987,-36.4908403047787,0
3.83444682998478e-08,173.00931,-35.9019373420493,0
4.11396170741148e-08,173.04177,-54.1427033451636,1
4.20785292426381e-08,241.05067,-35.4307692816589,0
4.22081689637321e-08,427.01052,-36.8591256881839,0
4.59842081248254e-08,243.18325,48.5637566239406,1
4.65094219846802e-08,241.05079,-42.1725540157011,0
5.27043916148428e-08,366.91103,-35.4883016977292,0
5.31360123748709e-08,87.00897,-46.301288052348,0
5.76220126271611e-08,263.03268,-33.1240555945002,0
6.06136036339102e-08,331.0197,-42.1146427351472,0
6.38503418757016e-08,554.08256,-36.1958506954367,0
6.49444529594102e-08,455.08986,-33.1242862425993,0
6.62682246640829e-08,579.02696,31.7476943698082,0
6.67905012134482e-08,160.07575,-36.3426775139969,1
6.90833604976795e-08,522.10002,-52.1955896392903,1
7.7052114778603e-08,347.07345,-40.952388057426,0
8.64411565056009e-08,295.16511,45.9074267479933,1
1.01634114347049e-07,377.01271,-35.8178599691159,0
1.02263132136546e-07,611.02458,44.0632748024097,1
1.07548153563904e-07,494.81087,-33.7032714168974,0
1.13846753386501e-07,111.00878,-43.1157345436793,0
1.14714364683801e-07,438.97919,-100.76041976463,1
1.34452716700306e-07,153.07091,-33.0875075888117,0
1.4086991277852e-07,181.06513,-46.4419594040323,1
1.44849847441577e-07,431.09219,-30.7137067483065,0
1.49374719236863e-07,153.06984,-96.2448056866414,1
1.6142857544655e-07,436.85189,-31.5181670623049,0
1.64327230971182e-07,354.0981,-32.5099176392569,0
1.64472610222681e-07,655.11669,-33.8598249957136,0
1.69208650565794e-07,565.04795,28.4424512104654,0
1.72818841971535e-07,338.10928,-34.2816459473196,0
1.80968420306612e-07,577.10666,-30.3867593840631,0
1.83088738598481e-07,542.78391,-31.7483163204027,0
1.95724018834295e-07,309.04962,-51.5634937034291,1
2.07502640091036e-07,405.02852,-47.2503843829765,0
2.1397486475645e-07,565.0474,26.9632073404532,0
2.24640229193899e-07,404.95013,-30.6918627585042,0
2.33132245627062e-07,611.14485,25.6290698882807,0
2.37051837603606e-07,337.06268,34.7843781474447,0
2.37211306519952e-07,197.06065,-43.6642089222886,0
2.46481978481628e-07,308.06443,-46.959443218528,1
2.49017485482295e-07,119.03512,-34.593812531803,0
2.56908426242842e-07,263.03249,-45.0247475475198,0
2.81622580016113e-07,402.99506,25.7331358753363,0
3.36775963754994e-07,484.82537,-32.0078753037679,0
3.59088121464151e-07,449.10148,-50.3137304194432,1
3.61248713465726e-07,344.92908,-29.4625968070293,0
3.63249818390795e-07,241.05047,-29.6857609856427,0
3.83833419177957e-07,111.00871,-32.7187485934934,0
4.07925599815913e-07,342.17657,-39.5765020891734,1
4.10800048426408e-07,173.00786,23.5607811362225,0
4.27858017055592e-07,405.0095,28.5578554106668,1
4.44021225940503e-07,445.18309,-48.9026412380857,1
5.16216774302217e-07,191.01978,-28.6582915913738,0
6.11499822680153e-07,374.93988,39.4162785708004,0
6.16376664661743e-07,351.08309,37.8875824127532,1
6.25023903611018e-07,498.80435,-46.7280128250722,1
7.52120646860784e-07,479.03245,41.3092255019344,0
7.55694753357478e-07,243.00788,-29.7091474132819,0
7.88166998155856e-07,664.11627,21.2674390140569,1
