Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
265.04692,C05381,M(C13)+2H[2+],0.000406466770016323
233.06336,C01019,M+HCOONa[1+],0.000183533229971999
233.06336,C02076,M+Na[1+],8.35332299686797e-05
249.03709,C00117,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00199,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00231,M+H2O+H[1+],1.35332299748825e-05
249.03709,C00345,M-CO+H[1+],0.000213533229981522
249.03709,C00620,M+H2O+H[1+],1.35332299748825e-05
249.03709,C01019,M+HCOOK[1+],1.35332300033042e-05
249.03709,C01179,M+HCOONa[1+],0.000113533230006624
249.03709,C05350,M+HCOONa[1+],0.000113533230006624
249.03709,C02076,M+K[1+],0.000313533229984841
233.063,C01019,M+HCOONa[1+],0.000176466770028583
233.063,C02076,M+Na[1+],0.000276466770031902
440.10578,C15974,M-C3H4O2+H[1+],0.00150353322993624
440.10578,C15978,M-C3H4O2+H[1+],0.00150353322993624
440.10578,C21017,M-CO2+H[1+],0.00150353322999308
233.06303,C01019,M+HCOONa[1+],0.00014646677001906
233.06303,C02076,M+Na[1+],0.00024646677002238
511.09673,C00307,M+Na[1+],0.000153533229990899
234.04294,C00669,M-NH3+H[1+],0.000136466770015886
173.04177,C00121,M+Na[1+],0.000306466769984581
173.04177,C00181,M+Na[1+],0.000306466769984581
173.04177,C00259,M+Na[1+],0.000306466769984581
173.04177,C00309,M+Na[1+],0.000306466769984581
173.04177,C00310,M+Na[1+],0.000306466769984581
173.04177,C00312,M+Na[1+],0.000306466769984581
173.04177,C06001,M+HCOONa[1+],0.000206466769981262
173.04177,C05984,M+HCOONa[1+],0.000206466769981262
173.04177,C01089,M+HCOONa[1+],0.000206466769981262
160.07575,C11132,M(C13)+3H[3+],0.000793133436673088
160.07575,C00637,M+H[1+],7.35332299939273e-05
160.07575,C00780,M-NH3+H[1+],2.64667700093923e-05
160.07575,C00331,M-CO2+H[1+],7.35332299939273e-05
