"","mz","p.value","t.score","mode"
"1",265.04692,3.48388725779354e-10,-76.0342944698672,"positive"
"2",233.06336,3.91308457088743e-10,-74.7787028401047,"positive"
"3",258.18108,4.19266380797245e-10,-75.9523395399691,"positive"
"4",288.21663,5.25605180679562e-10,71.0388808616573,"positive"
"5",472.80149,5.49685531006698e-10,-72.7423509446854,"positive"
"6",249.03709,5.6013824419394e-10,-70.3781434970849,"positive"
"7",308.03613,1.08135968712461e-09,69.1846873652686,"negative"
"8",233.063,1.12046273127731e-09,-62.9727693829459,"positive"
"9",286.05435,1.18730145810364e-09,62.0705235434438,"negative"
"10",269.02208,1.64880948781813e-09,58.6706362304566,"negative"
"11",284.98482,1.79793621977573e-09,71.2235109019927,"negative"
"12",349.23064,2.15336049016016e-09,-57.1396064109918,"positive"
"13",212.95484,2.16898588831037e-09,69.6606780588804,"negative"
"14",181.06469,2.23944680727838e-09,-60.7720290436403,"positive"
"15",440.10578,2.64659542400734e-09,-63.3975485063531,"positive"
"16",204.98126,3.37548729082494e-09,56.3975914578249,"negative"
"17",233.06303,4.62047644629844e-09,-59.7100898324524,"positive"
"18",82.96105,7.11274676748843e-09,52.9361232953475,"negative"
"19",239.07027,8.92089133380206e-09,-61.9380496363218,"positive"
"20",482.10204,9.56084821423446e-09,-43.7795515670572,"negative"
"21",173.0079,9.71769565949789e-09,77.9317473439586,"negative"
"22",96.96943,1.08434209721344e-08,-47.5839637419815,"negative"
"23",511.09673,1.16428413369957e-08,-58.3301329531752,"positive"
"24",582.11825,1.27332842057443e-08,51.9426026331887,"negative"
"25",349.23055,1.32952373295627e-08,-71.1578594534576,"positive"
"26",328.91882,1.59541820752193e-08,-42.6067243380104,"negative"
"27",245.04329,2.03391771405825e-08,-40.6241417712859,"negative"
"28",409.01928,2.16182979683824e-08,-51.817259672373,"positive"
"29",803.17147,2.33121366852907e-08,-38.5122552507573,"negative"
"30",280.26333,2.34297538989646e-08,47.3610232253336,"positive"
"31",760.25703,2.36603720191036e-08,50.4929226691747,"negative"
"32",385.09271,2.45884245686668e-08,-42.064566279822,"negative"
"33",513.1255,2.46441404565347e-08,-50.4008027998062,"positive"
"34",234.04294,2.63771227656615e-08,-53.4531004549878,"positive"
"35",527.07242,2.72567532893033e-08,-39.4380626314887,"negative"
"36",326.75912,2.80641142077429e-08,-42.7745677488582,"negative"
"37",245.04336,2.88211934920216e-08,-36.629207482467,"negative"
"38",209.06078,3.00561477227201e-08,-36.7144338008163,"negative"
"39",382.1003,3.14852223709745e-08,-39.506654296935,"negative"
"40",209.06098,3.28509834781496e-08,-35.59464179929,"negative"
"41",445.05275,3.43539227579383e-08,-35.3686548322268,"negative"
"42",530.1236,3.48330813014323e-08,-37.51619625553,"negative"
"43",825.15339,3.54712923564738e-08,-38.7457389885974,"negative"
"44",854.12987,3.70367706556817e-08,-36.4908403047787,"negative"
"45",173.00931,3.83444682998478e-08,-35.9019373420493,"negative"
"46",173.04177,4.11396170741148e-08,-54.1427033451636,"positive"
"47",241.05067,4.20785292426381e-08,-35.4307692816589,"negative"
"48",427.01052,4.22081689637321e-08,-36.8591256881839,"negative"
"49",243.18325,4.59842081248254e-08,48.5637566239405,"positive"
"50",241.05079,4.65094219846802e-08,-42.1725540157011,"negative"
"51",366.91103,5.27043916148428e-08,-35.4883016977292,"negative"
"52",87.00897,5.31360123748709e-08,-46.301288052348,"negative"
"53",263.03268,5.76220126271611e-08,-33.1240555945002,"negative"
"54",331.0197,6.06136036339102e-08,-42.1146427351472,"negative"
"55",554.08256,6.38503418757016e-08,-36.1958506954367,"negative"
"56",455.08986,6.49444529594102e-08,-33.1242862425993,"negative"
"57",579.02696,6.62682246640829e-08,31.7476943698082,"negative"
"58",160.07575,6.67905012134482e-08,-36.3426775139969,"positive"
"59",522.10002,6.90833604976795e-08,-52.1955896392903,"positive"
"60",347.07345,7.7052114778603e-08,-40.952388057426,"negative"
"61",295.16511,8.64411565056008e-08,45.9074267479933,"positive"
"62",377.01271,1.01634114347049e-07,-35.8178599691159,"negative"
"63",611.02458,1.02263132136546e-07,44.0632748024097,"positive"
"64",494.81087,1.07548153563904e-07,-33.7032714168974,"negative"
"65",111.00878,1.13846753386501e-07,-43.1157345436793,"negative"
"66",438.97919,1.14714364683801e-07,-100.76041976463,"positive"
"67",153.07091,1.34452716700306e-07,-33.0875075888117,"negative"
"68",181.06513,1.4086991277852e-07,-46.4419594040323,"positive"
"69",431.09219,1.44849847441577e-07,-30.7137067483065,"negative"
"70",153.06984,1.49374719236863e-07,-96.2448056866414,"positive"
"71",436.85189,1.6142857544655e-07,-31.5181670623049,"negative"
"72",354.0981,1.64327230971182e-07,-32.5099176392569,"negative"
"73",655.11669,1.64472610222681e-07,-33.8598249957136,"negative"
