mz,p.value,t.score,mode
453.28387,1.56529280049093e-8,-41.39215048033938,positive
303.19552,1.6535721752517895e-8,-40.95764389569583,positive
459.2716,1.9730538645365293e-8,-39.924412799479434,positive
594.3764,2.084372151707163e-8,43.58765988090863,positive
453.28458,2.5577609955333703e-8,-37.60820124475082,positive
419.27923,2.59740420934862e-8,-42.186607257935236,positive
452.30891,3.007969259157056e-8,-38.40649109039423,positive
199.14804,3.099297929049836e-8,-36.16668596507197,positive
859.53233,3.676967718022574e-8,-35.99993200218307,positive
285.1849,4.159455611671412e-8,-38.43676599089408,positive
229.14336,4.266415739162597e-8,34.51058231122056,positive
300.19884,4.321974630539789e-8,-34.32248609594996,positive
473.28738,4.682148184870306e-8,-34.278690992863304,positive
225.16362,4.741078987880252e-8,-33.6965102238459,positive
335.22169,5.590702290290321e-8,-44.86321362680362,positive
457.25492,5.724860965502997e-8,-36.90839512374341,positive
317.21103,5.973599563740802e-8,-43.51419096573677,positive
420.287,6.24781045459123e-8,-40.70594632311955,positive
243.17424,6.800636796948705e-8,-32.58918951105055,positive
159.11675,7.109991655989458e-8,-33.76470851546977,positive
612.30269,7.408608110864285e-8,-33.58062581248499,positive
489.26058,1.0009037558197491e-7,-46.13911725739893,positive
199.14809,1.449624866342855e-7,-31.196796499233745,positive
436.30571,1.4560181819474895e-7,-47.26617144909327,positive
199.14808,2.008191469292523e-7,-32.793485819863875,positive
321.20594,2.6331792671078113e-7,-28.979663190020784,positive
590.3202,2.661431710613827e-7,29.73216881942364,positive
441.26115,3.267653577814638e-7,-45.39197780973798,positive
267.17436,3.565819946089071e-7,-29.800938938449043,positive
436.30579,3.6969368341430657e-7,-32.43452437803054,positive
285.18482,4.443488582067104e-7,-30.230948402129805,positive
470.31109,4.855557937866084e-7,-30.132022966596878,positive
173.13259,4.976959229069366e-7,-29.340584987440714,positive
267.17463,4.992814914143402e-7,-27.762392008858033,positive
243.17414,5.106208452484572e-7,-24.617322867565694,positive
303.1955,5.443510278018023e-7,-27.758696737841998,positive
285.18487,5.72044302021027e-7,-28.807354726703966,positive
433.29441,6.308591699084122e-7,-30.91862237197999,positive
453.28384,7.511998883410594e-7,-27.98503211862401,positive
84.00938,7.802913782465884e-7,-23.930374819101946,negative
285.18481,7.816820622342698e-7,-27.503955455702577,positive
311.16867,8.107572229172185e-7,-26.489407133476078,negative
225.16374,8.387674784972012e-7,-27.27669435665492,positive
199.14813,8.389772675193622e-7,-27.91032196832398,positive
634.45165,9.453276658823511e-7,38.0174620703511,positive
477.33169,9.762570144241664e-7,-21.458060703025257,positive
457.23509,1.0065498997040943e-6,-29.627127209255125,positive
471.25167,1.1627778932732243e-6,-19.545216153684397,negative
173.13242,1.168101576669479e-6,-19.946556965845083,positive
495.34164,1.50998069367509e-6,-19.083434961645807,positive
243.13787,1.5620036153839566e-6,-27.700770471733627,positive
144.04561,1.5697650558403341e-6,-18.646400694837617,negative
477.33216,1.7549793431933559e-6,-19.006253939176677,positive
173.13248,1.7879781286422159e-6,-26.206321331882524,positive
509.35744,1.842670802187365e-6,-18.892731799395555,positive
303.19545,1.9029793724561234e-6,-27.897393956924596,positive
525.3163,1.9255224402600316e-6,-18.575622976415122,positive
526.29273,1.9976201842296333e-6,26.90475529450077,positive
854.57328,2.032826135751274e-6,-27.257774901362225,positive
552.35216,2.0513505067713914e-6,-17.9483138951578,positive
419.27783,2.080813645732598e-6,-26.497364298954352,positive
441.26076,2.0969656675983344e-6,-18.011609638035544,positive
435.27388,2.1155824780673564e-6,-19.621385872990547,positive
469.28382,2.1513320679300507e-6,-28.579704232037624,positive
469.28075,2.193127964800261e-6,-18.00396031116739,negative
436.30571,2.284137545955393e-6,-26.839787564593284,positive
493.23368,2.3087320166792274e-6,-17.82705932366068,negative
292.07151,2.413814595649703e-6,-17.329645121174057,negative
303.1955,2.8178739998585644e-6,-25.7727834940967,positive
463.27033,3.242901948719393e-6,-19.27703928119702,negative
421.25738,3.478739949153144e-6,-28.116343370900843,positive
421.28615,3.523303914089877e-6,-27.980437632916594,positive
553.35581,3.6111574584940966e-6,-16.273367207830898,positive
243.17424,3.669969590463414e-6,-25.30292471035941,positive
303.19554,3.761924767240046e-6,-24.0140485732508,positive
515.2128,3.778433465331968e-6,-16.092319739715055,positive
584.37739,4.204164752209491e-6,-15.76222578123551,positive
402.27733,4.46891643201551e-6,-20.34699317932111,positive
283.16971,4.576042116825117e-6,-24.93285491508263,positive
265.14788,4.623304919345368e-6,-17.579967452465453,negative
464.337,4.66224405348092e-6,-26.875684579674374,positive
668.34644,4.903535689302056e-6,-16.259661762751772,positive
283.16957,4.948540681698713e-6,-21.891058566916314,positive
378.19673,4.953096308468359e-6,15.695197719794963,positive
303.19528,5.3521581726133675e-06,-15.385408615318823,positive
526.26563,5.443320813137754e-6,-17.8493194207177,negative
836.56828,5.449965788900504e-6,-15.589651878986878,positive
303.19526,5.466206045735688e-6,-16.485188828441135,positive
455.27656,5.53234483211663e-6,-26.306057696103498,positive
422.29098,5.54958597254512e-6,-17.175508679374218,positive
321.20588,5.658998212284108e-6,-18.609915302176574,positive
201.16326,6.44690287879745e-6,-16.153167807681534,positive
502.28075,6.449245856579096e-6,-16.810765904934613,negative
511.29101000000003,6.56183777267134e-6,-15.009532457284186,negative
457.23482,6.804499384793391e-6,-16.148588155911376,positive
225.16363,7.1317802685991895e-6,-14.401301063991967,positive
453.24139,7.59321424214653e-6,-20.78056067909293,negative
439.31817,7.78046795198933e-6,-14.186749962983876,positive
317.211,7.877026563168395e-6,-14.529418145688094,positive
571.24988,7.903736138079354e-6,-19.098080232824227,negative
451.30537,7.989242322252343e-6,-14.289793774605174,positive
335.22156,8.09364205083758e-6,-14.487972556546021,positive
303.19517,8.173160451790322e-6,-14.494014529159612,positive
669.27469,8.212102239501166e-6,-15.026099363406907,negative
197.13172,8.584469759467639e-6,-24.074604356432438,positive
319.19134,8.754583991352106e-6,-21.659943177961818,negative
620.39497,8.975474458937185e-6,21.21002007635838,positive
419.27905,9.468669830713157e-6,-15.488703455097182,positive
451.30532,9.476152193334086e-6,-13.68125360901004,positive
639.23755,9.811398826673433e-6,-22.181601146521853,negative
734.37855,9.91103194472373e-6,-14.404748892607707,positive
204.12303,1.0385694985928991e-5,-14.180766596739634,positive
479.26475,1.1248188383663093e-5,-14.514772168761864,negative
745.45711,1.135439478978319e-5,-15.009259487128139,positive
682.32621,1.138565447153321e-5,-16.32614533557681,positive
570.36264,1.1418468309778968e-5,-25.14099419053012,positive
470.31067,1.180728955227235e-5,-22.254103989149613,positive
451.27019,1.1824629842501232e-5,-19.5867879572811,negative
301.17982,1.199490924334449e-5,-23.550233815128852,positive
433.14051,1.2257672770654116e-5,42.426932056188754,negative
507.34242,1.2672394690271021e-5,-13.645449294008714,positive
173.13231,1.2847653608602297e-5,-14.253424155352647,positive
457.23494,1.3025874824400663e-5,-14.400132993805643,positive
708.35245,1.3567631168405844e-5,-23.479110911543543,positive
418.29477,1.3683078698640377e-5,-24.4959287154121,positive
457.23675,1.3887345798906073e-5,-12.896127675247374,positive
459.27165,1.4481020751965238e-5,-21.203777537568932,positive
859.53234,1.4735039859856457e-5,-13.306162487066327,positive
688.39543,1.4737605453761386e-5,21.136598483989975,positive
470.31031,1.4816502232951255e-5,-24.263766841732757,positive
459.27153,1.578058243409983e-5,-12.830112774324249,positive
475.24564,1.6218739364459257e-5,-12.984633177202042,positive
225.16359,1.6256380456126186e-5,-20.61347847250686,positive
433.29414,1.633201931229004e-5,-13.70547771578518,positive
625.32069,1.651694195600199e-5,-12.859600332146506,positive
495.26028,1.6877983224799654e-5,-14.493011235236933,negative
611.30491,1.7151560002928848e-5,-12.874812351688963,positive
536.26142,1.7585350476284562e-5,-14.078641487808104,positive
544.33853,1.7966797137324895e-5,13.278933665361407,positive
