p.value,m.z,t.score,pos_inx
1.56529280049093e-08,453.28387,-41.3921504803394,1
1.65357217525179e-08,303.19552,-40.9576438956958,1
1.97305386453653e-08,459.2716,-39.9244127994794,1
2.08437215170716e-08,594.3764,43.5876598809086,1
2.55776099553337e-08,453.28458,-37.6082012447508,1
2.59740420934862e-08,419.27923,-42.1866072579352,1
3.00796925915706e-08,452.30891,-38.4064910903942,1
3.09929792904984e-08,199.14804,-36.166685965072,1
3.67696771802257e-08,859.53233,-35.9999320021831,1
4.15945561167141e-08,285.1849,-38.4367659908941,1
4.2664157391626e-08,229.14336,34.5105823112206,1
4.32197463053979e-08,300.19884,-34.32248609595,1
4.68214818487031e-08,473.28738,-34.2786909928633,1
4.74107898788025e-08,225.16362,-33.6965102238459,1
5.59070229029032e-08,335.22169,-44.8632136268036,1
5.724860965503e-08,457.25492,-36.9083951237434,1
5.9735995637408e-08,317.21103,-43.5141909657368,1
6.24781045459123e-08,420.287,-40.7059463231195,1
6.8006367969487e-08,243.17424,-32.5891895110506,1
7.10999165598946e-08,159.11675,-33.7647085154698,1
7.40860811086429e-08,612.30269,-33.580625812485,1
1.00090375581975e-07,489.26058,-46.1391172573989,1
1.44962486634286e-07,199.14809,-31.1967964992338,1
1.45601818194749e-07,436.30571,-47.2661714490933,1
2.00819146929252e-07,199.14808,-32.7934858198639,1
2.63317926710781e-07,321.20594,-28.9796631900208,1
2.66143171061383e-07,590.3202,29.7321688194236,1
3.26765357781464e-07,441.26115,-45.391977809738,1
3.56581994608907e-07,267.17436,-29.800938938449,1
3.69693683414307e-07,436.30579,-32.4345243780305,1
4.4434885820671e-07,285.18482,-30.2309484021298,1
4.85555793786608e-07,470.31109,-30.1320229665969,1
4.97695922906937e-07,173.13259,-29.3405849874407,1
4.9928149141434e-07,267.17463,-27.762392008858,1
5.10620845248457e-07,243.17414,-24.6173228675657,1
5.44351027801802e-07,303.1955,-27.758696737842,1
5.72044302021027e-07,285.18487,-28.807354726704,1
6.30859169908412e-07,433.29441,-30.91862237198,1
7.5119988834106e-07,453.28384,-27.985032118624,1
7.80291378246588e-07,84.00938,-23.9303748191019,0
7.8168206223427e-07,285.18481,-27.5039554557026,1
8.10757222917219e-07,311.16867,-26.4894071334761,0
8.38767478497201e-07,225.16374,-27.2766943566549,1
8.38977267519362e-07,199.14813,-27.910321968324,1
9.45327665882351e-07,634.45165,38.0174620703511,1
9.76257014424166e-07,477.33169,-21.4580607030253,1
1.00654989970409e-06,457.23509,-29.6271272092551,1
1.16277789327322e-06,471.25167,-19.5452161536844,0
1.16810157666948e-06,173.13242,-19.9465569658451,1
1.50998069367509e-06,495.34164,-19.0834349616458,1
1.56200361538396e-06,243.13787,-27.7007704717336,1
1.56976505584033e-06,144.04561,-18.6464006948376,0
1.75497934319336e-06,477.33216,-19.0062539391767,1
1.78797812864222e-06,173.13248,-26.2063213318825,1
1.84267080218737e-06,509.35744,-18.8927317993956,1
1.90297937245612e-06,303.19545,-27.8973939569246,1
