Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
303.19552,C05140,M+H[1+],4.35332299844049e-05
303.19552,C05284,M+H[1+],4.35332299844049e-05
303.19552,C05290,M+H[1+],4.35332299844049e-05
303.19552,C05295,M+H[1+],4.35332299844049e-05
303.19552,C05302,M+H[1+],4.35332299844049e-05
199.14804,C00468,M-C3H4O2+H[1+],0.000136466769987464
285.1849,C05140,M-H2O+H[1+],2.35332300349e-05
285.1849,C05284,M-H2O+H[1+],2.35332300349e-05
285.1849,C05290,M-H2O+H[1+],2.35332300349e-05
285.1849,C05295,M-H2O+H[1+],2.35332300349e-05
285.1849,C05302,M-H2O+H[1+],2.35332300349e-05
225.16362,C00468,M-HCOOH+H[1+],0.000256466769968711
335.22169,C05949,M+H[1+],1.35332300033042e-05
335.22169,C00735,M-CO+H[1+],0.000113533230035046
335.22169,C01124,M-CO+H[1+],0.000113533230035046
335.22169,C05469,M-CO+H[1+],0.000113533230035046
335.22169,C05473,M-CO+H[1+],0.000113533230035046
335.22169,C00427,M-H2O+H[1+],1.35332300033042e-05
335.22169,C00584,M-H2O+H[1+],1.35332300033042e-05
335.22169,C00696,M-H2O+H[1+],1.35332300033042e-05
335.22169,C01312,M-H2O+H[1+],1.35332300033042e-05
335.22169,C02198,M-H2O+H[1+],1.35332300033042e-05
335.22169,C04853,M-H2O+H[1+],1.35332300033042e-05
335.22169,C05960,M-H2O+H[1+],1.35332300033042e-05
335.22169,C04671,M-H2O+H[1+],1.35332300033042e-05
335.22169,C16677,M+H2O+H[1+],1.35332300033042e-05
335.22169,C16679,M+H2O+H[1+],1.35332300033042e-05
335.22169,C16680,M+H2O+H[1+],1.35332300033042e-05
317.21103,C16677,M+H[1+],4.64667700157406e-05
317.21103,C16679,M+H[1+],4.64667700157406e-05
317.21103,C16680,M+H[1+],4.64667700157406e-05
317.21103,C00735,M-HCOOH+H[1+],0.000146466769990639
317.21103,C00762,M-CO2+H[1+],0.000146466769990639
317.21103,C01124,M-HCOOH+H[1+],0.000146466769990639
317.21103,C01780,M-CO2+H[1+],0.000146466769990639
317.21103,C05469,M-HCOOH+H[1+],0.000146466769990639
317.21103,C05473,M-HCOOH+H[1+],0.000146466769990639
317.21103,C05490,M-CO+H[1+],4.64667700157406e-05
317.21103,C00427,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C00584,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C00696,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C01312,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C02198,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C04853,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C05949,M-H2O+H[1+],4.64667700157406e-05
317.21103,C05960,M-H4O2+H[1+],4.64667700157406e-05
317.21103,C04671,M-H4O2+H[1+],4.64667700157406e-05
243.17424,C00468,M-CO+H[1+],3.64667699841448e-05
243.17424,C05141,M-HCOOH+H[1+],0.000136466770015886
243.17424,C05298,M-CO2+H[1+],0.000136466770015886
243.17424,C05300,M-CO2+H[1+],0.000136466770015886
243.17424,C05301,M-HCOOH+H[1+],0.000136466770015886
199.14809,C00468,M-C3H4O2+H[1+],8.64667700000155e-05
199.14808,C00468,M-C3H4O2+H[1+],9.64667700031896e-05
321.20594,C05140,M+H2O+H[1+],0.000136466770015886
321.20594,C05284,M+H2O+H[1+],0.000136466770015886
321.20594,C05290,M+H2O+H[1+],0.000136466770015886
321.20594,C05295,M+H2O+H[1+],0.000136466770015886
321.20594,C05302,M+H2O+H[1+],0.000136466770015886
267.17436,C05140,M-H4O2+H[1+],8.35332299971014e-05
267.17436,C05284,M-H4O2+H[1+],8.35332299971014e-05
267.17436,C05290,M-H4O2+H[1+],8.35332299971014e-05
267.17436,C05295,M-H4O2+H[1+],8.35332299971014e-05
267.17436,C05302,M-H4O2+H[1+],8.35332299971014e-05
285.18482,C05140,M-H2O+H[1+],5.6466769990493e-05
285.18482,C05284,M-H2O+H[1+],5.6466769990493e-05
285.18482,C05290,M-H2O+H[1+],5.6466769990493e-05
285.18482,C05295,M-H2O+H[1+],5.6466769990493e-05
285.18482,C05302,M-H2O+H[1+],5.6466769990493e-05
267.17463,C05140,M-H4O2+H[1+],0.000353533229997538
267.17463,C05284,M-H4O2+H[1+],0.000353533229997538
267.17463,C05290,M-H4O2+H[1+],0.000353533229997538
267.17463,C05295,M-H4O2+H[1+],0.000353533229997538
267.17463,C05302,M-H4O2+H[1+],0.000353533229997538
243.17414,C00468,M-CO+H[1+],0.000136466769987464
