"","mz","p.value","t.score","mode"
"1",453.28387,1.56529280049093e-08,-41.3921504803394,"positive"
"2",303.19552,1.65357217525179e-08,-40.9576438956958,"positive"
"3",459.2716,1.97305386453653e-08,-39.9244127994794,"positive"
"4",594.3764,2.08437215170716e-08,43.5876598809086,"positive"
"5",453.28458,2.55776099553337e-08,-37.6082012447508,"positive"
"6",419.27923,2.59740420934862e-08,-42.1866072579352,"positive"
"7",452.30891,3.00796925915706e-08,-38.4064910903942,"positive"
"8",199.14804,3.09929792904984e-08,-36.166685965072,"positive"
"9",859.53233,3.67696771802257e-08,-35.9999320021831,"positive"
"10",285.1849,4.15945561167141e-08,-38.4367659908941,"positive"
"11",229.14336,4.2664157391626e-08,34.5105823112206,"positive"
"12",300.19884,4.32197463053979e-08,-34.32248609595,"positive"
"13",473.28738,4.68214818487031e-08,-34.2786909928633,"positive"
"14",225.16362,4.74107898788025e-08,-33.6965102238459,"positive"
"15",335.22169,5.59070229029032e-08,-44.8632136268036,"positive"
"16",457.25492,5.724860965503e-08,-36.9083951237434,"positive"
"17",317.21103,5.9735995637408e-08,-43.5141909657368,"positive"
"18",420.287,6.24781045459123e-08,-40.7059463231195,"positive"
"19",243.17424,6.8006367969487e-08,-32.5891895110505,"positive"
"20",159.11675,7.10999165598946e-08,-33.7647085154698,"positive"
"21",612.30269,7.40860811086428e-08,-33.580625812485,"positive"
"22",489.26058,1.00090375581975e-07,-46.1391172573989,"positive"
"23",199.14809,1.44962486634285e-07,-31.1967964992337,"positive"
"24",436.30571,1.45601818194749e-07,-47.2661714490933,"positive"
"25",199.14808,2.00819146929252e-07,-32.7934858198639,"positive"
"26",321.20594,2.63317926710781e-07,-28.9796631900208,"positive"
"27",590.3202,2.66143171061383e-07,29.7321688194236,"positive"
"28",441.26115,3.26765357781464e-07,-45.391977809738,"positive"
"29",267.17436,3.56581994608907e-07,-29.800938938449,"positive"
"30",436.30579,3.69693683414307e-07,-32.4345243780305,"positive"
"31",285.18482,4.4434885820671e-07,-30.2309484021298,"positive"
"32",470.31109,4.85555793786608e-07,-30.1320229665969,"positive"
"33",173.13259,4.97695922906937e-07,-29.3405849874407,"positive"
"34",267.17463,4.9928149141434e-07,-27.762392008858,"positive"
"35",243.17414,5.10620845248457e-07,-24.6173228675657,"positive"
"36",303.1955,5.44351027801802e-07,-27.758696737842,"positive"
"37",285.18487,5.72044302021027e-07,-28.807354726704,"positive"
"38",433.29441,6.30859169908412e-07,-30.91862237198,"positive"
"39",453.28384,7.51199888341059e-07,-27.985032118624,"positive"
"40",84.00938,7.80291378246588e-07,-23.9303748191019,"negative"
"41",285.18481,7.8168206223427e-07,-27.5039554557026,"positive"
"42",311.16867,8.10757222917218e-07,-26.4894071334761,"negative"
"43",225.16374,8.38767478497201e-07,-27.2766943566549,"positive"
"44",199.14813,8.38977267519362e-07,-27.910321968324,"positive"
"45",634.45165,9.45327665882351e-07,38.0174620703511,"positive"
"46",477.33169,9.76257014424166e-07,-21.4580607030253,"positive"
"47",457.23509,1.00654989970409e-06,-29.6271272092551,"positive"
"48",471.25167,1.16277789327322e-06,-19.5452161536844,"negative"
"49",173.13242,1.16810157666948e-06,-19.9465569658451,"positive"
"50",495.34164,1.50998069367509e-06,-19.0834349616458,"positive"
"51",243.13787,1.56200361538396e-06,-27.7007704717336,"positive"
"52",144.04561,1.56976505584033e-06,-18.6464006948376,"negative"
"53",477.33216,1.75497934319336e-06,-19.0062539391767,"positive"
"54",173.13248,1.78797812864222e-06,-26.2063213318825,"positive"
"55",509.35744,1.84267080218737e-06,-18.8927317993956,"positive"
"56",303.19545,1.90297937245612e-06,-27.8973939569246,"positive"
"57",525.3163,1.92552244026003e-06,-18.5756229764151,"positive"
"58",526.29273,1.99762018422963e-06,26.9047552945008,"positive"
"59",854.57328,2.03282613575127e-06,-27.2577749013622,"positive"
"60",552.35216,2.05135050677139e-06,-17.9483138951578,"positive"
"61",419.27783,2.0808136457326e-06,-26.4973642989544,"positive"
"62",441.26076,2.09696566759833e-06,-18.0116096380355,"positive"
"63",435.27388,2.11558247806736e-06,-19.6213858729905,"positive"
"64",469.28382,2.15133206793005e-06,-28.5797042320376,"positive"
"65",469.28075,2.19312796480026e-06,-18.0039603111674,"negative"
"66",436.30571,2.28413754595539e-06,-26.8397875645933,"positive"
"67",493.23368,2.30873201667923e-06,-17.8270593236607,"negative"
