mz,p.value,t.score,mode
295.05499,5.205747774613959e-9,-49.4177347076222,negative
331.03127,8.387927219892243e-9,-46.79585714516222,negative
591.11664,1.9527361999460463e-8,-45.345670048343,negative
295.05494,3.155373516980931e-8,-42.44676302296217,negative
451.05458,5.43675914216141e-8,-34.683843205470446,positive
751.04911,6.839768037703181e-8,-40.533989244353315,negative
770.09042,7.064666425011214e-8,-35.00939388698183,positive
375.02094,9.260146082009498e-8,-30.226774563166533,negative
363.04205,1.087509746498664e-7,-29.332704133296765,negative
179.00787,1.1753327741074658e-7,-34.13027461329356,negative
615.11299,1.3904049077176807e-7,-31.52045783654561,positive
179.00746,1.4060075759436185e-7,-59.27818083657895,negative
252.04896,1.4412547293976653e-7,-38.97106504789643,negative
429.17335,1.7043385444034398e-7,-30.86602808808489,positive
375.02105,2.2235728255150146e-7,-45.33082300571158,negative
397.00313,2.6183025678291884e-7,-25.368642769271375,negative
377.03585,2.657975088588784e-7,-30.762130806713948,positive
394.06243,2.7141058720700625e-7,-29.126497070405588,positive
253.02916,5.785121405986348e-7,-40.768472087576065,positive
542.11329,6.636053376225488e-7,-27.55717115830379,positive
246.24254,6.860485350186564e-7,-28.421294740886115,positive
195.00656,8.646909693204138e-7,-44.83884879298232,negative
594.13171,1.2428103637678538e-6,-20.500246541748602,negative
117.05494,1.2927973059266375e-6,-35.6341585381556,positive
613.09838,1.8696616888543863e-6,-19.938459706335955,negative
375.02142,2.022194488892514e-6,-64.96372163175215,negative
295.05468,2.979968100003424e-6,-30.714235760484144,negative
656.11975,3.3277829873911902e-6,-16.928366438678083,positive
179.00756,4.26533152477221e-6,-16.02852507931815,negative
413.09654,4.3689529579385976e-6,-17.17879380824989,negative
385.08677,6.33728345624337e-6,-14.873568083010037,negative
429.17133,8.108572482022275e-6,-15.884745989595979,positive
399.01807,9.573590235025123e-6,-14.383218076584864,positive
203.00389,1.1435971491788955e-5,-13.37912187417278,positive
314.09589,1.2021412767477112e-5,-22.281263979585084,positive
295.05466,1.3226139259577567e-5,-18.491119449319672,negative
129.05578,1.4866945944884331e-5,-17.941759080779082,negative
179.00756,1.513913909342305e-5,-44.38687999098099,negative
331.03128,1.566492138247812e-5,-43.39931620932813,negative
614.07444,1.7587526576734625e-5,-12.407236652561373,positive
302.53383,1.7788408250900303e-5,13.938184000066672,negative
443.08759,1.8565937045493105e-5,-13.065831932522723,negative
295.05459,2.108590511958286e-5,-13.095371510416904,negative
335.02595,2.7534361123580825e-5,-11.387430995592263,positive
81.03357,3.020086554557368e-5,-19.3295788032956,positive
414.99146,3.139417009502542e-5,-11.560213170737661,positive
377.03632,3.4867621039422074e-5,-19.9445174645933,positive
615.1118,3.654727718673054e-5,-11.78130644988725,positive
459.19907,5.776434554777251e-5,14.33176871825053,positive
773.03139,6.308238879030097e-5,-12.029927323080692,negative
375.02102,6.481838770930649e-5,-18.24548266468254,negative
197.02095,6.652024392047814e-5,-18.48551527581995,positive
389.03669,7.195278738332128e-5,-17.548335729840797,negative
425.11764,7.272473285744376e-5,-20.738932692352353,negative
420.99942,7.679448251113146e-5,-22.394303073515204,positive
197.02096,7.759210578985582e-5,-20.180507042254547,positive
255.04076,7.98061749100274e-5,-18.056215052266683,positive
500.11082,9.543557468915116e-5,-10.463647713917036,positive
179.01037,1.0785468822459892e-4,-17.33535109757251,positive
252.04861,1.1448913373812755e-4,-10.989100814863697,negative
205.05153,1.378797560342171e-4,-9.796405763927632,positive
81.03366,1.4945134192985e-4,-16.099997210054816,positive
181.02183,1.4967636826754854e-4,-16.397365852172744,positive
355.07562,1.5103416405232208e-4,-10.906287386794334,negative
631.07321,1.5729616676490567e-4,-11.56276676690184,negative
193.02309,1.8211621733889405e-4,-10.896005180756138,negative
553.13074,1.925529103118882e-4,-16.025418309738924,positive
643.10148,2.2144897968600822e-4,-11.301214160706852,negative
753.06481,2.592145333068198e-4,-14.911239698519216,positive
132.10202,2.674849194213592e-4,-15.731224854427458,positive
79.02126,2.713737912936859e-4,-14.866871885443972,positive
335.02499,3.6487722994352364e-4,-8.617660457715504,positive
375.06237,4.179070147966321e-4,-13.795288476214488,positive
204.04882,4.3913580687624963e-4,-7.37347495636468,positive
287.1422,4.5683515956592194e-4,7.008867604080299,positive
377.03567,4.577336905785463e-4,-14.89244547794325,positive
