"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pyrimidine metabolism","39","19","10","1.8571","0.00021072","0.001117","0.0020083","1","0.01","0.00695376","0.036861","0.0662739","P1","C00015;C00337;C01103;C00105;C00299;C01346;C00365;C00526;C00106;C00672"
"Valine, leucine and isoleucine biosynthesis","8","6","5","0.38095","0.00054913","0.0073347","0.0020506","0","0","0.01757216","0.2347104","0.0662739","P2","C00671;C00123;C00141;C00407;C00233"
"Valine, leucine and isoleucine degradation","40","13","7","1.9048","0.001822","0.0097917","0.0020676","0","0","0.056482","0.3035427","0.0662739","P3","C15978;C15974;C00671;C00141;C00407;C00233;C00123"
"Pantothenate and CoA biosynthesis","20","11","4","0.95238","0.088172","0.25568","0.0048277","15","0.15","1","1","0.144831","P4","C04352;C00106;C00141;C00054"
"Pentose phosphate pathway","23","14","4","1.0952","0.18221","0.40012","0.0081706","6","0.06","1","1","0.2369474","P5","C01801;C00672;C00673;C00279"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","3","2","0.85714","0.071059","0.41136","0.0085225","1","0.01","1","1","0.23863","P6","C00082;C00544"
"Tryptophan metabolism","41","28","6","1.9524","0.30101","0.48348","0.011225","13","0.13","1","1","0.303075","P7","C05635;C00322;C05634;C00331;C05640;C00954"
"Pentose and glucuronate interconversions","19","10","3","0.90476","0.21507","0.49933","0.011941","10","0.1","1","1","0.310466","P8","C00532;C00379;C01068"
"Tyrosine metabolism","42","25","5","2","0.39024","0.59724","0.017724","5","0.05","1","1","0.4431","P9","C05577;C05576;C04043;C01161;C00082;C00544;C00642"
"Lysine degradation","30","6","2","1.4286","0.25573","0.65483","0.022654","11","0.11","1","1","0.543696","P10","C00322;C00487"
"Phenylalanine metabolism","8","6","2","0.38095","0.25573","0.65483","0.022654","6","0.06","1","1","0.543696","P11","C05852;C00082"
"Metabolism of xenobiotics by cytochrome P450","68","29","5","3.2381","0.53062","0.71996","0.030393","6","0.06","1","1","0.668646","P12","C14800;C19604;C19561;C19489;C14040;C03012;C19566;C19563;C14802"
"D-Amino acid metabolism","15","9","2","0.71429","0.44871","0.79839","0.044791","40","0.4","1","1","0.940611","P13","C00763;C03564"
"Steroid hormone biosynthesis","87","23","3","4.1429","0.75844","0.91134","0.089601","14","0.14","1","1","1","P14","C02538;C02373;C11132"
"Arginine and proline metabolism","36","16","2","1.7143","0.7688","0.94338","0.11716","47","0.47","1","1","1","P15","C00763;C00148;C03564;C03912"
"Drug metabolism - cytochrome P450","55","21","2","2.619","0.8862","0.97745","0.17571","49","0.49","1","1","1","P16","C16595;C16587;C16596"
"Amino sugar and nucleotide sugar metabolism","42","34","3","2","0.9403","0.98409","0.19779","67","0.67","1","1","1","P17","C00043;C00270;C01674;C00203"
"Purine metabolism","70","29","2","3.3333","0.96677","0.99496","0.26793","95","0.95","1","1","1","P18","C00206;C00361;C00147"
"Fructose and mannose metabolism","20","14","1","0.95238","0.9214","1","1","62","0.62","1","1","1","P19","C03827"
"Fatty acid degradation","39","3","1","1.8571","0.41596","1","1","17","0.17","1","1","1","P20","C02990"
"Arginine biosynthesis","14","7","1","0.66667","0.7166","1","1","44","0.44","1","1","1","P21","C00327"
"Alanine, aspartate and glutamate metabolism","28","14","1","1.3333","0.9214","1","1","58","0.58","1","1","1","P22","C03912"
"Cysteine and methionine metabolism","33","15","1","1.5714","0.93468","1","1","76","0.76","1","1","1","P23","C05823"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","1","0.19048","0.41596","1","1","21","0.21","1","1","1","P24","C00082"
"beta-Alanine metabolism","21","8","1","1","0.76373","1","1","30","0.3","1","1","1","P25","C00106"
"Phosphonate and phosphinate metabolism","6","1","1","0.28571","0.16376","1","1","2","0.02","1","1","1","P26","C05674"
"Glutathione metabolism","28","8","1","1.3333","0.76373","1","1","66","0.66","1","1","1","P27","C16565"
"Mannose type O-glycan biosynthesis","17","1","1","0.80952","0.16376","1","1","1","0.01","1","1","1","P28","C01068"
"Glycerophospholipid metabolism","36","7","1","1.7143","0.7166","1","1","61","0.61","1","1","1","P29","C01233"
"Ether lipid metabolism","20","2","1","0.95238","0.30099","1","1","29","0.29","1","1","1","P30","C01233"
"One carbon pool by folate","9","4","1","0.42857","0.51223","1","1","10","0.1","1","1","1","P31","C00445"
"Lipoic acid metabolism","28","4","1","1.3333","0.51223","1","1","26","0.26","1","1","1","P32","C00322"
"Terpenoid backbone biosynthesis","18","4","1","0.85714","0.51223","1","1","12","0.12","1","1","1","P33","C00418"
