"","mz","p.value","t.score","mode"
"1",295.05499,5.20574777461396e-09,-49.4177347076222,"negative"
"2",331.03127,8.38792721989224e-09,-46.7958571451622,"negative"
"3",591.11664,1.95273619994605e-08,-45.345670048343,"negative"
"4",295.05494,3.15537351698093e-08,-42.4467630229622,"negative"
"5",451.05458,5.43675914216141e-08,-34.6838432054704,"positive"
"6",751.04911,6.83976803770318e-08,-40.5339892443533,"negative"
"7",770.09042,7.06466642501121e-08,-35.0093938869818,"positive"
"8",375.02094,9.2601460820095e-08,-30.2267745631665,"negative"
"9",363.04205,1.08750974649866e-07,-29.3327041332968,"negative"
"10",179.00787,1.17533277410747e-07,-34.1302746132936,"negative"
"11",615.11299,1.39040490771768e-07,-31.5204578365456,"positive"
"12",179.00746,1.40600757594362e-07,-59.2781808365789,"negative"
"13",252.04896,1.44125472939767e-07,-38.9710650478964,"negative"
"14",429.17335,1.70433854440344e-07,-30.8660280880849,"positive"
"15",375.02105,2.22357282551501e-07,-45.3308230057116,"negative"
"16",397.00313,2.61830256782919e-07,-25.3686427692714,"negative"
"17",377.03585,2.65797508858878e-07,-30.7621308067139,"positive"
"18",394.06243,2.71410587207006e-07,-29.1264970704056,"positive"
"19",253.02916,5.78512140598635e-07,-40.7684720875761,"positive"
"20",542.11329,6.63605337622549e-07,-27.5571711583038,"positive"
"21",246.24254,6.86048535018656e-07,-28.4212947408861,"positive"
"22",195.00656,8.64690969320414e-07,-44.8388487929823,"negative"
"23",594.13171,1.24281036376785e-06,-20.5002465417486,"negative"
"24",117.05494,1.29279730592664e-06,-35.6341585381556,"positive"
"25",613.09838,1.86966168885439e-06,-19.938459706336,"negative"
"26",375.02142,2.02219448889251e-06,-64.9637216317522,"negative"
"27",295.05468,2.97996810000342e-06,-30.7142357604841,"negative"
"28",656.11975,3.32778298739119e-06,-16.9283664386781,"positive"
"29",179.00756,4.26533152477221e-06,-16.0285250793182,"negative"
"30",413.09654,4.3689529579386e-06,-17.1787938082499,"negative"
