mz,p.value,t.score,mode
310.98823,5.0232357095638054e-8,34.08960583765803,positive
267.02371,1.9836747420265834e-7,46.83678603479971,positive
246.24254,4.6620892341096784e-7,29.066461557834163,positive
300.98596,1.9008019155866223e-6,60.02638580159033,negative
289.00574,2.114738835568497e-6,26.48218158305329,positive
160.04277,8.415958958679251e-6,14.262983450102649,positive
335.106,1.0825224585656967e-5,13.439802415245506,positive
243.02742,2.1064848844259907e-5,38.265278934530706,negative
192.04889,2.647348890044842e-5,11.652306818972006,negative
335.10601,2.8751636804052726e-5,21.646272170519794,positive
192.04883,3.062396488709985e-5,11.467627554643487,negative
357.0879,3.567668471892019e-5,11.504295583125204,positive
160.04273,3.9328478679152055e-5,10.70038846141877,positive
628.05626,4.312943344080949e-5,-10.75673150527422,negative
306.07641,1.0261944252007983e-4,-14.815908292630631,negative
335.10578,1.2048958707807671e-4,11.26927586740796,positive
289.10142,1.3772961441271773e-4,15.02178675996941,negative
225.03421,1.4542922716315315e-4,17.073324829969938,positive
496.33956,1.7129700685752732e-4,13.264130944938268,positive
176.07058,1.7318502361240515e-4,13.323031093932185,positive
498.26243,1.7347647156275064e-4,8.459699684981913,negative
160.04259,2.0080133817580785e-4,8.024555737133635,positive
686.22932,2.0622272278123102e-4,16.247380534138543,positive
606.07427,2.087610821676576e-4,-8.811193493959847,negative
401.07873,2.1396611804819156e-4,8.754964058677492,negative
333.09129,2.2262041675960836e-4,10.733809646527668,negative
176.07067,2.2980842392220503e-4,8.695633678506363,positive
253.98128,2.3244902228303883e-4,-12.063032461605381,negative
267.02425,2.4172772575841104e-4,15.034781620574565,positive
308.09067,3.4892595626563686e-4,-7.3405587212339425,positive
531.80741,3.7330113996692014e-4,-7.485968257768293,negative
358.94407,3.892247586399124e-4,17.338823018619944,negative
192.04881,4.571052269199541e-4,8.82648490307667,negative
405.07249,4.609201740392927e-4,13.811888908248042,positive
588.33042,4.619845397987764e-4,7.420154945384269,negative
333.0914,4.8355001872112254e-4,8.3410444022275545,negative
