"","total","expected","hits","Raw p","Holm p","FDR"
"Glycerophospholipid metabolism",6,1.42,5,0.00303,0.243,0.243
"Pyrimidine metabolism",5,1.18,4,0.0116,0.915,0.335
"Pentose and glucuronate interconversions",3,0.711,3,0.0126,0.98,0.335
"Amino sugar and nucleotide sugar metabolism",4,0.948,3,0.0419,1,0.735
"Galactose metabolism",2,0.474,2,0.0551,1,0.735
"Ascorbate and aldarate metabolism",2,0.474,2,0.0551,1,0.735
"Glutathione metabolism",3,0.711,2,0.14,1,1
"Fatty acid degradation",1,0.237,1,0.237,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",1,0.237,1,0.237,1,1
"Alanine, aspartate and glutamate metabolism",1,0.237,1,0.237,1,1
"Tyrosine metabolism",1,0.237,1,0.237,1,1
"Phenylalanine metabolism",1,0.237,1,0.237,1,1
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,0.237,1,0.237,1,1
"Starch and sucrose metabolism",1,0.237,1,0.237,1,1
"Glycerolipid metabolism",1,0.237,1,0.237,1,1
"Inositol phosphate metabolism",1,0.237,1,0.237,1,1
"Ether lipid metabolism",1,0.237,1,0.237,1,1
"Pentose phosphate pathway",2,0.474,1,0.419,1,1
"Tryptophan metabolism",2,0.474,1,0.419,1,1
"Sphingolipid metabolism",2,0.474,1,0.419,1,1
"Arginine and proline metabolism",3,0.711,1,0.558,1,1
"Purine metabolism",12,2.84,3,0.574,1,1
