"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00670","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"C00588","Phosphorylcholine","HMDB0001565","1014","C00588","C[N+](C)(C)CCOP(O)(O)=O","1"
"C00307","Citicoline","HMDB0001413","13805","C00307","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00015","Uridine 5'-diphosphate","HMDB0000295","6031","C00015","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","C00127","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00082","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"C19463","1,5-Naphthalenediamine","HMDB0244231","16720","C19463","NC1=CC=CC2=C1C=CC=C2N","1"
"C20387","Biotin sulfone","HMDB0004818","21252323","C20387","[H][C@]12CS(=O)(=O)[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"C00319","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"C04230","CE(22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0010375","24779458","C04230","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"C02990","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
