"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C02301","O-Acylcarnitine",NA,"5355","C02301",NA,"1"
"C00062","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C05526","S-Glutathionyl-L-cysteine","METPA0607",NA,"C05526",NA,"1"
"C00307","Citicoline","HMDB0001413","13805","C00307","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C00127","Oxidized glutathione","HMDB0003337","65359","C00127","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C00144","Guanosine monophosphate","HMDB0001397","6804","C00144","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C05635","5-Hydroxyindoleacetic acid","HMDB0000763","1826","C05635","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"C20387","Biotin sulfone","HMDB0004818","21252323","C20387","[H][C@]12CS(=O)(=O)[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"C01586","Hippuric acid","HMDB0000714","464","C01586","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"C05551","Penicillin G","HMDB0015186","5904","C05551","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"C00319","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"C04230","CE(22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0010375","24779458","C04230","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"C04100","NA","NA","NA","NA","NA","0"
"C02990","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C21484","LysoPE(18:0/0:0)","HMDB0011130","9547068","C21484","[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN","1"
"C05382","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","C05382","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C00052","Uridine diphosphategalactose","HMDB0000302","18068","C00052","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00158","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C00360","Deoxyadenosine monophosphate","HMDB0000905","12599","C00360","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"C00157","Phosphatidylcholine",NA,NA,"C00157",NA,"1"
"C06525","Gentianine","HMDB0303030","354616","C06525","C=CC1=C2CCOC(=O)C2=CN=C1","1"
"C00550","2beta-Hydroxytestosterone","HMDB0012654","53481791","C00550","C[C@]12CCC3C(CCC4=CC(=O)[C@@H](O)C[C@]34C)C1CC[C@@H]2O","1"
"C00380","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"C02862","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"C00864","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"C00029","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00147","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"C00284","Edetic Acid","HMDB0015109","6049","C00284","OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","1"
"C00570","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C14550","4-Nonylphenol","HMDB0038982","1752","C14550","CCCCCCCCCC1=CC=C(O)C=C1","1"
"C00946","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
