"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",11,2.98,7,0.00945,0.756,0.515
"Pentose and glucuronate interconversions",3,0.813,3,0.0189,1,0.515
"Pyrimidine metabolism",5,1.35,4,0.0193,1,0.515
"Amino sugar and nucleotide sugar metabolism",4,1.08,3,0.0609,1,0.721
"Galactose metabolism",2,0.542,2,0.0721,1,0.721
"Ascorbate and aldarate metabolism",2,0.542,2,0.0721,1,0.721
"Alanine, aspartate and glutamate metabolism",2,0.542,2,0.0721,1,0.721
"Sphingolipid metabolism",2,0.542,2,0.0721,1,0.721
"Arginine and proline metabolism",3,0.813,2,0.179,1,1
"Citrate cycle (TCA cycle)",1,0.271,1,0.271,1,1
"Fatty acid degradation",1,0.271,1,0.271,1,1
"Arginine biosynthesis",1,0.271,1,0.271,1,1
"Starch and sucrose metabolism",1,0.271,1,0.271,1,1
"Inositol phosphate metabolism",1,0.271,1,0.271,1,1
"Glyoxylate and dicarboxylate metabolism",1,0.271,1,0.271,1,1
"Nicotinate and nicotinamide metabolism",1,0.271,1,0.271,1,1
"Pantothenate and CoA biosynthesis",1,0.271,1,0.271,1,1
"Glycerophospholipid metabolism",5,1.35,2,0.412,1,1
"Pentose phosphate pathway",2,0.542,1,0.47,1,1
"Glutathione metabolism",2,0.542,1,0.47,1,1
