"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Fructose and mannose metabolism",20,2,97.609,14.286,1.9815e-08,7.1335e-07,7.1335e-07
"Amino sugar and nucleotide sugar metabolism",42,5,95.319,14.286,4.4026e-08,1.5409e-06,7.9247e-07
"Glutathione metabolism",28,2,96.99,14.286,5.3465e-06,0.00018178,6.4158e-05
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,81.559,14.286,0.0021127,0.069718,0.010865
"Tyrosine metabolism",42,1,81.559,14.286,0.0021127,0.069718,0.010865
"Phenylalanine metabolism",8,1,81.559,14.286,0.0021127,0.069718,0.010865
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,1,81.559,14.286,0.0021127,0.069718,0.010865
"Pyrimidine metabolism",39,5,49.379,14.286,0.0036866,0.10691,0.016582
"Fatty acid degradation",39,1,77.069,14.286,0.0041455,0.11607,0.016582
"Inositol phosphate metabolism",30,1,75.261,14.286,0.0052494,0.14173,0.018898
"Arachidonic acid metabolism",44,1,67.033,14.286,0.012938,0.3364,0.038815
"alpha-Linolenic acid metabolism",13,1,67.033,14.286,0.012938,0.3364,0.038815
"Nicotinate and nicotinamide metabolism",15,1,62.985,14.286,0.018712,0.44908,0.051817
"Linoleic acid metabolism",5,2,48.099,14.286,0.022959,0.52807,0.059039
"Glycerophospholipid metabolism",36,4,41.375,14.286,0.028415,0.62513,0.068196
"Ascorbate and aldarate metabolism",9,2,46.416,14.286,0.030509,0.64069,0.068645
"Tryptophan metabolism",41,1,53.716,14.286,0.038601,0.77201,0.081742
"Steroid hormone biosynthesis",87,1,48.778,14.286,0.054001,1,0.108
"Biotin metabolism",10,1,46.898,14.286,0.060935,1,0.11546
"Ether lipid metabolism",20,1,45.38,14.286,0.067016,1,0.12063
"Arginine biosynthesis",14,1,43.124,14.286,0.076901,1,0.1279
"Pantothenate and CoA biosynthesis",20,1,42.251,14.286,0.081017,1,0.1279
"Sphingolipid metabolism",32,2,39.326,14.286,0.085182,1,0.1279
"Purine metabolism",70,12,35.732,14.286,0.085267,1,0.1279
"Alanine, aspartate and glutamate metabolism",28,2,32.883,14.286,0.089306,1,0.1286
"Arginine and proline metabolism",36,3,26.481,14.286,0.14382,1,0.19914
"Lysine degradation",30,1,26.74,14.286,0.18941,1,0.25254
"Pentose and glucuronate interconversions",19,3,20.821,14.286,0.23796,1,0.30595
"Galactose metabolism",27,2,20.2,14.286,0.2715,1,0.33704
"Starch and sucrose metabolism",18,1,18.228,14.286,0.29144,1,0.34973
"Cysteine and methionine metabolism",33,3,11.791,14.286,0.46644,1,0.54167
"Riboflavin metabolism",4,1,5.5082,14.286,0.57584,1,0.64782
"Citrate cycle (TCA cycle)",20,1,1.0311,14.286,0.81092,1,0.85862
"Glyoxylate and dicarboxylate metabolism",31,1,1.0311,14.286,0.81092,1,0.85862
"Thiamine metabolism",7,1,0.62689,14.286,0.85216,1,0.86511
"Pentose phosphate pathway",23,1,0.52118,14.286,0.86511,1,0.86511
