"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose and glucuronate interconversions","19","7","5","1.1219","0.0022814","0.019079","0.0030552","0","0","0.1117886","0.934871","0.1497048","P1","C00167;C00103;C00199;C00191;C00618;C00231"
"Fructose and mannose metabolism","20","18","8","1.181","0.0061043","0.022398","0.0030879","1","0.01","0.2930064","1","0.1497048","P2","C00275;C02985;C01222;C00096;C00636;C00085;C01094;C01019"
"Amino sugar and nucleotide sugar metabolism","42","36","12","2.48","0.012561","0.030459","0.0031689","3","0.03","0.590367","1","0.1497048","P3","C00270;C00446;C00103;C00167;C00275;C00096;C00636;C02985;C01019;C00668;C00085;C01222"
"Glutathione metabolism","28","8","4","1.6533","0.034422","0.1441","0.0045858","10","0.1","1","1","0.2109468","P4","C00051;C00127;C00669;C00025;C01879"
"N-Glycan biosynthesis","41","5","3","2.421","0.039225","0.20658","0.0056429","1","0.01","1","1","0.2539305","P5","C00096;C00621;C03862"
"Pentose phosphate pathway","23","20","6","1.3581","0.116","0.2506","0.0065447","0","0","1","1","0.2879668","P6","C00668;C01801;C00672;C00673;C00117;C00620;C05382;C00199;C00085;C01172;C00231;C00279"
"Arginine biosynthesis","14","9","3","0.82667","0.19473","0.4772","0.01456","21","0.21","1","1","0.62608","P7","C00025;C00062;C03406;C00064"
"Inositol phosphate metabolism","30","12","3","1.7714","0.34899","0.6412","0.02756","13","0.13","1","1","1","P8","C00092;C03546;C04006;C01177;C00191"
"Butanoate metabolism","15","6","2","0.88571","0.28106","0.68031","0.032482","3","0.03","1","1","1","P9","C00025;C00246"
"Arginine and proline metabolism","36","20","4","2.1257","0.47101","0.69979","0.035337","21","0.21","1","1","1","P10","C00062;C00019;C05938;C04281;C00025"
"Ascorbate and aldarate metabolism","9","7","2","0.53143","0.35138","0.73601","0.041546","29","0.29","1","1","1","P11","C00167;C00191"
"Starch and sucrose metabolism","18","7","2","1.0629","0.35138","0.73601","0.041546","19","0.19","1","1","1","P12","C00103;C00092;C00085"
"Histidine metabolism","16","8","2","0.94476","0.41926","0.7821","0.051657","18","0.18","1","1","1","P13","C00025;C00386"
