"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Steroid hormone biosynthesis","87","48","22","3.4248","1.9723e-10","1.2402e-09","0.0042096","0","0","3.35291e-09","2.10834e-08","0.0715632","P1","C05487;C01780;C05284;C00762;C00468;C00951;C05141;C05298;C05299;C05302;C05301;C05475;C05290;C05297;C05295;C18043;C05140;C05478;C05285;C11136;C11135;C05300"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","6","2","0.70857","0.14598","0.51809","0.021191","11","0.11","1","1","0.339056","P2","C20265;C00544"
"Drug metabolism - cytochrome P450","55","18","3","2.1651","0.34756","0.62924","0.031613","14","0.14","1","1","0.474195","P3","C07108;C07572;C16609"
"Tyrosine metabolism","42","28","4","1.6533","0.41143","0.6401","0.032936","7","0.07","1","1","0.474195","P4","C05577;C05576;C04043;C01161;C00544;C05594;C00642"
"Glycerophospholipid metabolism","36","9","2","1.4171","0.28036","0.66656","0.036458","29","0.29","1","1","0.474195","P5","C00588;C00114"
"Arachidonic acid metabolism","44","28","2","1.7321","0.85875","0.96932","0.19573","0","0","1","1","1","P6","C00427;C00696;C00584;C14772;C14773;C14774;C14775;C04853;C01312;C02198;C05960;C04671"
"Galactose metabolism","27","20","1","1.0629","0.91883","1","1","12","0.12","1","1","1","P7","C01613"
"Purine metabolism","70","32","1","2.7556","0.98289","1","1","99","0.99","1","1","1","P8","C00212;C00330"
"Glycine, serine and threonine metabolism","33","14","1","1.299","0.82572","1","1","37","0.37","1","1","1","P9","C00114"
"Cysteine and methionine metabolism","33","16","1","1.299","0.86477","1","1","72","0.72","1","1","1","P10","C21015"
"Phenylalanine metabolism","8","7","1","0.31492","0.57995","1","1","29","0.29","1","1","1","P11","C05852"
"Glutathione metabolism","28","13","1","1.1022","0.80223","1","1","71","0.71","1","1","1","P12","C02090"
"N-Glycan biosynthesis","41","5","1","1.614","0.46115","1","1","14","0.14","1","1","1","P13","C01246"
"Retinol metabolism","17","8","1","0.66921","0.62928","1","1","3","0.03","1","1","1","P14","C11061"
"Porphyrin metabolism","31","6","1","1.2203","0.52419","1","1","16","0.16","1","1","1","P15","C06505;C06504"
"Terpenoid backbone biosynthesis","18","4","1","0.70857","0.38992","1","1","12","0.12","1","1","1","P16","C03461"
"Metabolism of xenobiotics by cytochrome P450","68","33","1","2.6768","0.985","1","1","42","0.42","1","1","1","P17","C14786;C06205;C03012;C14787"
