"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","41","30","8","1.5098","0.01379","0.039633","0.0021018","0","0","0.51023","1","0.0798684","P1","C01598;C05635;C00328;C00398;C00331;C05642;C05647;C05660"
"Glycerophospholipid metabolism","36","9","4","1.3257","0.012482","0.068927","0.0023267","2","0.02","0.474316","1","0.0860879","P2","C00307;C00093;C00570;C01233"
"Pyrimidine metabolism","39","21","5","1.4362","0.078822","0.20029","0.0037003","13","0.13","1","1","0.1332108","P3","C00015;C01103;C00105;C01346;C00365"
"Ascorbate and aldarate metabolism","9","8","3","0.33143","0.052164","0.22321","0.0040184","2","0.02","1","1","0.140644","P4","C00029;C01040;C02670;C00818"
"Sphingolipid metabolism","32","7","2","1.1784","0.18503","0.56759","0.015089","1","0.01","1","1","0.513026","P5","C00836;C00319;C02934;C12144"
"Lipoic acid metabolism","28","7","2","1.0311","0.18503","0.56759","0.015089","8","0.08","1","1","0.513026","P6","C16238;C00026"
"Metabolism of xenobiotics by cytochrome P450","68","27","4","2.5041","0.37192","0.60293","0.017516","7","0.07","1","1","0.560512","P7","C14800;C14040;C14853;C19588;C14802"
"Glutathione metabolism","28","11","2","1.0311","0.36342","0.73368","0.031667","30","0.3","1","1","0.981677","P8","C00051;C00127"
"Amino sugar and nucleotide sugar metabolism","42","35","4","1.5467","0.5842","0.77839","0.039613","19","0.19","1","1","1","P9","C00029;C00352;C00329;C00052;C00190"
"Alanine, aspartate and glutamate metabolism","28","19","2","1.0311","0.66067","0.90024","0.082031","42","0.42","1","1","1","P10","C00158;C00036;C00026;C00352"
"Galactose metabolism","27","21","2","0.99429","0.71556","0.92216","0.097014","6","0.06","1","1","1","P11","C00052;C00029;C01697;C00794"
"Drug metabolism - cytochrome P450","55","21","2","2.0254","0.71556","0.92216","0.097014","18","0.18","1","1","1","P12","C16596;C16591"
"Glycolysis / Gluconeogenesis","26","12","1","0.95746","0.77049","1","1","37","0.37","1","1","1","P13","C00036"
"Citrate cycle (TCA cycle)","20","9","1","0.73651","0.66724","1","1","24","0.24","1","1","1","P14","C00026;C00311;C00036;C00158"
"Pentose phosphate pathway","23","17","1","0.84698","0.87709","1","1","40","0.4","1","1","1","P15","C00198"
"Pentose and glucuronate interconversions","19","13","1","0.69968","0.79733","1","1","29","0.29","1","1","1","P16","C00029"
"Fructose and mannose metabolism","20","16","1","0.73651","0.86066","1","1","51","0.51","1","1","1","P17","C00794"
"Primary bile acid biosynthesis","46","12","1","1.694","0.77049","1","1","17","0.17","1","1","1","P18","C05466"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","3","1","0.66286","0.30543","1","1","6","0.06","1","1","1","P19","C00082"
"Arginine biosynthesis","14","9","1","0.51556","0.66724","1","1","51","0.51","1","1","1","P20","C00026"
"Purine metabolism","70","34","1","2.5778","0.98604","1","1","99","0.99","1","1","1","P21","C00262"
"Caffeine metabolism","10","7","1","0.36825","0.5743","1","1","31","0.31","1","1","1","P22","C07481"
"Glycine, serine and threonine metabolism","33","14","1","1.2152","0.82108","1","1","43","0.43","1","1","1","P23","C00300"
"Arginine and proline metabolism","36","19","1","1.3257","0.90444","1","1","74","0.74","1","1","1","P24","C00300"
"Tyrosine metabolism","42","23","1","1.5467","0.94242","1","1","84","0.84","1","1","1","P25","C00082"
"Phenylalanine metabolism","8","6","1","0.2946","0.51869","1","1","14","0.14","1","1","1","P26","C00082"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","1","0.1473","0.30543","1","1","12","0.12","1","1","1","P27","C00082"
"Phosphonate and phosphinate metabolism","6","2","1","0.22095","0.21551","1","1","6","0.06","1","1","1","P28","C05673"
"D-Amino acid metabolism","15","14","1","0.55238","0.82108","1","1","69","0.69","1","1","1","P29","C00036"
"Starch and sucrose metabolism","18","11","1","0.66286","0.74017","1","1","22","0.22","1","1","1","P30","C00029"
"Glycerolipid metabolism","16","4","1","0.58921","0.3852","1","1","13","0.13","1","1","1","P31","C00093"
"Ether lipid metabolism","20","2","1","0.73651","0.21551","1","1","14","0.14","1","1","1","P32","C01233"
"Pyruvate metabolism","23","10","1","0.84698","0.70592","1","1","34","0.34","1","1","1","P33","C00036"
"Glyoxylate and dicarboxylate metabolism","32","11","1","1.1784","0.74017","1","1","51","0.51","1","1","1","P34","C00158;C00311;C00036"
"Butanoate metabolism","15","8","1","0.55238","0.62358","1","1","25","0.25","1","1","1","P35","C00026"
"Folate biosynthesis","27","14","1","0.99429","0.82108","1","1","30","0.3","1","1","1","P36","C00268;C04244;C02953;C21640"
"Sulfur metabolism","8","2","1","0.2946","0.21551","1","1","8","0.08","1","1","1","P37","C17267"
"Drug metabolism - other enzymes","39","12","1","1.4362","0.77049","1","1","29","0.29","1","1","1","P38","C07585"
