"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose phosphate pathway","23","20","14","2.294","2.668e-06","2.0097e-05","0.0027429","0","0","0.000114724","0.000864171","0.1179447","P1","C00668;C01801;C00117;C00620;C00121;C00118;C05382;C00199;C00085;C00345;C01172;C00257;C02076;C00231;C00279"
"Amino sugar and nucleotide sugar metabolism","39","37","20","3.8899","6.1149e-06","2.5563e-05","0.0027429","0","0","0.0002568258","0.001073646","0.1179447","P2","C00043;C06241;C00446;C00029;C00103;C00167;C00275;C00267;C00984;C00636;C00325;C02985;C01019;C00668;C00159;C00095;C00329;C00085;C00052;C00190;C21383;C00203"
"Pentose and glucuronate interconversions","18","15","11","1.7953","1.8379e-05","0.00015316","0.0027441","0","0","0.000753539","0.00627956","0.1179447","P3","C00167;C00029;C00103;C00800;C00199;C00309;C00310;C00181;C00231;C00259;C00312"
"Fructose and mannose metabolism","20","17","11","1.9948","0.0001116","0.00066784","0.0027487","0","0","0.004464","0.0267136","0.1179447","P4","C00095;C00159;C00275;C02985;C00636;C00085;C00118;C01094;C01019;C01720;C00267;C00325;C00111"
"Ascorbate and aldarate metabolism","8","7","6","0.79792","0.00050664","0.0058597","0.0027958","0","0","0.01975896","0.2285283","0.1179447","P5","C00137;C00029;C02670;C00167;C00800;C00818"
"Starch and sucrose metabolism","12","11","5","1.1969","0.063808","0.18834","0.0051366","0","0","1","1","0.1951908","P6","C00095;C00029;C00103;C00092;C00031;C00085"
"Glycerophospholipid metabolism","13","9","4","1.2966","0.10429","0.29504","0.0074264","9","0.09","1","1","0.2747768","P7","C00111;C00307;C00093;C01233"
"Neomycin, kanamycin and gentamicin biosynthesis","2","2","2","0.19948","0.045718","0.38045","0.010067","3","0.03","1","1","0.362412","P8","C00031;C00092"
"Purine metabolism","70","38","10","6.9818","0.28264","0.4189","0.011581","37","0.37","1","1","0.405335","P9","C00117;C04734;C03794;C00130;C00212;C01762;C00262;C00294;C00242;C00330;C00387;C00620;C22499;C06196"
"Butanoate metabolism","15","8","3","1.4961","0.23486","0.53462","0.01793","9","0.09","1","1","0.60962","P10","C01089;C00246;C00026"
"Galactose metabolism","27","19","5","2.693","0.38652","0.6021","0.023454","0","0","1","1","0.773982","P11","C01097;C00124;C00267;C00103;C00052;C00029;C00446;C00984;C00668;C00095;C00031;C00159;C00137"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","2","0.69818","0.29249","0.69902","0.035387","18","0.18","1","1","1","P12","C00156;C01179"
"Glycerolipid metabolism","7","5","2","0.69818","0.29249","0.69902","0.035387","19","0.19","1","1","1","P13","C00093;C00111"
"Metabolism of xenobiotics by cytochrome P450","68","31","6","6.7823","0.68747","0.82719","0.066023","7","0.07","1","1","1","P14","C14786;C14865;C14854;C14848;C14864;C14847;C03012;C19562;C14787"
"Glycolysis or Gluconeogenesis","23","14","3","2.294","0.6076","0.83551","0.069113","21","0.21","1","1","1","P15","C00118;C00085;C00668;C00103;C00221;C00267;C00036;C00111;C01172"
"One carbon pool by folate","26","14","3","2.5932","0.6076","0.83551","0.069113","56","0.56","1","1","1","P16","C00415;C00365;C00212"
"Drug metabolism - other enzymes","28","8","2","2.7927","0.53992","0.85446","0.076988","12","0.12","1","1","1","P17","C04242;C07585"
"Pyrimidine metabolism","39","21","4","3.8899","0.69421","0.86015","0.079615","64","0.64","1","1","1","P18","C00015;C01103;C00105;C00365"
"Inositol phosphate metabolism","21","9","2","2.0945","0.60843","0.88588","0.093393","37","0.37","1","1","1","P19","C00092;C03546;C04006;C00137;C01177;C00111;C00118"
"Alanine, aspartate and glutamate metabolism","28","19","3","2.7927","0.81227","0.93807","0.13757","51","0.51","1","1","1","P20","C03794;C00158;C00036;C00026;C20775"
"Tryptophan metabolism","41","28","3","4.0893","0.96117","0.99079","0.27839","75","0.75","1","1","1","P21","C00780;C05651;C03227;C00637;C00331;C05660"
"Tyrosine metabolism","42","31","3","4.1891","0.97817","0.99527","0.32406","80","0.8","1","1","1","P22","C05580;C01179;C05585;C05350;C01829"
