"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","41","27","10","1.9784","0.0058062","0.017612","0.0019728","0","0","0.1625736","0.493136","0.0552384","P1","C00078;C05635;C00328;C05634;C00398;C00331;C05647;C05660;C02220;C00954"
"Drug metabolism - cytochrome P450","55","20","8","2.654","0.0081661","0.027612","0.0020408","0","0","0.2204847","0.745524","0.0552384","P2","C16546;C05011;C16595;C16587;C16549;C16545;C16544;C16547;C16596;C16591"
"Sulfur metabolism","8","3","2","0.38603","0.069958","0.40857","0.0079168","1","0.01","1","1","0.2058368","P3","C00094;C00283"
"Pantothenate and CoA biosynthesis","20","9","3","0.96508","0.1666","0.43675","0.0088123","17","0.17","1","1","0.2203075","P4","C00831;C04352;C00864"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","4","2","0.86857","0.1253","0.50396","0.011445","6","0.06","1","1","0.27468","P5","C00082;C02059"
"Pyrimidine metabolism","39","20","4","1.8819","0.41311","0.64831","0.020813","51","0.51","1","1","0.478699","P6","C00015;C00337;C00475;C00214"
"Tyrosine metabolism","42","24","4","2.0267","0.56653","0.771","0.036923","15","0.15","1","1","0.812306","P7","C05589;C00788;C00082;C00483;C05594"
"Glutathione metabolism","28","9","2","1.3511","0.44405","0.79542","0.041886","44","0.44","1","1","0.879606","P8","C00051;C01879"
"Metabolism of xenobiotics by cytochrome P450","68","29","4","3.2813","0.72382","0.87351","0.065761","13","0.13","1","1","1","P9","C14800;C19604;C19561;C19489;C14040;C19559;C14802"
"Amino sugar and nucleotide sugar metabolism","42","35","4","2.0267","0.85257","0.942","0.1106","73","0.73","1","1","1","P10","C00140;C00357;C04501;C00645;C00352;C01132;C18060;C04257"
"Arginine and proline metabolism","36","19","2","1.7371","0.84412","0.9663","0.14381","56","0.56","1","1","1","P11","C04281;C03287"
"Purine metabolism","70","32","3","3.3778","0.91847","0.97694","0.16721","96","0.96","1","1","1","P12","C00020;C00242;C00362;C00301;C22499"
"Steroid hormone biosynthesis","87","22","2","4.1981","0.8989","0.98055","0.17766","17","0.17","1","1","1","P13","C01227;C00535;C03772;C00674;C00951"
"Fatty acid elongation","39","2","1","1.8819","0.29871","1","1","18","0.18","1","1","1","P14","C05274"
"Fatty acid degradation","39","3","1","1.8819","0.41308","1","1","24","0.24","1","1","1","P15","C05274"
"Steroid biosynthesis","41","1","1","1.9784","0.16239","1","1","2","0.02","1","1","1","P16","C03428"
"Arginine biosynthesis","14","8","1","0.67556","0.76054","1","1","58","0.58","1","1","1","P17","C00327"
"Alanine, aspartate and glutamate metabolism","28","16","1","1.3511","0.94422","1","1","72","0.72","1","1","1","P18","C00352"
"Phenylalanine metabolism","8","6","1","0.38603","0.65682","1","1","30","0.3","1","1","1","P19","C00082"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","1","0.19302","0.41308","1","1","27","0.27","1","1","1","P20","C00082"
"D-Amino acid metabolism","15","14","1","0.72381","0.91949","1","1","81","0.81","1","1","1","P21","C02237;C04282"
"Glycerophospholipid metabolism","36","8","1","1.7371","0.76054","1","1","54","0.54","1","1","1","P22","C00588"
"Pyruvate metabolism","23","6","1","1.1098","0.65682","1","1","42","0.42","1","1","1","P23","C03451"
"Vitamin B6 metabolism","9","5","1","0.43429","0.58943","1","1","35","0.35","1","1","1","P24","C00018"
"Biotin metabolism","10","2","1","0.48254","0.29871","1","1","20","0.2","1","1","1","P25","C00120"
"Lipoic acid metabolism","28","7","1","1.3511","0.71328","1","1","41","0.41","1","1","1","P26","C16238"
"Folate biosynthesis","27","10","1","1.3029","0.8332","1","1","44","0.44","1","1","1","P27","C20239"
"Drug metabolism - other enzymes","39","12","1","1.8819","0.88402","1","1","38","0.38","1","1","1","P28","C16633"
