"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose and glucuronate interconversions","19","15","11","1.5321","5.4824e-05","0.00040111","0.0035894","0","0","0.002521904","0.01845106","0.1651124","P1","C00167;C00029;C00199;C00309;C00310;C00532;C00379;C00181;C00191;C00618;C00231;C00259;C00312"
"Citrate cycle (TCA cycle)","20","11","7","1.6127","0.0052113","0.025045","0.0038701","0","0","0.2345085","1","0.1741545","P2","C00026;C05381;C00311;C00036;C00417;C00158;C00022"
"Ascorbate and aldarate metabolism","9","7","5","0.72571","0.009907","0.057455","0.0042754","4","0.04","0.435908","1","0.1881176","P3","C00029;C02670;C00167;C00191;C00818"
"Amino sugar and nucleotide sugar metabolism","42","35","13","3.3867","0.048218","0.095164","0.0048048","0","0","1","1","0.2066064","P4","C00357;C04501;C00043;C00029;C00167;C00325;C02985;C01019;C00329;C18060;C04257;C00052;C00203"
"Pentose phosphate pathway","23","21","9","1.8546","0.039324","0.09577","0.0048139","0","0","1","1","0.2066064","P5","C00117;C00620;C00121;C05382;C00199;C00345;C00258;C02076;C00231"
"Pyrimidine metabolism","39","21","8","3.1448","0.099565","0.20609","0.0068155","19","0.19","1","1","0.2794355","P6","C00015;C01103;C00105;C00055;C00239;C00881;C01346;C00365"
"Propanoate metabolism","22","9","4","1.774","0.1427","0.36095","0.011319","2","0.02","1","1","0.45276","P7","C05983;C00222;C05984;C21017"
"Glyoxylate and dicarboxylate metabolism","32","14","5","2.5803","0.22249","0.43064","0.014358","18","0.18","1","1","0.559962","P8","C00417;C00158;C00258;C00311;C00022;C00036"
"Lipoic acid metabolism","28","8","3","2.2578","0.29172","0.59974","0.026516","14","0.14","1","1","1","P9","C00022;C00026;C05381"
"Purine metabolism","70","36","9","5.6444","0.50014","0.64915","0.032162","56","0.56","1","1","1","P10","C00117;C00020;C00360;C01762;C00294;C00362;C00942;C00620;C00147"
"Glycerophospholipid metabolism","36","9","3","2.9029","0.36623","0.66797","0.034692","45","0.45","1","1","1","P11","C00307;C00570;C01233"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","5","2","1.4514","0.34237","0.74189","0.047442","13","0.13","1","1","1","P12","C01179;C00544"
"Tyrosine metabolism","42","25","6","3.3867","0.57199","0.74431","0.047953","18","0.18","1","1","1","P13","C05577;C04043;C01161;C00355;C00544;C01179;C00022;C05350;C00642;C01829"
"Alanine, aspartate and glutamate metabolism","28","21","5","2.2578","0.58758","0.77259","0.054526","32","0.32","1","1","1","P14","C03912;C00158;C00036;C00022;C00026"
"Valine, leucine and isoleucine degradation","40","11","3","3.2254","0.5091","0.77622","0.055456","13","0.13","1","1","1","P15","C15978;C15974;C06001"
"Inositol phosphate metabolism","30","11","3","2.419","0.5091","0.77622","0.055456","23","0.23","1","1","1","P16","C01245;C01243;C00222;C00191"
"Pyruvate metabolism","23","11","3","1.8546","0.5091","0.77622","0.055456","28","0.28","1","1","1","P17","C00036;C00022;C00546"
"Arginine and proline metabolism","36","17","4","2.9029","0.6072","0.80753","0.064462","36","0.36","1","1","1","P18","C00062;C00300;C03564;C00022;C03912"
"D-Amino acid metabolism","15","12","3","1.2095","0.57409","0.81788","0.067891","61","0.61","1","1","1","P19","C00792;C00036;C03564"
"Caffeine metabolism","10","7","2","0.80635","0.52643","0.85047","0.080613","28","0.28","1","1","1","P20","C13747;C07480;C07481"
"Butanoate metabolism","15","7","2","1.2095","0.52643","0.85047","0.080613","32","0.32","1","1","1","P21","C01089;C00026"
"Tryptophan metabolism","41","29","6","3.306","0.7287","0.85662","0.083408","34","0.34","1","1","1","P22","C00078;C00780;C05651;C00632;C03227;C00637;C00331;C05660;C05639;C05645;C01252;C05637;C06213"
"Arginine biosynthesis","14","9","2","1.1289","0.6728","0.91358","0.11896","63","0.63","1","1","1","P23","C00062;C00026"
"Glutathione metabolism","28","9","2","2.2578","0.6728","0.91358","0.11896","70","0.7","1","1","1","P24","C00127;C00669"
"Fructose and mannose metabolism","20","16","3","1.6127","0.77617","0.92357","0.12795","67","0.67","1","1","1","P25","C02985;C01019;C00325"
"Drug metabolism - cytochrome P450","55","25","4","4.4349","0.88541","0.95929","0.17499","36","0.36","1","1","1","P26","C07643;C07645;C16586;C16553;C07646;C16604"
"Glycolysis / Gluconeogenesis","26","14","2","2.0965","0.88418","0.97829","0.22191","71","0.71","1","1","1","P27","C00022;C00036"
"Galactose metabolism","27","14","2","2.1771","0.88418","0.97829","0.22191","19","0.19","1","1","1","P28","C00052;C00029"
"Metabolism of xenobiotics by cytochrome P450","68","30","4","5.4832","0.95419","0.98617","0.25478","32","0.32","1","1","1","P29","C14853;C14848;C14847;C14801;C19566;C19563"
"Cysteine and methionine metabolism","33","17","2","2.661","0.94107","0.99059","0.2821","90","0.9","1","1","1","P30","C04582;C04188;C15650;C00022"
"Glycine, serine and threonine metabolism","33","18","2","2.661","0.95325","0.99289","0.30146","56","0.56","1","1","1","P31","C00258;C00300;C00022;C00546"
"Fatty acid degradation","39","4","1","3.1448","0.66453","1","1","39","0.39","1","1","1","P32","C02990"
"Primary bile acid biosynthesis","46","11","1","3.7092","0.95152","1","1","46","0.46","1","1","1","P33","C00695"
"Steroid hormone biosynthesis","87","24","1","7.0152","0.99877","1","1","60","0.6","1","1","1","P34","C11132"
"Phenylalanine metabolism","8","6","1","0.64508","0.80638","1","1","42","0.42","1","1","1","P35","C05852"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","1","0.32254","0.66453","1","1","53","0.53","1","1","1","P36","C01179"
